Local de residência (à data dos Censos 2021),Proporção da população residente com pelo menos o ensino secundário completo (%) por Local de residência (à data dos Censos 2021) e Sexo; Decenal
União das freguesias de Soutelo e Seara Velha,29.59
União das freguesias de Travancas e Roriz,7.82
Vale de Anta,48.58
"Vidago (União das freguesias de Vidago, Arcossó, Selhariz e Vilarinho das Paranheiras)",32.86
Vila Verde da Raia,32.46
Vilar de Nantes,41.13
Vilarelho da Raia,16.39
Vilas Boas,25.52
Vilela do Tâmega,30.45
Vilela Seca,18.35
Montalegre,24.54
Cabril,17.16
Cervos,17.56
Chã,24.88
Covelo do Gerês,18.18
Ferral,18.52
Gralhas,16.09
Morgade,20.34
Negrões,21.01
Outeiro,20.63
Pitões das Junias,24.64
Reigoso,10.32
Salto,26.46
Santo André,19.01
Sarraquinhos,12.10
Solveira,11.03
Tourém,18.10
"União das freguesias de Cambeses do Rio, Donões e Mourilhe",20.08
União das freguesias de Meixedo e Padornelos,16.26
União das freguesias de Montalegre e Padroso,42.15
"União das freguesias de Paradela, Contim e Fiães",20.43
União das freguesias de Sezelhe e Covelães,18.26
União das freguesias de Venda Nova e Pondras,28.48
União das freguesias de Viade de Baixo e Fervidelas,20.28
União das freguesias de Vilar de Perdizes e Meixide,16.82
Vila da Ponte,22.15
Ribeira de Pena,25.91
Alvadia,13.73
Canedo,7.14
Santa Marinha,22.27
União das freguesias de Cerva e Limões,24.80
União das freguesias de Ribeira de Pena (Salvador) e Santo Aleixo de Além-Tâmega,30.58
Valpaços,22.98
Água Revés e Crasto,10.57
Algeriz,13.46
Bouçoães,7.88
Canaveses,13.33
Carrazedo de Montenegro e Curros,20.89
Ervões,18.45
Fornos do Pinhal,21.16
Friões,10.54
"Lebução, Fiães e Nozelos",13.57
Padrela e Tazem,13.83
Possacos,22.32
Rio Torto,18.25
Santa Maria de Emeres,14.73
Santa Valha,18.64
Santiago da Ribeira de Alhariz,9.96
São João da Corveira,14.18
São Pedro de Veiga de Lila,13.10
Serapicos,13.51
Sonim e Barreiros,15.05
Tinhela e Alvarelhos,10.61
Vales,8.06
Valpaços e Sanfins,38.43
Vassal,16.71
Veiga de Lila,19.16
Vilarandelo,25.18
Vila Pouca de Aguiar,27.59
Alfarela de Jales,18.04
Alvão,20.23
Bornes de Aguiar,30.22
Bragado,13.04
Capeludos,12.21
Sabroso de Aguiar,25.16
Soutelo de Aguiar,27.68
Telões,29.28
Tresminas,15.34
União das freguesias de Pensalvos e Parada de Monteiros,15.24
Valoura,20.45
Vila Pouca de Aguiar,40.51
Vreia de Bornes,19.41
Vreia de Jales,17.60
Tâmega e Sousa,32.34
Amarante,35.17
Ansiães,14.68
Candemil,19.40
Fregim,35.23
Fridão,26.99
Gondar,34.48
Gouveia (São Simão),26.21
Jazente,29.49
Lomba,41.38
Louredo,38.43
Lufrei,38.98
Mancelos,28.35
Padronelo,29.88
Rebordelo,18.06
Salvador do Monte,32.18
Telões,34
Travanca,29.47
"União das freguesias de Aboadela, Sanche e Várzea",27.82
"União das freguesias de Amarante (São Gonçalo), Madalena, Cepelos e Gatão",47.73
"União das freguesias de Bustelo, Carneiro e Carvalho de Rei",18.18
União das freguesias de Figueiró (Santiago e Santa Cristina),30.28
União das freguesias de Freixo de Cima e de Baixo,35.28
União das freguesias de Olo e Canadelo,22.45
Vila Meã,33.33
"União das freguesias de Vila Garcia, Aboim e Chapa",36.93
Vila Caiz,30.04
Vila Chã do Marão,28.91
Baião,27.34
Frende,23.40
Gestaçô,20.96
Gove,27.72
Grilo,22.69
Loivos do Monte,16.92
Santa Marinha do Zêzere,29.56
União das freguesias de Ancede e Ribadouro,28.56
União das freguesias de Baião (Santa Leocádia) e Mesquinhata,21.65
União das freguesias de Campelo e Ovil,36.65
União das freguesias de Loivos da Ribeira e Tresouras,25.49
União das freguesias de Santa Cruz do Douro e São Tomé de Covelas,23.44
União das freguesias de Teixeira e Teixeiró,16.11
Valadares,20.75
Viariz,19.28
Castelo de Paiva,30.16
Fornos,28.34
Real,26.67
Santa Maria de Sardoura,25.60
São Martinho de Sardoura,29.36
"União das freguesias de Raiva, Pedorido e Paraíso",28.75
União das freguesias de Sobrado e Bairros,35.26
Celorico de Basto,30.23
Agilde,31.37
Arnóia,33.05
Basto (São Clemente),27.86
Borba de Montanha,24.21
Codeçoso,26.50
Fervença,29.31
Moreira do Castelo,26.79
Rego,25.60
Ribas,20.85
"União das freguesias de Britelo, Gémeos e Ourilhe",39.64
União das freguesias de Caçarilhe e Infesta,20.90
União das freguesias de Canedo de Basto e Corgo,28.88
União das freguesias de Carvalho e Basto (Santa Tecla),26.18
"União das freguesias de Veade, Gagos e Molares",33.22
Vale de Bouro,24.24
Cinfães,25.96
Cinfães,37.25
Espadanedo,23.95
Ferreiros de Tendais,19.58
Fornelos,23.12
Moimenta,26.38
Nespereira,21.28
Oliveira do Douro,23.14
Santiago de Piães,20.59
São Cristóvão de Nogueira,24.68
Souselo,27.50
Tarouquela,25.06
Tendais,24.20
Travanca,23.01
"União das freguesias de Alhões, Bustelo, Gralheira e Ramires",17.44
Felgueiras,32
Aião,27.54
Airães,28.95
Friande,33.98
Idães,27.20
Jugueiros,26.26
Penacova,23.79
Pinheiro,30.64
Pombeiro de Ribavizela,29.89
Refontoura,27.23
Regilde,23.57
Revinhade,30.43
Sendim,25.73
União das freguesias de Macieira da Lixa e Caramos,32.42
"União das freguesias de Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure",36.22
"União das freguesias de Pedreira, Rande e Sernande",26.64
União das freguesias de Torrados e Sousa,23.25
União das freguesias de Unhão e Lordelo,28.74
União das freguesias de Vila Cova da Lixa e Borba de Godim,41.15
União das freguesias de Vila Fria e Vizela (São Jorge),20.24
União das freguesias de Vila Verde e Santão,33.71
Lousada,32.33
Aveleda,28.17
Caíde de Rei,31.78
Lodares,35.57
Macieira,24.54
Meinedo,31.58
Nevogilde,25.90
Sousela,26.35
Torno,31.41
União das freguesias de Cernadelo e Lousada (São Miguel e Santa Margarida),27.21
"União das freguesias de Cristelos, Boim e Ordem",37.90
União das freguesias de Figueiras e Covas,29.17
União das freguesias de Lustosa e Barrosas (Santo Estêvão),25.68
União das freguesias de Nespereira e Casais,31.25
"União das freguesias de Silvares, Pias, Nogueira e Alvarenga",42.19
Vilar do Torno e Alentém,31.39
Marco de Canaveses,32.10
"Alpendorada, Várzea e Torrão",30.99
Avessadas e Rosém,31.20
Banho e Carvalhosa,22.73
Bem Viver,29.86
Constance,29.76
Marco,43.19
Paredes de Viadores e Manhuncelos,26.08
Penha Longa e Paços de Gaiolo,26.71
Sande e São Lourenço do Douro,27.19
Santo Isidoro e Livração,33.67
Soalhães,27.97
Sobretâmega,30.38
Tabuado,34.25
"Várzea, Aliviada e Folhada",27.29
Vila Boa de Quires e Maureles,23.80
Vila Boa do Bispo,30.39
Paços de Ferreira,31.80
Carvalhosa,30.37
Eiriz,28.34
Ferreira,30.66
Figueiró,31.82
Frazão Arreigada,28.09
Freamunde,31.53
Meixomil,35.12
Paços de Ferreira,41.49
Penamaior,29.26
Raimonda,28.59
Sanfins Lamoso Codessos,26.45
Seroa,27.91
Penafiel,35.76
Abragão,24.11
Boelhe,27.50
Bustelo,37.09
Cabeça Santa,28.95
Canelas,29.76
Capela,28.55
Castelões,30.78
Croca,30.84
Duas Igrejas,28.98
Eja,26.59
Fonte Arcada,35.48
Galegos,36.29
Guilhufe e Urrô,36.85
Irivo,36.63
Lagares e Figueira,34.54
Luzim e Vila Cova,24.45
Oldrões,34.42
Paço de Sousa,38.65
Penafiel,47.14
Perozelo,31.92
Rans,34.50
Recezinhos (São Mamede),30.97
Recezinhos (São Martinho),31.56
Rio de Moinhos,30.70
Rio Mau,34.60
Sebolido,32.80
Termas de São Vicente,31.23
Valpedre,31.19
Resende,27.60
Barrô,20
Cárquere,29.94
Paus,18.67
Resende,38.03
São Cipriano,25.59
São João de Fontoura,15.38
São Martinho de Mouros,17.60
União das freguesias de Anreade e São Romão de Aregos,30.65
União das freguesias de Felgueiras e Feirão,26.10
União das freguesias de Freigil e Miomães,25.60
União das freguesias de Ovadas e Panchorra,12.10
Douro,36.10
Alijó,27.22
Alijó,38.70
Favaios,26.07
Pegarinhos,20
Pinhão,36.40
Sanfins do Douro,25.38
Santa Eugénia,16.54
São Mamede de Ribatua,22.49
União das freguesias de Carlão e Amieiro,19.52
União das freguesias de Castedo e Cotas,21.12
União das freguesias de Pópulo e Ribalonga,19.21
"União das freguesias de Vale de Mendiz, Casal de Loivos e Vilarinho de Cotas",27.62
Vila Chã,21.65
Vila Verde,22.75
Vilar de Maçada,20.62
Armamar,28.77
Aldeias,31.84
Armamar,40.05
Cimbres,18.94
Folgosa,26.49
Fontelo,25
Queimada,19.16
Queimadela,28.80
Santa Cruz,23.03
São Cosmado,20
São Martinho das Chãs,31.44
União das freguesias de Aricera e Goujoim,27.11
União das freguesias de São Romão e Santiago,23.38
União das freguesias de Vila Seca e Santo Adrião,24.80
Vacalar,22.58
Carrazeda de Ansiães,27.36
Carrazeda de Ansiães,43.79
Fonte Longa,18.88
Linhares,15.77
Marzagão,32.02
Parambos,28.57
Pereiros,16.67
Pinhal do Norte,17.26
Pombal,28.18
Seixo de Ansiães,22.42
União das freguesias de Amedo e Zedes,11.65
União das freguesias de Belver e Mogo de Malta,31.38
União das freguesias de Castanheiro do Norte e Ribalonga,20.27
"União das freguesias de Lavandeira, Beira Grande e Selores",16.29
Vilarinho da Castanheira,14.04
Freixo de Espada à Cinta,25.44
Ligares,14.52
Poiares,20.55
União das freguesias de Freixo de Espada à Cinta e Mazouco,30.27
União das freguesias de Lagoaça e Fornos,15.57
Lamego,38.25
Avões,28.96
Britiande,31.36
Cambres,26.15
Ferreirim,25.70
Ferreiros de Avões,30.19
Figueira,22.62
Lalim,22.85
Lamego (Almacave e Sé),50.28
Lazarim,22.73
Penajóia,22.97
Penude,28.63
Samodães,18.24
Sande,28.55
"União das freguesias de Bigorne, Magueija e Pretarouca",29.39
"União das freguesias de Cepões, Meijinhos e Melcões",29.47
União das freguesias de Parada do Bispo e Valdigem,22.15
Várzea de Abrunhais,23.84
Vila Nova de Souto d'El-Rei,33.69
Mesão Frio,28.52
Barqueiros,25.94
Cidadelhe,24.79
Mesão Frio (Santo André),33.38
Oliveira,22.07
Vila Marim,24.67
Moimenta da Beira,32.46
Alvite,25.22
Arcozelos,32.36
Baldos,26.62
Cabaços,20.20
Caria,22.01
Castelo,19.21
Leomil,34.59
Moimenta da Beira,48.66
Passô,24.91
Vila da Rua,31.17
Sarzedo,13.97
Sever,18.81
União das freguesias de Paradinha e Nagosa,24.88
"União das freguesias de Pêra Velha, Aldeia de Nacomba e Ariz",19.66
União das freguesias de Peva e Segões,25.38
Vilar,21.98
Murça,26.78
Candedo,21.24
Fiolhoso,14.93
Jou,15.14
Murça,38.74
União das freguesias de Carva e Vilares,14.29
União das freguesias de Noura e Palheiros,30.43
Valongo de Milhais,13.20
Penedono,29.04
Beselga,29.69
Castainço,21.85
Penela da Beira,23.91
Póvoa de Penela,21.79
Souto,25.86
União das freguesias de Antas e Ourozinho,22.90
União das freguesias de Penedono e Granja,36.06
Peso da Régua,36.01
Fontelas,28.55
Loureiro,24.97
Sedielos,21.25
União das freguesias de Galafura e Covelinhas,18.48
União das freguesias de Moura Morta e Vinhós,18.86
União das freguesias de Peso da Régua e Godim,45.17
União das freguesias de Poiares e Canelas,20.17
Vilarinho dos Freires,25.19
Sabrosa,28.07
Celeirós,28.32
Covas do Douro,24.48
Gouvinhas,16.58
Paços,28.30
Parada de Pinhão,22.46
Sabrosa,38.30
São Lourenço de Ribapinhão,19.57
Souto Maior,20.98
Torre do Pinhão,19.47
"União das freguesias de Provesende, Gouvães do Douro e São Cristóvão do Douro",24.27
União das freguesias de São Martinho de Antas e Paradela de Guiães,34.40
Vilarinho de São Romão,20.56
Santa Marta de Penaguião,27.89
Alvações do Corgo,24.72
Cumieira,29.58
Fontes,20.27
Medrões,25.45
Sever,24.24
União das freguesias de Lobrigos (São Miguel e São João Baptista) e Sanhoane,32.14
União das freguesias de Louredo e Fornelos,22.95
São João da Pesqueira,26.12
Castanheiro do Sul,15.71
Ervedosa do Douro,26.01
Nagozelo do Douro,20
Paredes da Beira,16.55
Riodades,14.13
Soutelo do Douro,27.55
União das freguesias de São João da Pesqueira e Várzea de Trevões,38.40
União das freguesias de Trevões e Espinhosa,20.61
União das freguesias de Vilarouco e Pereiros,18.13
Vale de Figueira,15.69
Valongo dos Azeites,19.35
Sernancelhe,29.12
Arnas,16.07
Carregal,20.37
Chosendo,20.25
Cunha,24.30
Faia,32.37
Granjal,24.05
Lamosa,25.61
Quintela,28.25
União das freguesias de Ferreirim e Macieira,24.86
União das freguesias de Fonte Arcada e Escurquela,22.66
União das freguesias de Penso e Freixinho,23.60
União das freguesias de Sernancelhe e Sarzeda,37.87
Vila da Ponte,39.10
Tabuaço,26.10
Adorigo,20.62
Arcos,22.82
Chavães,13.49
Desejosa,21.62
Granja do Tedo,25.17
Longa,22.05
Sendim,18.46
Tabuaço,39.21
União das freguesias de Barcos e Santa Leocádia,25.68
União das freguesias de Paradela e Granjinha,9.30
União das freguesias de Pinheiros e Vale de Figueira,19.53
União das freguesias de Távora e Pereiro,19.44
Valença do Douro,23.08
Tarouca,31.41
Mondim da Beira,25.52
Salzedas,21.43
São João de Tarouca,17.16
União das freguesias de Gouviães e Ucanha,22.58
União das freguesias de Granja Nova e Vila Chã da Beira,20.81
União das freguesias de Tarouca e Dálvares,39.07
Várzea da Serra,14.95
Torre de Moncorvo,29.75
Açoreira,20.81
Cabeça Boa,16.28
Carviçais,24.53
Castedo,20.99
Horta da Vilariça,20.73
Larinho,19.21
Lousa,19.10
Mós,23.60
Torre de Moncorvo,45.19
União das freguesias de Adeganha e Cardanha,14.04
União das freguesias de Felgar e Souto da Velha,26.13
União das freguesias de Felgueiras e Maçores,22.60
União das freguesias de Urros e Peredo dos Castelhanos,13.58
Vila Nova de Foz Côa,29.18
Almendra,13.45
Castelo Melhor,11.11
Cedovim,18.75
Chãs,21.96
Custóias,15.14
Freixo de Numão,20.95
Horta,17.76
Muxagata,16.80
Numão,20.21
Santa Comba,10
Sebadelhe,11.98
Seixas,20.27
Touça,25.43
Vila Nova de Foz Côa,41.69
Vila Real,50.10
Abaças,25.10
Andrães,35.60
Arroios,56.59
Campeã,28.91
Folhadela,46.73
Guiães,24.93
Lordelo,50.53
Mateus,64.31
Mondrões,33.50
Parada de Cunhos,45.78
Torgueda,31.24
União das freguesias de Adoufe e Vilarinho de Samardã,44.02
União das freguesias de Borbela e Lamas de Olo,48.76
União das freguesias de Constantim e Vale de Nogueiras,40.19
União das freguesias de Mouçós e Lamares,38.69
União das freguesias de Nogueira e Ermida,19.83
"União das freguesias de Pena, Quintã e Vila Cova",25.61
União das freguesias de São Tomé do Castelo e Justes,28.62
Vila Real,64.18
Vila Marim,37.26
Terras de Trás-os-Montes,37.81
Alfândega da Fé,30.61
Alfândega da Fé,46.38
Cerejais,17.20
Sambade,20.17
"União das freguesias de Agrobom, Saldonha e Vale Pereiro",11.56
"União das freguesias de Eucisia, Gouveia e Valverde",15.79
União das freguesias de Ferradosa e Sendim da Serra,17.07
União das freguesias de Gebelim e Soeima,19.27
União das freguesias de Parada e Sendim da Ribeira,25.81
União das freguesias de Pombal e Vales,18.52
Vilar Chão,16.15
Vilarelhos,27.69
Vilares de Vilariça,16.94
Bragança,48.75
Alfaião,32.64
Babe,18.65
Baçal,36.14
Carragosa,20.69
Castro de Avelãs,44.05
Coelhoso,9.33
Donai,43.96
Espinhosela,20.38
França,19.47
Gimonde,38.18
Gondesende,17.74
Gostei,42.49
Grijó de Parada,14.23
Macedo do Mato,8.52
Mós,25
Nogueira,43.26
Outeiro,12.83
Parâmio,19.89
Pinela,17.67
Quintanilha,24.64
Quintela de Lampaças,13.10
Rabal,31.03
Rebordãos,27.74
Salsas,16.34
Samil,50.73
Santa Comba de Rossas,28.80
São Pedro de Sarracenos,39.88
Sendas,19.57
Serapicos,20.45
Sortes,21.98
União das freguesias de Aveleda e Rio de Onor,11.66
União das freguesias de Castrelos e Carrazedo,18.84
"União das freguesias de Izeda, Calvelhe e Paradinha Nova",20.58
União das freguesias de Parada e Faílde,15.43
União das freguesias de Rebordainhos e Pombares,18.84
União das freguesias de Rio Frio e Milhão,28.03
União das freguesias de São Julião de Palácios e Deilão,11.69
"União das freguesias de Sé, Santa Maria e Meixedo",60.43
Zoio,17.21
Macedo de Cavaleiros,33.41
Amendoeira,37.12
Arcas,18.18
Carrapatas,34.56
Chacim,18.22
Cortiços,13.90
Corujas,24.63
Ferreira,16.17
Grijó,29.41
Lagoa,17.46
Lamalonga,14.33
Lamas,25.56
Lombo,19.59
Macedo de Cavaleiros,50.38
Morais,16.07
Olmos,19.42
Peredo,27.17
Salselas,16.54
Sezulfe,27.82
Talhas,14.74
União das freguesias de Ala e Vilarinho do Monte,20.63
União das freguesias de Bornes e Burga,22.33
União das freguesias de Castelãos e Vilar do Monte,24.44
"União das freguesias de Espadanedo, Edroso, Murçós e Soutelo Mourisco",15.73
União das freguesias de Podence e Santa Combinha,21.61
União das freguesias de Talhinhas e Bagueixe,17.01
Vale Benfeito,31.94
Vale da Porca,19.91
Vale de Prados,32.70
Vilarinho de Agrochão,13.54
Vinhas,11.32
Miranda do Douro,33.42
Duas Igrejas,25.10
Genísio,18.57
Malhadas,27.63
Miranda do Douro,49.05
Palaçoulo,31.40
Picote,28.90
Póvoa,29.94
São Martinho de Angueira,14.22
União das freguesias de Constantim e Cicouro,20.28
União das freguesias de Ifanes e Paradela,16.82
União das freguesias de Sendim e Atenor,34.26
União das freguesias de Silva e Águas Vivas,17.78
Vila Chã de Braciosa,21.90
Mirandela,38.67
Abambres,27.42
Abreiro,11.76
Aguieiras,15.84
Alvites,19.08
Bouça,26.74
Cabanelas,24.19
Caravelas,11.81
Carvalhais,36.97
Cedães,25.20
Cobro,15.38
Fradizela,13.89
Frechas,24.92
Lamas de Orelhão,23.02
Mascarenhas,25.19
Mirandela,53.82
Múrias,12.72
Passos,23.47
São Pedro Velho,14.93
São Salvador,21.79
Suçães,19.45
Torre de Dona Chama,25.65
União das freguesias de Avantos e Romeu,15.87
"União das freguesias de Avidagos, Navalho e Pereira",19.59
"União das freguesias de Barcel, Marmelos e Valverde da Gestosa",19.31
União das freguesias de Franco e Vila Boa,17.50
União das freguesias de Freixeda e Vila Verde,23.20
Vale de Asnes,13.09
Vale de Gouvinhas,21.27
Vale de Salgueiro,17.85
Vale de Telhas,23.36
Mogadouro,32.79
Azinhoso,23.89
Bemposta,27.02
Bruçó,29.30
Brunhoso,28.72
Castelo Branco,25.65
Castro Vicente,20.41
Meirinhos,24.44
Paradela,35.40
Penas Roias,20.53
Peredo da Bemposta,28.57
Saldanha,21.31
São Martinho do Peso,16.47
Tó,28.46
Travanca,7.69
"União das freguesias de Brunhozinho, Castanheira e Sanhoane",24.02
"União das freguesias de Mogadouro, Valverde, Vale de Porco e Vilar de Rei",45.32
União das freguesias de Remondes e Soutelo,24.81
União das freguesias de Vilarinho dos Galegos e Ventozelo,21.99
Urrós,17.87
Vale da Madre,41.61
Vila de Ala,16.82
Vila Flor,29.41
Benlhevai,36.97
Freixiel,16.84
Roios,26.56
Samões,32.87
Sampaio,15
Santa Comba de Vilariça,23.10
Seixo de Manhoses,29.17
Trindade,24.56
União das freguesias de Assares e Lodões,23.53
União das freguesias de Candoso e Carvalho de Egas,21.53
União das freguesias de Valtorno e Mourão,20.28
União das freguesias de Vila Flor e Nabo,38.22
União das freguesias de Vilas Boas e Vilarinho das Azenhas,23.41
Vale Frechoso,20.98
Vimioso,25.21
Argozelo,21.91
Carção,19.38
Matela,11.76
Pinelo,21
Santulhão,12.34
"União das freguesias de Algoso, Campo de Víboras e Uva",19.23
União das freguesias de Caçarelhos e Angueira,18.18
União das freguesias de Vale de Frades e Avelanoso,23.66
Vilar Seco,24.07
Vimioso,40.63
Vinhais,23.13
Agrochão,13.86
Candedo,20.29
Celas,17.98
Edral,7.41
Edrosa,16.91
Ervedosa,12.90
Paçó,25.53
Penhas Juntas,20.74
Rebordelo,19.86
Santalha,16.38
Tuizelo,17.13
União das freguesias de Curopos e Vale de Janeiro,13.60
União das freguesias de Moimenta e Montouto,15.46
União das freguesias de Nunes e Ousilhão,17.39
União das freguesias de Quirás e Pinheiro Novo,11.94
União das freguesias de Sobreiro de Baixo e Alvaredos,20.63
"União das freguesias de Soeira, Fresulfe e Mofreita",15.23
União das freguesias de Travanca e Santa Cruz,28.15
União das freguesias de Vilar de Lomba e São Jomil,13.23
Vale das Fontes,16
Vila Boa de Ousilhão,25.95
Vila Verde,20.13
Vilar de Ossos,22.28
Vilar de Peregrinos,17.83
Vilar Seco de Lomba,12.85
Vinhais,38.69
Centro,41.84
Oeste,42
Alcobaça,40.04
Alfeizerão,35.29
Aljubarrota,37.56
Bárrio,35.34
Benedita,44.82
Cela,30.56
Évora de Alcobaça,35.78
Maiorga,37.11
São Martinho do Porto,47.90
Turquel,37.88
União das freguesias de Alcobaça e Vestiaria,52.22
"União das freguesias de Coz, Alpedriz e Montes",32.68
União das freguesias de Pataias e Martingança,38.55
Vimeiro,29.90
Alenquer,43.50
Carnota,36.35
Meca,30.18
Olhalvo,30.13
Ota,39.51
União das freguesias de Abrigada e Cabanas de Torres,33.14
União das freguesias de Aldeia Galega da Merceana e Aldeia Gavinha,34.63
União das freguesias de Alenquer (Santo Estêvão e Triana),53.16
União das freguesias de Carregado e Cadafais,49.71
União das freguesias de Ribafria e Pereiro de Palhacana,33.33
Ventosa,30.12
Vila Verde dos Francos,23.40
Arruda dos Vinhos,49.69
Arranhó,39.04
Arruda dos Vinhos,54.83
Cardosas,43.61
S. Tiago dos Velhos,39.48
Bombarral,38.26
Carvalhal,31.87
Pó,33.42
Roliça,33.81
União das freguesias do Bombarral e Vale Covo,42.86
Cadaval,34.36
Alguber,24.04
Peral,31.97
União das freguesias de Lamas e Cercal,31.16
União das freguesias de Painho e Figueiros,31.11
União das freguesias do Cadaval e Pêro Moniz,42.80
Vermelha,32.59
Vilar,34.06
Caldas da Rainha,46.69
A dos Francos,30.43
Alvorninha,28.92
Carvalhal Benfeito,29.55
Foz do Arelho,49.23
Landal,31.88
Nadadouro,51.36
Salir de Matos,34.40
Santa Catarina,32.21
"União das freguesias de Caldas da Rainha - Nossa Senhora do Pópulo, Coto e São Gregório",55.41
União das freguesias de Caldas da Rainha - Santo Onofre e Serra do Bouro,50.13
União das freguesias de Tornada e Salir do Porto,43.59
Vidais,29.99
Lourinhã,39.13
Moita dos Ferreiros,29.98
Reguengo Grande,30.04
Ribamar,37.22
Santa Bárbara,40.97
União das freguesias de Lourinhã e Atalaia,44.27
União das freguesias de Miragaia e Marteleira,32.69
União das freguesias de São Bartolomeu dos Galegos e Moledo,34.25
Vimeiro,36.79
Nazaré,39.04
Famalicão,37.69
Nazaré,41.56
Valado dos Frades,30.61
Óbidos,41.29
A dos Negros,35.81
Amoreira,40.91
Gaeiras,49.13
Olho Marinho,36.27
"Santa Maria, São Pedro e Sobral da Lagoa",42.94
Usseira,37.02
Vau,36.37
Peniche,38.15
Atouguia da Baleia,40
Ferrel,41.39
Peniche,36.36
Serra d'El-Rei,36.52
Sobral de Monte Agraço,41.16
Santo Quintino,37.12
Sapataria,42.64
Sobral de Monte Agraço,44.18
Torres Vedras,43.11
Freiria,33.51
Ponte do Rol,42.02
Ramalhal,37.07
São Pedro da Cadeira,37.49
Silveira,45.91
Turcifal,44.53
União das freguesias de A dos Cunhados e Maceira,41.84
União das freguesias de Campelos e Outeiro da Cabeça,32.53
União das freguesias de Carvoeira e Carmões,36.38
União das freguesias de Dois Portos e Runa,33.35
União das freguesias de Maxial e Monte Redondo,28.95
"Santa Maria, São Pedro e Matacães",51.95
Ventosa,32.66
Região de Aveiro,43.35
Águeda,38.47
Aguada de Cima,35.53
Fermentelos,39.84
Macinhata do Vouga,32.10
União das freguesias de Águeda e Borralha,45.48
União das freguesias de Barrô e Aguada de Baixo,33.77
"União das freguesias de Belazaima do Chão, Castanheira do Vouga e Agadão",28.42
União das freguesias de Recardães e Espinhel,38.56
União das freguesias de Travassô e Óis da Ribeira,35.90
"União das freguesias de Trofa, Segadães e Lamas do Vouga",37.72
União das freguesias do Préstimo e Macieira de Alcoba,26.59
Valongo do Vouga,34.08
Albergaria-a-Velha,38.82
Albergaria-a-Velha e Valmaior,46.69
Alquerubim,29.01
Angeja,33.52
Branca,36.14
Ribeira de Fráguas,27.84
São João de Loure e Frossos,31.20
Anadia,38.17
Avelãs de Caminho,38.57
Avelãs de Cima,33.33
Moita,34.36
Sangalhos,39.27
São Lourenço do Bairro,35.15
"União das freguesias de Amoreira da Gândara, Paredes do Bairro e Ancas",29.20
União das freguesias de Arcos e Mogofores,48.11
"União das freguesias de Tamengos, Aguim e Óis do Bairro",42.75
Vila Nova de Monsarros,28.40
Vilarinho do Bairro,30.98
Aveiro,54.45
Aradas,56.91
Cacia,40.42
Eixo e Eirol,43.31
Esgueira,54.91
Oliveirinha,38.57
"Requeixo, Nossa Senhora de Fátima e Nariz",32.22
Santa Joana,48.23
São Bernardo,58.64
São Jacinto,30.51
União das freguesias de Glória e Vera Cruz,70.79
Estarreja,37.03
Avanca,37.37
Pardilhó,30.27
Salreu,33.92
União das freguesias de Beduído e Veiros,41.03
União das freguesias de Canelas e Fermelã,36.59
Ílhavo,46.54
Gafanha da Encarnação,40.43
Gafanha da Nazaré,49.30
Gafanha do Carmo,33.79
Ílhavo (São Salvador),47.16
Murtosa,32.37
Bunheiro,28.36
Monte,35.31
Murtosa,30.33
Torreira,36.87
Oliveira do Bairro,41.77
Oiã,43.63
Oliveira do Bairro,45.22
Palhaça,39.10
