Local de residência (à data dos Censos 2021),Proporção da população residente com pelo menos o ensino secundário completo (%) por Local de residência (à data dos Censos 2021) e Sexo; Decenal
"União das freguesias de Bustos, Troviscal e Mamarrosa",37.19
Ovar,43.36
Cortegaça,42.12
Esmoriz,46.13
Maceda,35.59
"União das freguesias de Ovar, São João, Arada e São Vicente de Pereira Jusã",45
Válega,35.60
Sever do Vouga,35.45
Couto de Esteves,23.16
Pessegueiro do Vouga,40.39
Rocas do Vouga,28.04
Sever do Vouga,45.71
Talhadas,31.69
União das freguesias de Cedrim e Paradela,32.65
União das freguesias de Silva Escura e Dornelas,32.22
Vagos,37.59
Calvão,39.98
Gafanha da Boa Hora,42.66
Ouca,32.65
Santo André de Vagos,31.11
Sosa,31.42
União das freguesias de Fonte de Angeão e Covão do Lobo,30.44
União das freguesias de Ponte de Vagos e Santa Catarina,34.23
União das freguesias de Vagos e Santo António,44.74
Região de Coimbra,45.28
Arganil,31.92
Arganil,40.75
Benfeita,28.65
Celavisa,18.18
Folques,28.85
Piódão,15.60
Pomares,18.06
Pombeiro da Beira,22.11
São Martinho da Cortiça,29.04
Sarzedo,32.01
Secarias,31.78
União das freguesias de Cepos e Teixeira,10.11
União das freguesias de Cerdeira e Moura da Serra,22.38
União das freguesias de Côja e Barril de Alva,33.33
União das freguesias de Vila Cova de Alva e Anseriz,28.75
Cantanhede,38.02
Ançã,45.38
Cadima,31.50
Cordinhã,35.32
Febres,30.96
Murtede,32.78
Ourentã,33.13
Sanguinheira,30.68
São Caetano,30.05
Tocha,37.04
União das freguesias de Cantanhede e Pocariça,51.65
União das freguesias de Covões e Camarneira,26.18
União das freguesias de Portunhos e Outil,37.07
União das freguesias de Sepins e Bolho,31.62
União das freguesias de Vilamar e Corticeiro de Cima,30.61
Coimbra,58.68
Almalaguês,41.42
Brasfemes,46.89
Ceira,40.67
Cernache,50.04
Santo António dos Olivais,75.10
São João do Campo,33.67
São Silvestre,41.28
Torres do Mondego,39.25
União das freguesias de Antuzede e Vil de Matos,39.64
União das freguesias de Assafarge e Antanhol,55.69
"União das freguesias de Coimbra (Sé Nova, Santa Cruz, Almedina e São Bartolomeu)",66.57
União das freguesias de Eiras e São Paulo de Frades,54.85
União das freguesias de Santa Clara e Castelo Viegas,61.92
União das freguesias de São Martinho de Árvore e Lamarosa,35.52
União das freguesias de São Martinho do Bispo e Ribeira de Frades,52.23
União das freguesias de Souselas e Botão,35.28
"União das freguesias de Taveiro, Ameal e Arzila",43.92
União das freguesias de Trouxemil e Torre de Vilela,41.37
Condeixa-a-Nova,49.95
Anobra,40.36
Ega,38.78
Furadouro,34.18
União das freguesias de Condeixa-a-Velha e Condeixa-a-Nova,56.22
União das freguesias de Sebal e Belide,51.68
União das freguesias de Vila Seca e Bem da Fé,39.87
Zambujal,38.28
Figueira da Foz,44.37
Alhadas,33.33
Alqueidão,32.78
Bom Sucesso,27
Buarcos e São Julião,54.05
Ferreira-a-Nova,27.52
Lavos,36.49
Maiorca,33.09
Marinha das Ondas,34.59
Moinhos da Gândara,28.70
Paião,34.91
Quiaios,38.70
São Pedro,36.10
Tavarede,59.08
Vila Verde,36.93
Góis,29.76
Alvares,19.75
Góis,35.52
União das freguesias de Cadafaz e Colmeal,24.67
Vila Nova do Ceira,27.77
Lousã,44.69
Gândaras,31.68
Serpins,36.39
União das freguesias de Foz de Arouce e Casal de Ermio,40.36
União das freguesias de Lousã e Vilarinho,47.41
Mealhada,42.44
Barcouço,39.94
Casal Comba,37.44
Luso,36.88
Pampilhosa,45.99
"União das freguesias da Mealhada, Ventosa do Bairro e Antes",48.30
Vacariça,32.65
Mira,38.57
Carapelhos,36.25
Mira,38.56
Praia de Mira,40.72
Seixo,34.38
Miranda do Corvo,38.13
Lamas,36.02
Miranda do Corvo,42.05
União das freguesias de Semide e Rio Vide,32.61
Vila Nova,29.10
Montemor-o-Velho,40.33
Arazede,30.68
Carapinheira,36.62
Ereira,33.53
Liceia,28.60
Meãs do Campo,35.92
Pereira,58.63
Santo Varão,52.14
Seixo de Gatões,33.88
Tentúgal,37.21
"União das freguesias de Abrunheira, Verride e Vila Nova da Barca",33.22
União das freguesias de Montemor-o-Velho e Gatões,48.38
Mortágua,30.30
Cercosa,21.51
Espinho,20.20
Marmeleira,26.94
Pala,24.74
Sobral,27.78
Trezói,18.10
"União das freguesias de Mortágua, Vale de Remígio, Cortegaça e Almaça",38.07
Oliveira do Hospital,33.92
Aldeia das Dez,20.19
Alvoco das Várzeas,21.60
Avô,22.58
Bobadela,36.15
Lagares,32.80
Lourosa,25.82
Meruge,27.19
Nogueira do Cravo,31.09
São Gião,17.78
Seixo da Beira,25.50
Travanca de Lagos,28.95
União das freguesias de Ervedal e Vila Franca da Beira,30.85
União das freguesias de Lagos da Beira e Lajeosa,27.76
União das freguesias de Oliveira do Hospital e São Paio de Gramaços,46.41
União das freguesias de Penalva de Alva e São Sebastião da Feira,27.76
União das freguesias de Santa Ovaia e Vila Pouca da Beira,34.74
Pampilhosa da Serra,21.38
Cabril,21.55
Dornelas do Zêzere,19.23
Fajão-Vidual,18.33
Janeiro de Baixo,17.94
Pampilhosa da Serra,31.13
Pessegueiro,14.44
Portela do Fojo-Machio,12.39
Unhais-o-Velho,16
Penacova,30.40
Carvalho,19.18
Figueira de Lorvão,30.31
Lorvão,31.36
Penacova,35.52
Sazes do Lorvão,33.60
União das freguesias de Friúmes e Paradela,26.86
União das freguesias de Oliveira do Mondego e Travanca do Mondego,27.53
União das freguesias de São Pedro de Alva e São Paio de Mondego,26.64
Penela,34.70
Cumeeira,28.89
Espinhal,34.12
Podentes,36.65
"União das freguesias de São Miguel, Santa Eufémia e Rabaçal",36.04
Soure,36.52
Alfarelos,43.80
Figueiró do Campo,35.34
Granja do Ulmeiro,47.94
Samuel,33.85
Soure,37.07
Tapéus,31.49
União das freguesias de Degracias e Pombalinho,21.96
União das freguesias de Gesteira e Brunhós,31.31
Vila Nova de Anços,37.76
Vinha da Rainha,31.63
Tábua,31.72
Candosa,23.75
Carapinha,29.72
Midões,28.41
Mouronho,29.49
Póvoa de Midões,27.11
São João da Boa Vista,29.94
Tábua,41
União das freguesias de Ázere e Covelo,23.47
União das freguesias de Covas e Vila Nova de Oliveirinha,28.91
União das freguesias de Espariz e Sinde,26.13
União das freguesias de Pinheiro de Coja e Meda de Mouros,27.23
Vila Nova de Poiares,36.09
Arrifana,31.05
Lavegadas,24.20
Poiares (Santo André),40.26
São Miguel de Poiares,29.59
Região de Leiria,42.68
Alvaiázere,29.96
Almoster,25.46
Alvaiázere,38.03
Maçãs de Dona Maria,25.97
Pelmá,16.90
Pussos São Pedro,31.83
Ansião,34.62
Alvorge,27.42
Ansião,42
Avelar,40.36
Chão de Couce,30.31
Pousaflores,27.85
Santiago da Guarda,29.14
Batalha,41.71
Batalha,45.80
Golpilheira,39.17
Reguengo do Fetal,37.43
São Mamede,34.96
Castanheira de Pêra,27.36
União das freguesias de Castanheira de Pêra e Coentral,27.36
Figueiró dos Vinhos,30.65
Aguda,23.46
Arega,21.57
Campelo,25.71
União das freguesias de Figueiró dos Vinhos e Bairradas,34.76
Leiria,48.02
Amor,36.27
Arrabal,39.69
Bajouca,33.66
Bidoeira de Cima,36.19
Caranguejeira,34.63
Coimbrão,31.28
Maceira,39.42
Milagres,38.02
Regueira de Pontes,37.94
União das freguesias de Colmeias e Memória,31.31
"União das freguesias de Leiria, Pousos, Barreira e Cortes",61.74
União das freguesias de Marrazes e Barosa,55.65
União das freguesias de Monte Real e Carvide,39.86
União das freguesias de Monte Redondo e Carreira,30.47
União das freguesias de Parceiros e Azoia,55.25
União das freguesias de Santa Catarina da Serra e Chainça,35.99
União das freguesias de Santa Eufémia e Boa Vista,39.80
União das freguesias de Souto da Carpalhosa e Ortigosa,34.99
Marinha Grande,45.89
Marinha Grande,47.52
Moita,38.45
Vieira de Leiria,38.10
Pedrógão Grande,29.97
Graça,29.49
Pedrógão Grande,30.94
Vila Facaia,26.43
Pombal,35.94
Abiul,23.02
Almagreira,27.54
Carnide,27.59
Carriço,30.28
Louriçal,31.23
Meirinhas,42.04
Pelariga,33.59
Pombal,47.17
Redinha,29.40
"União das freguesias de Guia, Ilha e Mata Mourisca",32.21
União das freguesias de Santiago e São Simão de Litém e Albergaria dos Doze,30
Vermoil,32.25
Vila Cã,29.72
Porto de Mós,38.18
Alqueidão da Serra,37.08
Calvaria de Cima,39.08
Juncal,34.71
Mira de Aire,37.84
Pedreiras,39.84
Porto de Mós - São João Baptista e São Pedro,44.90
São Bento,24.30
Serro Ventoso,29.40
União das freguesias de Alvados e Alcaria,34.74
União das freguesias de Arrimal e Mendiga,31.02
Viseu Dão Lafões,38.61
Aguiar da Beira,24.52
Carapito,26.70
Cortiçada,13.71
Dornelas,16.83
Eirado,17.28
Forninhos,23.08
Pena Verde,25.96
Pinheiro,20.77
União das freguesias de Aguiar da Beira e Coruche,30.27
União das freguesias de Sequeiros e Gradiz,23.87
União das freguesias de Souto de Aguiar da Beira e Valverde,24.11
Carregal do Sal,30.53
Beijós,26.26
Cabanas de Viriato,27.71
Oliveira do Conde,31.80
Parada,22.31
Carregal do Sal,33.80
Castro Daire,26.58
Almofala,18.05
Cabril,14.19
Castro Daire,37.17
Cujó,23.58
Gosende,19.27
Mões,25.34
Moledo,14.96
Monteiras,22.01
Pepim,19.13
Pinheiro,13.99
São Joaninho,25.73
"União das freguesias de Mamouros, Alva e Ribolhos",28.42
União das freguesias de Mezio e Moura Morta,28.85
União das freguesias de Parada de Ester e Ester,16.10
União das freguesias de Picão e Ermida,19.69
União das freguesias de Reriz e Gafanhão,25.16
Mangualde,33.64
Abrunhosa-a-Velha,19.85
Alcafache,31.30
Cunha Baixa,24.30
Espinho,21.72
Fornos de Maceira Dão,27.16
Freixiosa,22.44
Quintela de Azurara,30.59
São João da Fresta,17.69
"União das freguesias de Mangualde, Mesquitela e Cunha Alta",40.88
União das freguesias de Moimenta de Maceira Dão e Lobelhe do Mato,24.73
União das freguesias de Santiago de Cassurrães e Póvoa de Cervães,24.07
"União das freguesias de Tavares (Chãs, Várzea e Travanca)",26.87
Nelas,34.97
Canas de Senhorim,39.63
Lapa do Lobo,24.88
Nelas,44.20
Senhorim,22.71
União das freguesias de Carvalhal Redondo e Aguieira,25.13
União das freguesias de Santar e Moreira,24.10
Vilar Seco,24.47
Oliveira de Frades,35.25
Arcozelo das Maias,28.63
Pinheiro,34.56
Ribeiradio,25.10
São João da Serra,16.58
São Vicente de Lafões,34.47
União das freguesias de Arca e Varzielas,24.75
União das freguesias de Destriz e Reigoso,27.13
"União das freguesias de Oliveira de Frades, Souto de Lafões e Sejães",45.28
Penalva do Castelo,25.47
Castelo de Penalva,20.81
Esmolfe,29.94
Germil,20.22
Ínsua,35.71
Lusinde,19.16
Pindo,24.98
Real,22.64
Sezures,17.19
Trancozelos,15.49
União das freguesias de Antas e Matela,17.49
União das freguesias de Vila Cova do Covelo/Mareco,15.95
Santa Comba Dão,33.22
Pinheiro de Ázere,32.60
São Joaninho,26.33
São João de Areias,24.35
União das freguesias de Ovoa e Vimieiro,28.54
União das freguesias de Santa Comba Dão e Couto do Mosteiro,42.29
União das freguesias de Treixedo e Nagozela,25.94
São Pedro do Sul,31.50
Bordonhos,39.03
Figueiredo de Alva,24.40
Manhouce,16.13
Pindelo dos Milagres,19.69
Pinho,24.05
São Félix,29.70
Serrazes,29.46
Sul,17.60
União das freguesias de Carvalhais e Candal,27.55
União das freguesias de Santa Cruz da Trapa e São Cristóvão de Lafões,32.93
União das freguesias de São Martinho das Moitas e Covas do Rio,11.89
"União das freguesias de São Pedro do Sul, Várzea e Baiões",42.48
Valadares,22.20
Vila Maior,23.25
Sátão,32.11
Avelal,28.08
Ferreira de Aves,23.21
Mioma,34.92
Rio de Moinhos,22.96
São Miguel de Vila Boa,27.91
Sátão,44.45
Silvã de Cima,25.66
União das freguesias de Águas Boas e Forles,23.44
"União das freguesias de Romãs, Decermilo e Vila Longa",20.94
Tondela,33.45
Campo de Besteiros,37.61
Canas de Santa Maria,32.79
Castelões,27.17
Dardavaz,24.80
Ferreirós do Dão,23.47
Guardão,25.29
Lajeosa do Dão,25.49
Lobão da Beira,32.76
Molelos,34.11
Parada de Gonta,33.21
Santiago de Besteiros,27.65
Tonda,34.92
União das freguesias de Barreiro de Besteiros e Tourigo,25.14
União das freguesias de Caparrosa e Silvares,29.20
União das freguesias de Mouraz e Vila Nova da Rainha,29.14
União das freguesias de São João do Monte e Mosteirinho,16.81
União das freguesias de São Miguel do Outeiro e Sabugosa,28.76
União das freguesias de Tondela e Nandufe,49.58
União das freguesias de Vilar de Besteiros e Mosteiro de Fráguas,33.90
Vila Nova de Paiva,30.12
Pendilhe,21.64
Queiriga,27.03
Touro,23.73
"União das freguesias de Vila Nova de Paiva, Alhais e Fráguas",40.64
Vila Cova à Coelheira,21.44
Viseu,49.54
Abraveses,51.78
Bodiosa,30.56
Calde,22.39
Campo,44.89
Cavernães,32.20
Cota,17.12
Fragosela,44.76
Lordosa,29.42
Mundão,52.81
Orgens,47.80
Povolide,24.61
Ranhados,63.72
Ribafeita,24.97
Rio de Loba,53.36
Santos Evos,28.03
São João de Lourosa,39.74
São Pedro de France,22.74
Silgueiros,29.46
União das freguesias de Barreiros e Cepões,25.70
"União das freguesias de Boa Aldeia, Farminhão e Torredeita",27.92
Coutos de Viseu,31.09
Freguesia de Fail e Vila Chã de Sá,41.50
Repeses e São Salvador,60.64
São Cipriano e Vil de Souto,35.64
Viseu,65.80
Vouzela,32.33
Alcofra,23.45
Campia,33.15
Fornelo do Monte,23.11
Queirã,30.13
São Miguel do Mato,27.08
União das freguesias de Cambra e Carvalhal de Vermilhas,31.35
União das freguesias de Fataunços e Figueiredo das Donas,32.64
União das freguesias de Vouzela e Paços de Vilharigues,44.88
Ventosa,23.97
Beira Baixa,40.17
Castelo Branco,47.11
Alcains,41.03
Almaceda,14.17
Benquerenças,32.38
Castelo Branco,56.91
Lardosa,29.37
Louriçal do Campo,26.40
Malpica do Tejo,16.34
Monforte da Beira,10.74
Salgueiro do Campo,26.60
Santo André das Tojeiras,14.38
São Vicente da Beira,23.73
Sarzedas,18.82
Tinalhas,25.27
União das freguesias de Cebolais de Cima e Retaxo,31.17
União das freguesias de Escalos de Baixo e Mata,25.24
União das freguesias de Escalos de Cima e Lousa,29.48
União das freguesias de Freixial e Juncal do Campo,23.95
União das freguesias de Ninho do Açor e Sobral do Campo,25.48
União das freguesias de Póvoa de Rio de Moinhos e Cafede,35.26
Idanha-a-Nova,26.66
Aldeia de Santa Margarida,24.61
Ladoeiro,28.56
Medelim,21.90
Oledo,27.76
Penha Garcia,17.79
Proença-a-Velha,20.65
Rosmaninhal,13.93
São Miguel de Acha,27.97
Toulões,16.06
União das freguesias de Idanha-a-Nova e Alcafozes,39.83
União das freguesias de Monfortinho e Salvaterra do Extremo,25.38
União das freguesias de Monsanto e Idanha-a-Velha,22.21
União das freguesias de Zebreira e Segura,13.59
Oleiros,25.18
Álvaro,27.44
Cambas,10.16
Estreito-Vilar Barroco,20.61
Isna,15.54
Madeirã,17.24
Mosteiro,23.79
Oleiros-Amieira,33.33
Orvalho,21.19
Sarnadas de São Simão,15.72
Sobral,13.77
Penamacor,27.10
Aranhas,28.26
Benquerença,23.53
Meimão,13.66
Meimoa,25.26
Penamacor,39.03
Salvador,16.43
"União das freguesias de Aldeia do Bispo, Águas e Aldeia de João Pires",23.35
União das freguesias de Pedrógão de São Pedro e Bemposta,20.75
Vale da Senhora da Póvoa,22.54
Proença-a-Nova,32.49
Montes da Senhora,25.17
São Pedro do Esteval,19.58
União das freguesias de Proença-a-Nova e Peral,39.30
União das freguesias de Sobreira Formosa e Alvito da Beira,20.92
Vila Velha de Ródão,27.89
Fratel,22.18
Perais,19.16
Sarnadas de Ródão,27.32
Vila Velha de Ródão,32.18
Médio Tejo,40.33
Abrantes,37.88
Bemposta,19.55
Carvalhal,22.13
Fontes,11.70
Martinchel,27.66
Mouriscas,29.58
Pego,30.08
Rio de Moinhos,29.05
Tramagal,35.35
União das freguesias de Abrantes (São Vicente e São João) e Alferrarede,49.95
União das freguesias de Aldeia do Mato e Souto,22.12
União das freguesias de Alvega e Concavada,24.11
União das freguesias de São Facundo e Vale das Mós,20.63
União das freguesias de São Miguel do Rio Torto e Rossio ao Sul do Tejo,31.24
Alcanena,37.87
Bugalhos,35.14
Minde,38
Moitas Venda,36.49
Monsanto,30.63
Serra de Santo António,33.40
União das freguesias de Alcanena e Vila Moreira,41.77
"União das freguesias de Malhou, Louriceira e Espinheiro",33.63
Constância,41.85
Constância,51.72
Montalvo,39.53
Santa Margarida da Coutada,37.95
Entroncamento,53.97
Nossa Senhora de Fátima,56.16
São João Baptista,50.28
Ferreira do Zêzere,31.59
Águas Belas,33.64
Beco,23.64
Chãos,30.15
Ferreira do Zêzere,42.20
Igreja Nova do Sobral,22.81
Nossa Senhora do Pranto,30.15
União das freguesias de Areias e Pias,23.78
Mação,29.58
Amêndoa,19.45
Cardigos,27.26
Carvoeiro,19.01
Envendos,20.42
Ortiga,26.40
"União das freguesias de Mação, Penhascoso e Aboboreira",36.51
Ourém,39.03
Alburitel,37.49
Atouguia,37.40
Caxarias,36.64
Espite,26.64
Fátima,48.26
Nossa Senhora da Piedade,46.72
Nossa Senhora das Misericórdias,35.47
Seiça,33.54
"União das freguesias de Freixianda, Ribeira do Fárrio e Formigais",26.37
União das freguesias de Gondemaria e Olival,31.12
União das freguesias de Matas e Cercal,30.84
União das freguesias de Rio de Couros e Casal dos Bernardos,25.69
Urqueira,28.80
Sardoal,34.47
Alcaravela,25.80
Santiago de Montalegre,24.87
Sardoal,38.08
Valhascos,37.13
Sertã,34.27
Cabeçudo,33.79
Carvalhal,25.87
Castelo,25.71
Pedrógão Pequeno,29.55
Sertã,43.25
Troviscal,20.03
"União das freguesias de Cernache do Bonjardim, Nesperal e Palhais",32.35
União das freguesias de Cumeada e Marmeleiro,25.17
União das freguesias de Ermida e Figueiredo,13.52
Várzea dos Cavaleiros,26.73
Tomar,41.79
Asseiceira,34.46
Carregueiros,40.50
Olalhas,27
Paialvo,32.41
Sabacheira,30.85
São Pedro de Tomar,35.37
União das freguesias de Além da Ribeira e Pedreira,29.63
União das freguesias de Casais e Alviobeira,34.04
União das freguesias de Madalena e Beselga,37.98
União das freguesias de Serra e Junceira,35.55
União das freguesias de Tomar (São João Baptista) e Santa Maria dos Olivais,50.48
Torres Novas,43.69
Assentiz,31.82
Chancelaria,31.63
Meia Via,46.09
Pedrógão,33.44
Riachos,41.54
"União das freguesias de Brogueira, Parceiros de Igreja e Alcorochel",34.27
União das freguesias de Olaia e Paço,36.72
"União das freguesias de Torres Novas (Santa Maria, Salvador e Santiago)",51.73
"União das freguesias de Torres Novas (São Pedro), Lapas e Ribeira Branca",50.50
Zibreira,39.15
Vila de Rei,30.37
Fundada,24.56
São João do Peso,20.47
Vila de Rei,32.25
Vila Nova da Barquinha,43.82
Atalaia,46.09
Praia do Ribatejo,33.12
Tancos,35.50
Vila Nova da Barquinha,47.71
Beiras e Serra da Estrela,36.98
Almeida,28.12
Almeida,38.39
Castelo Bom,23.64
Freineda,23.60
Freixo,27.74
Malhada Sorda,22.73
Nave de Haver,11.31
São Pedro de Rio Seco,22.30
"União das freguesias de Amoreira, Parada e Cabreira",24.23
"União das freguesias de Azinhal, Peva e Valverde",15.18
"União das freguesias de Castelo Mendo, Ade, Monteperobolso e Mesquitela",20.20
União das freguesias de Junça e Naves,18.47
"União das freguesias de Leomil, Mido, Senouras e Aldeia Nova",12.68
União das freguesias de Malpartida e Vale de Coelha,18.93
União das freguesias de Miuzela e Porto de Ovelha,19.77
Vale da Mula,17.93
Vilar Formoso,36.23
Belmonte,34.80
Caria,34.29
Inguias,30.87
Maçainhas,30.71
União das freguesias de Belmonte e Colmeal da Torre,36.12
Celorico da Beira,28.96
Baraçal,19.64
Carrapichana,18.18
Casas do Soeiro,43.37
Forno Telheiro,26.78
Lajeosa do Mondego,27.62
Linhares,26.29
Maçal do Chão,26.45
Mesquitela,26.14
Minhocal,24.24
Prados,11.85
Ratoeira,21.76
União das freguesias de Açores e Velosa,27.01
União das freguesias de Celorico (São Pedro e Santa Maria) e Vila Boa do Mondego,36.67
"União das freguesias de Cortiçô da Serra, Vide entre Vinhas e Salgueirais",17.58
União das freguesias de Rapa e Cadafaz,15
Vale de Azares,25.17
Covilhã,43.40
Aldeia de São Francisco de Assis,20
Boidobra,53.14
Cortes do Meio,27.37
Dominguizo,38.60
Erada,25.80
Ferro,36.18
Orjais,30.22
Paul,38.30
Peraboa,30.90
São Jorge da Beira,12.71
Sobral de São Miguel,11.27
Tortosendo,49.40
Unhais da Serra,26.38
União das freguesias de Barco e Coutada,30.35
União das freguesias de Cantar-Galo e Vila do Carvalho,29.57
União das freguesias de Casegas e Ourondo,24.24
União das freguesias de Covilhã e Canhoso,54.32
União das freguesias de Peso e Vales do Rio,34.15
União das freguesias de Teixoso e Sarzedo,36.11
União das freguesias de Vale Formoso e Aldeia do Souto,24.63
Verdelhos,16.67
Figueira de Castelo Rodrigo,26.28
Castelo Rodrigo,35.22
Escalhão,19.89
Figueira de Castelo Rodrigo,37.06
Mata de Lobos,17.49
"União das freguesias de Algodres, Vale de Afonsinho e Vilar de Amargo",18.64
União das freguesias de Almofala e Escarigo,10.12
União das freguesias de Cinco Vilas e Reigada,17.18
"União das freguesias de Freixeda do Torrão, Quintã de Pêro Martins e Penha de Águia",15.17
União das freguesias do Colmeal e Vilar Torpim,27.33
Vermiosa,14.39
Fornos de Algodres,27.45
Algodres,24.32
Casal Vasco,22.61
Figueiró da Granja,21.82
Fornos de Algodres,36.93
Infias,39.01
Maceira,23.11
Matança,21.65
Muxagata,20.62
Queiriz,19
União das freguesias de Cortiçô e Vila Chã,15.48
"União das freguesias de Juncais, Vila Ruiva e Vila Soeiro do Chão",24.20
União das freguesias de Sobral Pichorro e Fuinhas,17.39
Fundão,35.89
Alcaide,26.35
Alcaria,37.77
Alcongosta,29.25
Alpedrinha,31.17
Barroca,15.86
Bogas de Cima,14.98
Capinha,28.69
Castelejo,23.26
Castelo Novo,43.27
Enxames,26.98
Fatela,32.82
Lavacolhos,15.79
Orca,19.60
Pêro Viseu,31.53
Silvares,28.34
Soalheira,29.32
Souto da Casa,30.43
Telhado,26.98
Três Povos,16.42
"União das freguesias de Fundão, Valverde, Donas, Aldeia de Joanes e Aldeia Nova do Cabo",46.69
União das freguesias de Janeiro de Cima e Bogas de Baixo,17.17
União das freguesias de Póvoa de Atalaia e Atalaia do Campo,20.65
União das freguesias de Vale de Prazeres e Mata da Rainha,22.84
Gouveia,30.23
Arcozelo,27.24
Cativelos,24.39
Folgosinho,21.95
Gouveia,37.92
Nespereira,29.88
Paços da Serra,27.69
Ribamondego,20.91
São Paio,22.04
União das freguesias de Aldeias e Mangualde da Serra,33.33
União das freguesias de Figueiró da Serra e Freixo da Serra,27.70
União das freguesias de Melo e Nabais,20.44
União das freguesias de Moimenta da Serra e Vinhó,29.45
União das freguesias de Rio Torto e Lagarinhos,32.38
Vila Cortês da Serra,25.95
Vila Franca da Serra,29.95
Vila Nova de Tazem,31.95
Guarda,48.60
Adão,29.96
Aldeia do Bispo,45.83
Aldeia Viçosa,22.40
Alvendre,32.10
Arrifana,38.30
Avelãs da Ribeira,20.45
Benespera,20.77
Casal de Cinza,40
Castanheira,22.88
Cavadoude,34.70
Codesseiro,20.14
Faia,21.51
Famalicão,16.55
Fernão Joanes,15.64
Gonçalo,27.26
Gonçalo Bocas,36.16
Guarda,59.52
Jarmelo São Miguel,21.62
Jarmelo São Pedro,31.23
João Antão,25.22
Maçainhas,43.36
Marmeleiro,16.85
Meios,24.82
Panoias de Cima,37.53
Pega,20.91
Pêra do Moço,31.21
Porto da Carne,23.78
Ramela,21.25
Santana da Azinha,23.01
Sobral da Serra,26.60
União de freguesias de Avelãs de Ambom e Rocamondo,27.48
União de freguesias de Corujeira e Trinta,25.27
"União de freguesias de Mizarela, Pêro Soares e Vila Soeiro",25.67
União de freguesias de Pousade e Albardo,26.60
União de freguesias de Rochoso e Monte Margarida,13.07
Vale de Estrela,36.73
Valhelhas,26.91
Vela,25.94
Videmonte,25
Vila Cortês do Mondego,30.49
Vila Fernando,30.86
Vila Franca do Deão,28.70
Vila Garcia,38.76
Manteigas,30.33
Manteigas (Santa Maria),36.36
Manteigas (São Pedro),30.06
Sameiro,19.35
Vale de Amoreira,12.06
Mêda,26.16
Aveloso,14
Barreira,14.56
Coriscada,17.96
Longroiva,19.80
Marialva,13.45
Poço do Canto,24.18
Rabaçal,16
Ranhados,13.95
"Mêda, Outeiro de Gatos e Fonte Longa",34.74
Prova e Casteição,16.33
"União das freguesias de Vale Flor, Carvalhal e Pai Penela",18.93
Pinhel,27.86
Agregação das freguesias Sul de Pinhel,22.84
Alto do Palurdo,21.23
Alverca da Beira/Bouça Cova,23.14
Ervedosa,12.31
Freixedas,23.97
Lamegal,19.02
Lameiras,20.32
Manigoto,11.81
Pala,20.52
Pinhel,39.86
Pínzio,24.78
Souro Pires,25.87
Terras de Massueime,14.51
União das freguesias de Atalaia e Safurdão,17.02
Valbom/Bogalhal,13.89
Vale do Côa,8.07
Vale do Massueime,17.54
Vascoveiro,16.20
Sabugal,26.81
Águas Belas,24
Aldeia da Ponte,21.16
Aldeia do Bispo,24.36
Aldeia Velha,18.80
Alfaiates,17.86
Baraçal,37.30
Bendada,18.43
Bismula,16.02
Casteleiro,16.90
Cerdeira,26.38
Fóios,25.77
Malcata,17.49
Nave,19.43
Quadrazais,14.16
Quintas de São Bartolomeu,28.85
Rapoula do Côa,36.32
Rebolosa,21.99
Rendo,32.31
Sortelha,20
