Local de residência (à data dos Censos 2021),Proporção da população residente com ensino superior completo (%) por Local de residência (à data dos Censos 2021) e Sexo; Decenal
Ovar,18.77
Cortegaça,19.60
Esmoriz,22.36
Maceda,12.31
"União das freguesias de Ovar, São João, Arada e São Vicente de Pereira Jusã",19.40
Válega,12.19
Sever do Vouga,14.06
Couto de Esteves,9.54
Pessegueiro do Vouga,18.09
Rocas do Vouga,10.23
Sever do Vouga,18.40
Talhadas,13.02
União das freguesias de Cedrim e Paradela,10.36
União das freguesias de Silva Escura e Dornelas,12.71
Vagos,15.29
Calvão,17.42
Gafanha da Boa Hora,20.50
Ouca,11.08
Santo André de Vagos,9.47
Sosa,10.70
União das freguesias de Fonte de Angeão e Covão do Lobo,11.80
União das freguesias de Ponte de Vagos e Santa Catarina,13.12
União das freguesias de Vagos e Santo António,19.60
Região de Coimbra,22.71
Arganil,10.19
Arganil,13.88
Benfeita,14.53
Celavisa,3.10
Folques,6.58
Piódão,3.81
Pomares,3.46
Pombeiro da Beira,5.85
São Martinho da Cortiça,9.77
Sarzedo,9.93
Secarias,9.76
União das freguesias de Cepos e Teixeira,1.10
União das freguesias de Cerdeira e Moura da Serra,6.55
União das freguesias de Côja e Barril de Alva,9.62
União das freguesias de Vila Cova de Alva e Anseriz,9.79
Cantanhede,16.88
Ançã,23.85
Cadima,12.23
Cordinhã,12.71
Febres,11.76
Murtede,12.93
Ourentã,13.36
Sanguinheira,10.03
São Caetano,15.47
Tocha,15.37
União das freguesias de Cantanhede e Pocariça,25.65
União das freguesias de Covões e Camarneira,10.41
União das freguesias de Portunhos e Outil,17.36
União das freguesias de Sepins e Bolho,12.60
União das freguesias de Vilamar e Corticeiro de Cima,12.97
Coimbra,36.33
Almalaguês,17.88
Brasfemes,21.56
Ceira,17.70
Cernache,25.74
Santo António dos Olivais,55.89
São João do Campo,12.94
São Silvestre,17.12
Torres do Mondego,17.20
União das freguesias de Antuzede e Vil de Matos,16.16
União das freguesias de Assafarge e Antanhol,31.62
"União das freguesias de Coimbra (Sé Nova, Santa Cruz, Almedina e São Bartolomeu)",44.02
União das freguesias de Eiras e São Paulo de Frades,28.88
União das freguesias de Santa Clara e Castelo Viegas,39.37
União das freguesias de São Martinho de Árvore e Lamarosa,12.39
União das freguesias de São Martinho do Bispo e Ribeira de Frades,28.79
União das freguesias de Souselas e Botão,13.67
"União das freguesias de Taveiro, Ameal e Arzila",19.62
União das freguesias de Trouxemil e Torre de Vilela,17.75
Condeixa-a-Nova,25.50
Anobra,17.84
Ega,17.23
Furadouro,16.13
União das freguesias de Condeixa-a-Velha e Condeixa-a-Nova,30.47
União das freguesias de Sebal e Belide,26.78
União das freguesias de Vila Seca e Bem da Fé,15.19
Zambujal,18.64
Figueira da Foz,19.83
Alhadas,10.78
Alqueidão,11.82
Bom Sucesso,7.95
Buarcos e São Julião,28.05
Ferreira-a-Nova,9.82
Lavos,14.41
Maiorca,10.18
Marinha das Ondas,10.79
Moinhos da Gândara,9.54
Paião,13.27
Quiaios,15.60
São Pedro,13.43
Tavarede,29.20
Vila Verde,13.10
Góis,9.56
Alvares,4.96
Góis,12.59
União das freguesias de Cadafaz e Colmeal,8.42
Vila Nova do Ceira,7.52
Lousã,17.87
Gândaras,9.54
Serpins,12.94
União das freguesias de Foz de Arouce e Casal de Ermio,15.81
União das freguesias de Lousã e Vilarinho,19.50
Mealhada,18.50
Barcouço,17.11
Casal Comba,13.80
Luso,15.39
Pampilhosa,20.23
"União das freguesias da Mealhada, Ventosa do Bairro e Antes",23.05
Vacariça,12.62
Mira,18.08
Carapelhos,15.93
Mira,18.16
Praia de Mira,18.64
Seixo,17.37
Miranda do Corvo,14.51
Lamas,10.18
Miranda do Corvo,16.84
União das freguesias de Semide e Rio Vide,12.21
Vila Nova,8.28
Montemor-o-Velho,16.94
Arazede,10.44
Carapinheira,14.25
Ereira,12.09
Liceia,8.82
Meãs do Campo,15.85
Pereira,31.17
Santo Varão,21.99
Seixo de Gatões,12.61
Tentúgal,14.71
"União das freguesias de Abrunheira, Verride e Vila Nova da Barca",11.55
União das freguesias de Montemor-o-Velho e Gatões,21.79
Mortágua,12.73
Cercosa,7.38
Espinho,8.63
Marmeleira,11.45
Pala,8.87
Sobral,10.43
Trezói,6.77
"União das freguesias de Mortágua, Vale de Remígio, Cortegaça e Almaça",17.25
Oliveira do Hospital,12.73
Aldeia das Dez,5.74
Alvoco das Várzeas,8.80
Avô,6.86
Bobadela,14.73
Lagares,11.19
Lourosa,6.79
Meruge,8.31
Nogueira do Cravo,11.84
São Gião,7.69
Seixo da Beira,7.57
Travanca de Lagos,8.48
União das freguesias de Ervedal e Vila Franca da Beira,11.36
União das freguesias de Lagos da Beira e Lajeosa,10.19
União das freguesias de Oliveira do Hospital e São Paio de Gramaços,19.65
União das freguesias de Penalva de Alva e São Sebastião da Feira,8.02
União das freguesias de Santa Ovaia e Vila Pouca da Beira,13.32
Pampilhosa da Serra,5.98
Cabril,7.56
Dornelas do Zêzere,6.33
Fajão-Vidual,4.45
Janeiro de Baixo,5.39
Pampilhosa da Serra,8.08
Pessegueiro,3.98
Portela do Fojo-Machio,3.24
Unhais-o-Velho,4.29
Penacova,11.15
Carvalho,5.39
Figueira de Lorvão,10.83
Lorvão,12.63
Penacova,13.05
Sazes do Lorvão,10.39
União das freguesias de Friúmes e Paradela,9.86
União das freguesias de Oliveira do Mondego e Travanca do Mondego,8.06
União das freguesias de São Pedro de Alva e São Paio de Mondego,10.75
Penela,14.39
Cumeeira,11.72
Espinhal,13.13
Podentes,18.69
"União das freguesias de São Miguel, Santa Eufémia e Rabaçal",14.75
Soure,13.26
Alfarelos,18.09
Figueiró do Campo,13.64
Granja do Ulmeiro,18.62
Samuel,11.48
Soure,12.65
Tapéus,13.52
União das freguesias de Degracias e Pombalinho,8.62
União das freguesias de Gesteira e Brunhós,10.01
Vila Nova de Anços,15.49
Vinha da Rainha,10.95
Tábua,10.63
Candosa,7.13
Carapinha,8.89
Midões,10.20
Mouronho,10.54
Póvoa de Midões,7.60
São João da Boa Vista,6.40
Tábua,16.02
União das freguesias de Ázere e Covelo,6.29
União das freguesias de Covas e Vila Nova de Oliveirinha,8.50
União das freguesias de Espariz e Sinde,6.58
União das freguesias de Pinheiro de Coja e Meda de Mouros,5.37
Vila Nova de Poiares,12.47
Arrifana,11.06
Lavegadas,8.61
Poiares (Santo André),13.82
São Miguel de Poiares,10.18
Região de Leiria,18.06
Alvaiázere,10.38
Almoster,9.85
Alvaiázere,13.69
Maçãs de Dona Maria,9.59
Pelmá,4.73
Pussos São Pedro,10.08
Ansião,12.82
Alvorge,9.25
Ansião,16.53
Avelar,13.89
Chão de Couce,11.96
Pousaflores,10.43
Santiago da Guarda,10.24
Batalha,17.49
Batalha,19.63
Golpilheira,17.14
Reguengo do Fetal,14.82
São Mamede,13.81
Castanheira de Pêra,7.96
União das freguesias de Castanheira de Pêra e Coentral,7.96
Figueiró dos Vinhos,10.54
Aguda,7.43
Arega,6.72
Campelo,6.94
União das freguesias de Figueiró dos Vinhos e Bairradas,12.40
Leiria,22.81
Amor,13.19
Arrabal,17.41
Bajouca,11.52
Bidoeira de Cima,13.50
Caranguejeira,13.22
Coimbrão,11.89
Maceira,14.99
Milagres,15.75
Regueira de Pontes,13.39
União das freguesias de Colmeias e Memória,11.23
"União das freguesias de Leiria, Pousos, Barreira e Cortes",35.12
União das freguesias de Marrazes e Barosa,25.90
União das freguesias de Monte Real e Carvide,14.19
União das freguesias de Monte Redondo e Carreira,9.97
União das freguesias de Parceiros e Azoia,30.54
União das freguesias de Santa Catarina da Serra e Chainça,14.73
União das freguesias de Santa Eufémia e Boa Vista,16.74
União das freguesias de Souto da Carpalhosa e Ortigosa,13.21
Marinha Grande,16.82
Marinha Grande,17.63
Moita,12.20
Vieira de Leiria,13.17
Pedrógão Grande,9.58
Graça,8.02
Pedrógão Grande,10.59
Vila Facaia,7.17
Pombal,13.17
Abiul,9.33
Almagreira,7.85
Carnide,8.39
Carriço,8.28
Louriçal,11.06
Meirinhas,16.11
Pelariga,10.49
Pombal,18.97
Redinha,9.47
"União das freguesias de Guia, Ilha e Mata Mourisca",11.96
União das freguesias de Santiago e São Simão de Litém e Albergaria dos Doze,10.69
Vermoil,10.72
Vila Cã,10.27
Porto de Mós,14.68
Alqueidão da Serra,15.53
Calvaria de Cima,13.85
Juncal,13.28
Mira de Aire,13.70
Pedreiras,14.78
Porto de Mós - São João Baptista e São Pedro,19.41
São Bento,6.38
Serro Ventoso,10.48
União das freguesias de Alvados e Alcaria,12.50
União das freguesias de Arrimal e Mendiga,9.44
Viseu Dão Lafões,17.28
Aguiar da Beira,8.71
Carapito,11.05
Cortiçada,4.44
Dornelas,5.28
Eirado,5
Forninhos,3.21
Pena Verde,8.79
Pinheiro,7.84
União das freguesias de Aguiar da Beira e Coruche,12.07
União das freguesias de Sequeiros e Gradiz,6.62
União das freguesias de Souto de Aguiar da Beira e Valverde,8.26
Carregal do Sal,11
Beijós,7.06
Cabanas de Viriato,10.13
Oliveira do Conde,11.85
Parada,7.81
Carregal do Sal,12.46
Castro Daire,9.59
Almofala,4.57
Cabril,5.08
Castro Daire,15.18
Cujó,8.37
Gosende,6.33
Mões,7.63
Moledo,3.62
Monteiras,8
Pepim,4.57
Pinheiro,5.79
São Joaninho,9.73
"União das freguesias de Mamouros, Alva e Ribolhos",9.72
União das freguesias de Mezio e Moura Morta,9.98
União das freguesias de Parada de Ester e Ester,5.38
União das freguesias de Picão e Ermida,5.91
União das freguesias de Reriz e Gafanhão,8.42
Mangualde,13.03
Abrunhosa-a-Velha,5.87
Alcafache,11.47
Cunha Baixa,8.28
Espinho,6.80
Fornos de Maceira Dão,8.14
Freixiosa,7.46
Quintela de Azurara,11.85
São João da Fresta,9.03
"União das freguesias de Mangualde, Mesquitela e Cunha Alta",17.36
União das freguesias de Moimenta de Maceira Dão e Lobelhe do Mato,5.86
União das freguesias de Santiago de Cassurrães e Póvoa de Cervães,7.84
"União das freguesias de Tavares (Chãs, Várzea e Travanca)",8.19
Nelas,14
Canas de Senhorim,17.66
Lapa do Lobo,8.23
Nelas,18.29
Senhorim,6.96
União das freguesias de Carvalhal Redondo e Aguieira,7.79
União das freguesias de Santar e Moreira,9.30
Vilar Seco,7.85
Oliveira de Frades,11.97
Arcozelo das Maias,8.90
Pinheiro,9.96
Ribeiradio,7.59
São João da Serra,4.42
São Vicente de Lafões,9.08
União das freguesias de Arca e Varzielas,6.35
União das freguesias de Destriz e Reigoso,8.27
"União das freguesias de Oliveira de Frades, Souto de Lafões e Sejães",17.53
Penalva do Castelo,9.24
Castelo de Penalva,6.32
Esmolfe,10.59
Germil,7.99
Ínsua,14.29
Lusinde,5.52
Pindo,9.12
Real,5.34
Sezures,5.73
Trancozelos,2.91
União das freguesias de Antas e Matela,6.96
União das freguesias de Vila Cova do Covelo/Mareco,5.29
Santa Comba Dão,12.90
Pinheiro de Ázere,14.53
São Joaninho,10.93
São João de Areias,6.71
União das freguesias de Ovoa e Vimieiro,9.16
União das freguesias de Santa Comba Dão e Couto do Mosteiro,18.30
União das freguesias de Treixedo e Nagozela,7.72
São Pedro do Sul,11.45
Bordonhos,12.68
Figueiredo de Alva,6.80
Manhouce,5.42
Pindelo dos Milagres,7.20
Pinho,7.99
São Félix,10.41
Serrazes,9.83
Sul,5.86
União das freguesias de Carvalhais e Candal,8.52
União das freguesias de Santa Cruz da Trapa e São Cristóvão de Lafões,9.96
União das freguesias de São Martinho das Moitas e Covas do Rio,2.93
"União das freguesias de São Pedro do Sul, Várzea e Baiões",17.43
Valadares,7.85
Vila Maior,7.69
Sátão,12.50
Avelal,8.90
Ferreira de Aves,8.73
Mioma,12.42
Rio de Moinhos,8.63
São Miguel de Vila Boa,9.54
Sátão,18.99
Silvã de Cima,9.12
União das freguesias de Águas Boas e Forles,7.28
"União das freguesias de Romãs, Decermilo e Vila Longa",8
Tondela,12.88
Campo de Besteiros,14.23
Canas de Santa Maria,11.98
Castelões,8.78
Dardavaz,6.10
Ferreirós do Dão,3.59
Guardão,10.16
Lajeosa do Dão,10.09
Lobão da Beira,10.30
Molelos,14.51
Parada de Gonta,12.99
Santiago de Besteiros,10.32
Tonda,13.07
União das freguesias de Barreiro de Besteiros e Tourigo,9.46
União das freguesias de Caparrosa e Silvares,8.78
União das freguesias de Mouraz e Vila Nova da Rainha,7.85
União das freguesias de São João do Monte e Mosteirinho,5.10
União das freguesias de São Miguel do Outeiro e Sabugosa,9.91
União das freguesias de Tondela e Nandufe,22.34
União das freguesias de Vilar de Besteiros e Mosteiro de Fráguas,13.62
Vila Nova de Paiva,11.94
Pendilhe,6.16
Queiriga,12.53
Touro,9.20
"União das freguesias de Vila Nova de Paiva, Alhais e Fráguas",17.15
Vila Cova à Coelheira,6.92
Viseu,25.77
Abraveses,25.55
Bodiosa,9.68
Calde,9.12
Campo,19.91
Cavernães,14.46
Cota,6.63
Fragosela,21.02
Lordosa,12.10
Mundão,27.30
Orgens,23.53
Povolide,7.47
Ranhados,37.67
Ribafeita,8.76
Rio de Loba,27.30
Santos Evos,9.22
São João de Lourosa,18.67
São Pedro de France,7.57
Silgueiros,10.64
União das freguesias de Barreiros e Cepões,9.78
"União das freguesias de Boa Aldeia, Farminhão e Torredeita",9.70
Coutos de Viseu,11.51
Freguesia de Fail e Vila Chã de Sá,15.88
Repeses e São Salvador,36.07
São Cipriano e Vil de Souto,13.19
Viseu,38.96
Vouzela,12.41
Alcofra,9.52
Campia,10.61
Fornelo do Monte,5.12
Queirã,11.94
São Miguel do Mato,9.10
União das freguesias de Cambra e Carvalhal de Vermilhas,12.09
União das freguesias de Fataunços e Figueiredo das Donas,12.53
União das freguesias de Vouzela e Paços de Vilharigues,19.88
Ventosa,7.98
Beira Baixa,17.76
Castelo Branco,22.11
Alcains,16.47
Almaceda,3.52
Benquerenças,12.43
Castelo Branco,28.39
Lardosa,10.99
Louriçal do Campo,9.78
Malpica do Tejo,3.09
Monforte da Beira,4.98
Salgueiro do Campo,10.71
Santo André das Tojeiras,6.46
São Vicente da Beira,5.91
Sarzedas,8.35
Tinalhas,8.39
União das freguesias de Cebolais de Cima e Retaxo,11.30
União das freguesias de Escalos de Baixo e Mata,8.91
União das freguesias de Escalos de Cima e Lousa,10.48
União das freguesias de Freixial e Juncal do Campo,7.97
União das freguesias de Ninho do Açor e Sobral do Campo,5.55
União das freguesias de Póvoa de Rio de Moinhos e Cafede,15.08
Idanha-a-Nova,9.73
Aldeia de Santa Margarida,7.98
Ladoeiro,11.66
Medelim,8.25
Oledo,12.40
Penha Garcia,7.09
Proença-a-Velha,5.46
Rosmaninhal,4.02
São Miguel de Acha,13.36
Toulões,4.21
União das freguesias de Idanha-a-Nova e Alcafozes,15.85
União das freguesias de Monfortinho e Salvaterra do Extremo,5.62
União das freguesias de Monsanto e Idanha-a-Velha,7.14
União das freguesias de Zebreira e Segura,2.28
Oleiros,9.12
Álvaro,10.43
Cambas,0.41
Estreito-Vilar Barroco,8.37
Isna,7.48
Madeirã,4.90
Mosteiro,8.75
Oleiros-Amieira,12.25
Orvalho,6.91
Sarnadas de São Simão,6.33
Sobral,5.11
Penamacor,9.11
Aranhas,11.07
Benquerença,8.49
Meimão,2.23
Meimoa,6.97
Penamacor,14.19
Salvador,5.36
"União das freguesias de Aldeia do Bispo, Águas e Aldeia de João Pires",6.34
União das freguesias de Pedrógão de São Pedro e Bemposta,6.90
Vale da Senhora da Póvoa,8.96
Proença-a-Nova,12.69
Montes da Senhora,10.12
São Pedro do Esteval,5.84
União das freguesias de Proença-a-Nova e Peral,15.97
União das freguesias de Sobreira Formosa e Alvito da Beira,6.98
Vila Velha de Ródão,9.63
Fratel,7.69
Perais,7.41
Sarnadas de Ródão,11.91
Vila Velha de Ródão,10.05
Médio Tejo,16.28
Abrantes,14.97
Bemposta,5.17
Carvalhal,6.35
Fontes,4.43
Martinchel,10.44
Mouriscas,10.81
Pego,10.12
Rio de Moinhos,9.02
Tramagal,12.22
União das freguesias de Abrantes (São Vicente e São João) e Alferrarede,22.28
União das freguesias de Aldeia do Mato e Souto,5.11
União das freguesias de Alvega e Concavada,5.24
União das freguesias de São Facundo e Vale das Mós,6.10
União das freguesias de São Miguel do Rio Torto e Rossio ao Sul do Tejo,10.76
Alcanena,12.93
Bugalhos,12.50
Minde,13.45
Moitas Venda,13.41
Monsanto,9.81
Serra de Santo António,11.72
União das freguesias de Alcanena e Vila Moreira,13.55
"União das freguesias de Malhou, Louriceira e Espinheiro",12.12
Constância,15.26
Constância,24.02
Montalvo,13.52
Santa Margarida da Coutada,11.49
Entroncamento,23.48
Nossa Senhora de Fátima,24.45
São João Baptista,21.87
Ferreira do Zêzere,10.34
Águas Belas,11.34
Beco,6.53
Chãos,11.08
Ferreira do Zêzere,13.99
Igreja Nova do Sobral,7.99
Nossa Senhora do Pranto,10.08
União das freguesias de Areias e Pias,7.24
Mação,10.79
Amêndoa,4.71
Cardigos,8.94
Carvoeiro,5.30
Envendos,7.88
Ortiga,10.84
"União das freguesias de Mação, Penhascoso e Aboboreira",13.94
Ourém,16.15
Alburitel,17.23
Atouguia,15.28
Caxarias,12.58
Espite,9.37
Fátima,22.41
Nossa Senhora da Piedade,20.03
Nossa Senhora das Misericórdias,14.37
Seiça,12.48
"União das freguesias de Freixianda, Ribeira do Fárrio e Formigais",8.16
União das freguesias de Gondemaria e Olival,10.20
União das freguesias de Matas e Cercal,11.25
União das freguesias de Rio de Couros e Casal dos Bernardos,8.90
Urqueira,9.87
Sardoal,11.80
Alcaravela,6.55
Santiago de Montalegre,9.09
Sardoal,13.95
Valhascos,12.04
Sertã,10.84
Cabeçudo,8.36
Carvalhal,9.71
Castelo,8.92
Pedrógão Pequeno,9.21
Sertã,14.96
Troviscal,5.31
"União das freguesias de Cernache do Bonjardim, Nesperal e Palhais",8.25
União das freguesias de Cumeada e Marmeleiro,7.89
União das freguesias de Ermida e Figueiredo,5.11
Várzea dos Cavaleiros,9.80
Tomar,17.95
Asseiceira,10.93
Carregueiros,14.76
Olalhas,8.23
Paialvo,10.91
Sabacheira,11.85
São Pedro de Tomar,12.98
União das freguesias de Além da Ribeira e Pedreira,11.22
União das freguesias de Casais e Alviobeira,11.59
União das freguesias de Madalena e Beselga,14.74
União das freguesias de Serra e Junceira,13.34
União das freguesias de Tomar (São João Baptista) e Santa Maria dos Olivais,24.65
Torres Novas,18.77
Assentiz,10.82
Chancelaria,13.19
Meia Via,18.25
Pedrógão,11.78
Riachos,15.60
"União das freguesias de Brogueira, Parceiros de Igreja e Alcorochel",12.94
União das freguesias de Olaia e Paço,12.70
"União das freguesias de Torres Novas (Santa Maria, Salvador e Santiago)",26.41
"União das freguesias de Torres Novas (São Pedro), Lapas e Ribeira Branca",22.50
Zibreira,15.62
Vila de Rei,10.51
Fundada,8.82
São João do Peso,6.35
Vila de Rei,11.14
Vila Nova da Barquinha,18.32
Atalaia,18.24
Praia do Ribatejo,13.58
Tancos,14.46
Vila Nova da Barquinha,20.59
Beiras e Serra da Estrela,16.23
Almeida,10.93
Almeida,15.73
Castelo Bom,9.26
Freineda,12.79
Freixo,10.14
Malhada Sorda,7.63
Nave de Haver,5.34
São Pedro de Rio Seco,6.25
"União das freguesias de Amoreira, Parada e Cabreira",9.72
"União das freguesias de Azinhal, Peva e Valverde",5.93
"União das freguesias de Castelo Mendo, Ade, Monteperobolso e Mesquitela",8.96
União das freguesias de Junça e Naves,3.90
"União das freguesias de Leomil, Mido, Senouras e Aldeia Nova",3.55
União das freguesias de Malpartida e Vale de Coelha,4.76
União das freguesias de Miuzela e Porto de Ovelha,6.61
Vale da Mula,5.59
Vilar Formoso,14.39
Belmonte,12.24
Caria,13.65
Inguias,10.04
Maçainhas,9.52
União das freguesias de Belmonte e Colmeal da Torre,12.17
Celorico da Beira,10.40
Baraçal,6.13
Carrapichana,5.92
Casas do Soeiro,16.46
Forno Telheiro,9.92
Lajeosa do Mondego,11.30
Linhares,10.05
Maçal do Chão,5.26
Mesquitela,8.88
Minhocal,6.25
Prados,3.79
Ratoeira,3.76
União das freguesias de Açores e Velosa,7.93
União das freguesias de Celorico (São Pedro e Santa Maria) e Vila Boa do Mondego,14.66
"União das freguesias de Cortiçô da Serra, Vide entre Vinhas e Salgueirais",4.66
União das freguesias de Rapa e Cadafaz,2.74
Vale de Azares,9.09
Covilhã,19.89
Aldeia de São Francisco de Assis,5.10
Boidobra,26.14
Cortes do Meio,10.98
Dominguizo,13.98
Erada,8.72
Ferro,16.50
Orjais,9.63
Paul,13.76
Peraboa,12.20
São Jorge da Beira,3.43
Sobral de São Miguel,4.41
Tortosendo,23.20
Unhais da Serra,7.67
União das freguesias de Barco e Coutada,10.45
União das freguesias de Cantar-Galo e Vila do Carvalho,8.60
União das freguesias de Casegas e Ourondo,9.64
União das freguesias de Covilhã e Canhoso,27.93
União das freguesias de Peso e Vales do Rio,13.70
União das freguesias de Teixoso e Sarzedo,14.26
União das freguesias de Vale Formoso e Aldeia do Souto,7.95
Verdelhos,3.16
Figueira de Castelo Rodrigo,10.52
Castelo Rodrigo,18.84
Escalhão,7.17
Figueira de Castelo Rodrigo,15.67
Mata de Lobos,4.26
"União das freguesias de Algodres, Vale de Afonsinho e Vilar de Amargo",4.91
União das freguesias de Almofala e Escarigo,4.27
União das freguesias de Cinco Vilas e Reigada,4.59
"União das freguesias de Freixeda do Torrão, Quintã de Pêro Martins e Penha de Águia",5.44
União das freguesias do Colmeal e Vilar Torpim,11.45
Vermiosa,4.71
Fornos de Algodres,9.71
Algodres,5.98
Casal Vasco,7.14
Figueiró da Granja,6.78
Fornos de Algodres,15.42
Infias,11.48
Maceira,7.24
Matança,8.02
Muxagata,4.69
Queiriz,3.05
União das freguesias de Cortiçô e Vila Chã,4.79
"União das freguesias de Juncais, Vila Ruiva e Vila Soeiro do Chão",9.24
União das freguesias de Sobral Pichorro e Fuinhas,5.85
Fundão,15.14
Alcaide,10.85
Alcaria,14.67
Alcongosta,10.17
Alpedrinha,10.89
Barroca,7.54
Bogas de Cima,4.66
Capinha,7.65
Castelejo,5.80
Castelo Novo,18.87
Enxames,6.84
Fatela,9.76
Lavacolhos,4.73
Orca,7.89
Pêro Viseu,8.27
Silvares,8.36
Soalheira,10.17
Souto da Casa,10.95
Telhado,8.52
Três Povos,5.04
"União das freguesias de Fundão, Valverde, Donas, Aldeia de Joanes e Aldeia Nova do Cabo",22.40
União das freguesias de Janeiro de Cima e Bogas de Baixo,5.17
União das freguesias de Póvoa de Atalaia e Atalaia do Campo,6.91
União das freguesias de Vale de Prazeres e Mata da Rainha,7.42
Gouveia,12.64
Arcozelo,11.11
Cativelos,10.38
Folgosinho,11.31
Gouveia,17.56
Nespereira,11.35
Paços da Serra,12.21
Ribamondego,6.91
São Paio,7.35
União das freguesias de Aldeias e Mangualde da Serra,13.46
União das freguesias de Figueiró da Serra e Freixo da Serra,11.24
União das freguesias de Melo e Nabais,6.75
União das freguesias de Moimenta da Serra e Vinhó,13.06
União das freguesias de Rio Torto e Lagarinhos,12.23
Vila Cortês da Serra,8.38
Vila Franca da Serra,10.33
Vila Nova de Tazem,12.77
Guarda,24.37
Adão,11.06
Aldeia do Bispo,23.78
Aldeia Viçosa,7.76
Alvendre,14.19
Arrifana,17.65
Avelãs da Ribeira,7.81
Benespera,6.61
Casal de Cinza,14.98
Castanheira,7.46
Cavadoude,11.79
Codesseiro,5.88
Faia,8.54
Famalicão,6
Fernão Joanes,7.30
Gonçalo,8.75
Gonçalo Bocas,15.88
Guarda,31.68
Jarmelo São Miguel,7.84
Jarmelo São Pedro,11.79
João Antão,9.82
Maçainhas,21.68
Marmeleiro,6.52
Meios,7.46
Panoias de Cima,18.07
Pega,7.27
Pêra do Moço,13.59
Porto da Carne,5.94
Ramela,10.13
Santana da Azinha,6.91
Sobral da Serra,8.74
União de freguesias de Avelãs de Ambom e Rocamondo,12.40
União de freguesias de Corujeira e Trinta,9.59
"União de freguesias de Mizarela, Pêro Soares e Vila Soeiro",11.48
União de freguesias de Pousade e Albardo,10
União de freguesias de Rochoso e Monte Margarida,4.08
Vale de Estrela,11.86
Valhelhas,8.61
Vela,11.79
Videmonte,8.86
Vila Cortês do Mondego,7.50
Vila Fernando,11.66
Vila Franca do Deão,8.93
Vila Garcia,18.25
Manteigas,12.19
Manteigas (Santa Maria),16.62
Manteigas (São Pedro),10.64
Sameiro,4.94
Vale de Amoreira,5.10
Mêda,11.03
Aveloso,6.16
Barreira,6.45
Coriscada,7.19
Longroiva,12
Marialva,5.92
Poço do Canto,9.80
Rabaçal,7.73
Ranhados,5.19
"Mêda, Outeiro de Gatos e Fonte Longa",14.62
Prova e Casteição,5.46
"União das freguesias de Vale Flor, Carvalhal e Pai Penela",7.23
Pinhel,10.91
Agregação das freguesias Sul de Pinhel,9.43
Alto do Palurdo,6.36
Alverca da Beira/Bouça Cova,8.36
Ervedosa,5.56
Freixedas,9.48
Lamegal,10.40
Lameiras,8.70
Manigoto,3.52
Pala,6.90
Pinhel,16.52
Pínzio,10.23
Souro Pires,8.17
Terras de Massueime,5.85
União das freguesias de Atalaia e Safurdão,4.79
Valbom/Bogalhal,3.89
Vale do Côa,1.26
Vale do Massueime,5.69
Vascoveiro,4.41
Sabugal,10.15
Águas Belas,6.08
Aldeia da Ponte,7.50
Aldeia do Bispo,15.02
Aldeia Velha,7.41
Alfaiates,7.58
Baraçal,15.52
Bendada,5.96
Bismula,6.67
Casteleiro,8.74
Cerdeira,8.92
Fóios,8.71
Malcata,5.69
Nave,8.74
Quadrazais,4.11
Quintas de São Bartolomeu,8.55
Rapoula do Côa,15.28
Rebolosa,7.98
Rendo,9.78
Sortelha,7.22
Souto,10.38
