Local de residência (à data dos Censos 2021),"Taxa de emprego (%) por Local de residência (à data dos Censos 2021), Sexo e Grupo etário; Decenal"
União das freguesias de Travancas e Roriz,18.55
Vale de Anta,44.88
"Vidago (União das freguesias de Vidago, Arcossó, Selhariz e Vilarinho das Paranheiras)",35.54
Vila Verde da Raia,37.11
Vilar de Nantes,41.68
Vilarelho da Raia,21.20
Vilas Boas,29.05
Vilela do Tâmega,35.08
Vilela Seca,15.77
Montalegre,34.18
Cabril,30.85
Cervos,34.42
Chã,37.01
Covelo do Gerês,31.51
Ferral,25.27
Gralhas,19.43
Morgade,30.56
Negrões,44.35
Outeiro,35.38
Pitões das Junias,40.14
Reigoso,23.81
Salto,35.43
Santo André,28.97
Sarraquinhos,28.01
Solveira,14.60
Tourém,28.57
"União das freguesias de Cambeses do Rio, Donões e Mourilhe",28.97
União das freguesias de Meixedo e Padornelos,30.92
União das freguesias de Montalegre e Padroso,46.14
"União das freguesias de Paradela, Contim e Fiães",29.61
União das freguesias de Sezelhe e Covelães,31.36
União das freguesias de Venda Nova e Pondras,26.40
União das freguesias de Viade de Baixo e Fervidelas,35.69
União das freguesias de Vilar de Perdizes e Meixide,23.44
Vila da Ponte,35
Ribeira de Pena,37.38
Alvadia,25.16
Canedo,21.76
Santa Marinha,39.51
União das freguesias de Cerva e Limões,36.07
União das freguesias de Ribeira de Pena (Salvador) e Santo Aleixo de Além-Tâmega,40.67
Valpaços,29.91
Água Revés e Crasto,25.84
Algeriz,28.54
Bouçoães,4.76
Canaveses,16.27
Carrazedo de Montenegro e Curros,31.21
Ervões,24.80
Fornos do Pinhal,13.58
Friões,18.31
"Lebução, Fiães e Nozelos",16.76
Padrela e Tazem,22.69
Possacos,30.97
Rio Torto,23.42
Santa Maria de Emeres,19.46
Santa Valha,31.77
Santiago da Ribeira de Alhariz,16.25
São João da Corveira,27.12
São Pedro de Veiga de Lila,19.05
Serapicos,24.47
Sonim e Barreiros,18.36
Tinhela e Alvarelhos,15.38
Vales,17.02
Valpaços e Sanfins,44.10
Vassal,23.58
Veiga de Lila,22.33
Vilarandelo,32.12
Vila Pouca de Aguiar,36.09
Alfarela de Jales,29
Alvão,35.98
Bornes de Aguiar,37.89
Bragado,25.60
Capeludos,20.11
Sabroso de Aguiar,36.55
Soutelo de Aguiar,37.04
Telões,35.74
Tresminas,32.83
União das freguesias de Pensalvos e Parada de Monteiros,20.07
Valoura,29.56
Vila Pouca de Aguiar,45.91
Vreia de Bornes,27.15
Vreia de Jales,27.63
Tâmega e Sousa,49.65
Amarante,46.11
Ansiães,26.92
Candemil,31.27
Fregim,49
Fridão,42.69
Gondar,42.94
Gouveia (São Simão),35.88
Jazente,37.58
Lomba,48.79
Louredo,52.19
Lufrei,47.78
Mancelos,45.51
Padronelo,41.79
Rebordelo,35.98
Salvador do Monte,46.45
Telões,48.27
Travanca,47.38
"União das freguesias de Aboadela, Sanche e Várzea",39.17
"União das freguesias de Amarante (São Gonçalo), Madalena, Cepelos e Gatão",48.56
"União das freguesias de Bustelo, Carneiro e Carvalho de Rei",36.39
União das freguesias de Figueiró (Santiago e Santa Cristina),47.19
União das freguesias de Freixo de Cima e de Baixo,47.38
União das freguesias de Olo e Canadelo,35.55
Vila Meã,46.60
"União das freguesias de Vila Garcia, Aboim e Chapa",46.80
Vila Caiz,47.10
Vila Chã do Marão,43.96
Baião,41.29
Frende,33.90
Gestaçô,34.14
Gove,45.05
Grilo,42.11
Loivos do Monte,34.93
Santa Marinha do Zêzere,42.39
União das freguesias de Ancede e Ribadouro,42.19
União das freguesias de Baião (Santa Leocádia) e Mesquinhata,38.13
União das freguesias de Campelo e Ovil,48.61
União das freguesias de Loivos da Ribeira e Tresouras,37.64
União das freguesias de Santa Cruz do Douro e São Tomé de Covelas,37.50
União das freguesias de Teixeira e Teixeiró,27.72
Valadares,40.47
Viariz,34.86
Castelo de Paiva,47.24
Fornos,43.80
Real,47.03
Santa Maria de Sardoura,47.24
São Martinho de Sardoura,50.16
"União das freguesias de Raiva, Pedorido e Paraíso",43.82
União das freguesias de Sobrado e Bairros,50.20
Celorico de Basto,44.38
Agilde,50.30
Arnóia,44.55
Basto (São Clemente),44.07
Borba de Montanha,42.60
Codeçoso,34.64
Fervença,43.82
Moreira do Castelo,46.62
Rego,44.31
Ribas,36.53
"União das freguesias de Britelo, Gémeos e Ourilhe",50.45
União das freguesias de Caçarilhe e Infesta,34.99
União das freguesias de Canedo de Basto e Corgo,40.25
União das freguesias de Carvalho e Basto (Santa Tecla),45.22
"União das freguesias de Veade, Gagos e Molares",42.85
Vale de Bouro,40.19
Cinfães,38.82
Cinfães,46.06
Espadanedo,39.38
Ferreiros de Tendais,27.87
Fornelos,40.19
Moimenta,40.31
Nespereira,33.51
Oliveira do Douro,35.19
Santiago de Piães,38.79
São Cristóvão de Nogueira,38.54
Souselo,41.58
Tarouquela,37.13
Tendais,31.63
Travanca,38.41
"União das freguesias de Alhões, Bustelo, Gralheira e Ramires",30.54
Felgueiras,54.64
Aião,51.20
Airães,50.62
Friande,59.53
Idães,59.99
Jugueiros,52.71
Penacova,58.14
Pinheiro,57.51
Pombeiro de Ribavizela,57.45
Refontoura,53.58
Regilde,55.90
Revinhade,63.75
Sendim,58.31
União das freguesias de Macieira da Lixa e Caramos,51.61
"União das freguesias de Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure",54.92
"União das freguesias de Pedreira, Rande e Sernande",56.41
União das freguesias de Torrados e Sousa,54.94
União das freguesias de Unhão e Lordelo,53.75
União das freguesias de Vila Cova da Lixa e Borba de Godim,50.92
União das freguesias de Vila Fria e Vizela (São Jorge),55.37
União das freguesias de Vila Verde e Santão,47.25
Lousada,55
Aveleda,53.92
Caíde de Rei,52.46
Lodares,55.13
Macieira,53.11
Meinedo,49.01
Nevogilde,54.39
Sousela,54.99
Torno,54.16
União das freguesias de Cernadelo e Lousada (São Miguel e Santa Margarida),52.80
"União das freguesias de Cristelos, Boim e Ordem",55.51
União das freguesias de Figueiras e Covas,56.99
União das freguesias de Lustosa e Barrosas (Santo Estêvão),59.06
União das freguesias de Nespereira e Casais,56.79
"União das freguesias de Silvares, Pias, Nogueira e Alvarenga",56.22
Vilar do Torno e Alentém,52.45
Marco de Canaveses,46.90
"Alpendorada, Várzea e Torrão",50.33
Avessadas e Rosém,41.97
Banho e Carvalhosa,41.74
Bem Viver,43.68
Constance,48.34
Marco,52.13
Paredes de Viadores e Manhuncelos,44.76
Penha Longa e Paços de Gaiolo,41.16
Sande e São Lourenço do Douro,41.11
Santo Isidoro e Livração,43.55
Soalhães,44.53
Sobretâmega,47.68
Tabuado,48.51
"Várzea, Aliviada e Folhada",43.93
Vila Boa de Quires e Maureles,45.23
Vila Boa do Bispo,44.71
Paços de Ferreira,55.22
Carvalhosa,57.06
Eiriz,56.33
Ferreira,56.41
Figueiró,57.28
Frazão Arreigada,51.32
Freamunde,54.34
Meixomil,55.63
Paços de Ferreira,56.89
Penamaior,55.18
Raimonda,54.93
Sanfins Lamoso Codessos,56.18
Seroa,51.76
Penafiel,50.78
Abragão,43.98
Boelhe,44.27
Bustelo,55.16
Cabeça Santa,47.67
Canelas,44.29
Capela,50.12
Castelões,47.31
Croca,55.89
Duas Igrejas,50.39
Eja,44.43
Fonte Arcada,51.31
Galegos,53
Guilhufe e Urrô,53.95
Irivo,52.48
Lagares e Figueira,51.40
Luzim e Vila Cova,48.66
Oldrões,50.51
Paço de Sousa,51.30
Penafiel,53.14
Perozelo,50.63
Rans,55.69
Recezinhos (São Mamede),48.09
Recezinhos (São Martinho),52.22
Rio de Moinhos,47.38
Rio Mau,47.68
Sebolido,48.33
Termas de São Vicente,47.89
Valpedre,51.18
Resende,38.55
Barrô,35.15
Cárquere,38.53
Paus,31.68
Resende,44.79
São Cipriano,39.51
São João de Fontoura,23.63
São Martinho de Mouros,31.36
União das freguesias de Anreade e São Romão de Aregos,40.89
União das freguesias de Felgueiras e Feirão,45.40
União das freguesias de Freigil e Miomães,39.87
União das freguesias de Ovadas e Panchorra,28.74
Douro,42.32
Alijó,39.48
Alijó,47.55
Favaios,40.25
Pegarinhos,34.31
Pinhão,49.82
Sanfins do Douro,39.60
Santa Eugénia,27.59
São Mamede de Ribatua,34.96
União das freguesias de Carlão e Amieiro,30.49
União das freguesias de Castedo e Cotas,41.63
União das freguesias de Pópulo e Ribalonga,24.87
"União das freguesias de Vale de Mendiz, Casal de Loivos e Vilarinho de Cotas",44.33
Vila Chã,34.67
Vila Verde,29.02
Vilar de Maçada,36.42
Armamar,39.23
Aldeias,41.24
Armamar,50.11
Cimbres,33.19
Folgosa,29.03
Fontelo,36.18
Queimada,27.88
Queimadela,42.78
Santa Cruz,26.28
São Cosmado,32.44
São Martinho das Chãs,43.15
União das freguesias de Aricera e Goujoim,39.53
União das freguesias de São Romão e Santiago,42.23
União das freguesias de Vila Seca e Santo Adrião,33.59
Vacalar,32.28
Carrazeda de Ansiães,34.32
Carrazeda de Ansiães,46.27
Fonte Longa,36.02
Linhares,19.31
Marzagão,34.36
Parambos,30.99
Pereiros,22.76
Pinhal do Norte,32.50
Pombal,23.56
Seixo de Ansiães,35.11
União das freguesias de Amedo e Zedes,21.51
União das freguesias de Belver e Mogo de Malta,38.55
União das freguesias de Castanheiro do Norte e Ribalonga,36.63
"União das freguesias de Lavandeira, Beira Grande e Selores",24.69
Vilarinho da Castanheira,25.36
Freixo de Espada à Cinta,38.67
Ligares,37.30
Poiares,30.43
União das freguesias de Freixo de Espada à Cinta e Mazouco,42.84
União das freguesias de Lagoaça e Fornos,26.97
Lamego,42.58
Avões,40.13
Britiande,40.94
Cambres,37.09
Ferreirim,38.14
Ferreiros de Avões,48.40
Figueira,37.21
Lalim,37.33
Lamego (Almacave e Sé),47.05
Lazarim,36.39
Penajóia,36.78
Penude,43.49
Samodães,37.42
Sande,34.49
"União das freguesias de Bigorne, Magueija e Pretarouca",36.75
"União das freguesias de Cepões, Meijinhos e Melcões",33.79
União das freguesias de Parada do Bispo e Valdigem,35.39
Várzea de Abrunhais,39.48
Vila Nova de Souto d'El-Rei,40.59
Mesão Frio,39.71
Barqueiros,33.47
Cidadelhe,40.16
Mesão Frio (Santo André),45.07
Oliveira,38.51
Vila Marim,34.52
Moimenta da Beira,39.79
Alvite,35.51
Arcozelos,38.87
Baldos,34.04
Cabaços,26.09
Caria,37.40
Castelo,26.26
Leomil,42.05
Moimenta da Beira,52.44
Passô,34.83
Vila da Rua,34.89
Sarzedo,29.79
Sever,34.05
União das freguesias de Paradinha e Nagosa,25.73
"União das freguesias de Pêra Velha, Aldeia de Nacomba e Ariz",31.13
União das freguesias de Peva e Segões,28.03
Vilar,31.23
Murça,34.58
Candedo,35.19
Fiolhoso,19.07
Jou,18.52
Murça,45.07
União das freguesias de Carva e Vilares,27.20
União das freguesias de Noura e Palheiros,36.75
Valongo de Milhais,22.62
Penedono,40.30
Beselga,36.54
Castainço,31.97
Penela da Beira,30.26
Póvoa de Penela,41.58
Souto,33.71
União das freguesias de Antas e Ourozinho,38.38
União das freguesias de Penedono e Granja,47.33
Peso da Régua,42.19
Fontelas,40.42
Loureiro,37.53
Sedielos,31.48
União das freguesias de Galafura e Covelinhas,37.63
União das freguesias de Moura Morta e Vinhós,35.38
União das freguesias de Peso da Régua e Godim,45.75
União das freguesias de Poiares e Canelas,36.81
Vilarinho dos Freires,38.60
Sabrosa,39.50
Celeirós,37.10
Covas do Douro,42.40
Gouvinhas,36.22
Paços,40.98
Parada de Pinhão,31.95
Sabrosa,46.37
São Lourenço de Ribapinhão,30.61
Souto Maior,36.43
Torre do Pinhão,30.71
"União das freguesias de Provesende, Gouvães do Douro e São Cristóvão do Douro",35.60
União das freguesias de São Martinho de Antas e Paradela de Guiães,42.02
Vilarinho de São Romão,39.09
Santa Marta de Penaguião,38.44
Alvações do Corgo,33.06
Cumieira,39.22
Fontes,35.32
Medrões,33.58
Sever,31.26
União das freguesias de Lobrigos (São Miguel e São João Baptista) e Sanhoane,43.37
União das freguesias de Louredo e Fornelos,34.02
São João da Pesqueira,46.10
Castanheiro do Sul,40.18
Ervedosa do Douro,48.20
Nagozelo do Douro,44.94
Paredes da Beira,38.12
Riodades,37.27
Soutelo do Douro,52.11
União das freguesias de São João da Pesqueira e Várzea de Trevões,54.07
União das freguesias de Trevões e Espinhosa,35.74
União das freguesias de Vilarouco e Pereiros,38.65
Vale de Figueira,33.83
Valongo dos Azeites,52.06
Sernancelhe,37.47
Arnas,31.98
Carregal,33.08
Chosendo,28.92
Cunha,39.66
Faia,34.23
Granjal,41.57
Lamosa,27.88
Quintela,39.74
União das freguesias de Ferreirim e Macieira,35.58
União das freguesias de Fonte Arcada e Escurquela,25.26
União das freguesias de Penso e Freixinho,24.70
União das freguesias de Sernancelhe e Sarzeda,45.47
Vila da Ponte,42.96
Tabuaço,36.20
Adorigo,36.26
Arcos,31.33
Chavães,28.68
Desejosa,49.56
Granja do Tedo,33.10
Longa,30.65
Sendim,25.20
Tabuaço,44.99
União das freguesias de Barcos e Santa Leocádia,35.40
União das freguesias de Paradela e Granjinha,21.11
União das freguesias de Pinheiros e Vale de Figueira,34.40
União das freguesias de Távora e Pereiro,34.85
Valença do Douro,37.76
Tarouca,42.25
Mondim da Beira,39.44
Salzedas,39.41
São João de Tarouca,30.53
União das freguesias de Gouviães e Ucanha,32.61
União das freguesias de Granja Nova e Vila Chã da Beira,30.37
União das freguesias de Tarouca e Dálvares,48.39
Várzea da Serra,22.34
Torre de Moncorvo,36.50
Açoreira,31.79
Cabeça Boa,36.12
Carviçais,27.54
Castedo,34.34
Horta da Vilariça,38.66
Larinho,29.74
Lousa,23.33
Mós,34.08
Torre de Moncorvo,46.80
União das freguesias de Adeganha e Cardanha,32.61
União das freguesias de Felgar e Souto da Velha,30.59
União das freguesias de Felgueiras e Maçores,29.01
União das freguesias de Urros e Peredo dos Castelhanos,23.98
Vila Nova de Foz Côa,39.19
Almendra,34.41
Castelo Melhor,26.38
Cedovim,32.95
Chãs,28.44
Custóias,30.32
Freixo de Numão,29.89
Horta,33.33
Muxagata,29.27
Numão,37.11
Santa Comba,17.02
Sebadelhe,28.50
Seixas,40.40
Touça,38.29
Vila Nova de Foz Côa,47.26
Vila Real,48.81
Abaças,34.88
Andrães,41.71
Arroios,51.82
Campeã,36.23
Folhadela,46.81
Guiães,40.63
Lordelo,51.01
Mateus,57.75
Mondrões,41.32
Parada de Cunhos,48.15
Torgueda,40.60
União das freguesias de Adoufe e Vilarinho de Samardã,46.60
União das freguesias de Borbela e Lamas de Olo,50.14
União das freguesias de Constantim e Vale de Nogueiras,46.58
União das freguesias de Mouçós e Lamares,44.51
União das freguesias de Nogueira e Ermida,31.81
"União das freguesias de Pena, Quintã e Vila Cova",36.10
União das freguesias de São Tomé do Castelo e Justes,37.56
Vila Real,53.62
Vila Marim,47.19
Terras de Trás-os-Montes,40.07
Alfândega da Fé,36.36
Alfândega da Fé,49.68
Cerejais,21.52
Sambade,23.60
"União das freguesias de Agrobom, Saldonha e Vale Pereiro",31.16
"União das freguesias de Eucisia, Gouveia e Valverde",24.31
União das freguesias de Ferradosa e Sendim da Serra,25.30
União das freguesias de Gebelim e Soeima,30.14
União das freguesias de Parada e Sendim da Ribeira,27.60
União das freguesias de Pombal e Vales,34.78
Vilar Chão,26.40
Vilarelhos,34.67
Vilares de Vilariça,5.56
Bragança,44.99
Alfaião,38.51
Babe,27.04
Baçal,41.27
Carragosa,36.49
Castro de Avelãs,46.30
Coelhoso,13.70
Donai,44.03
Espinhosela,26.17
França,18.23
Gimonde,45.05
Gondesende,30.16
Gostei,48.47
Grijó de Parada,32.50
Macedo do Mato,17.51
Mós,37.89
Nogueira,42.82
Outeiro,17.11
Parâmio,28.18
Pinela,21.72
Quintanilha,25.60
Quintela de Lampaças,25.58
Rabal,34.93
Rebordãos,36.50
Salsas,21.54
Samil,50.67
Santa Comba de Rossas,33.46
São Pedro de Sarracenos,41.54
Sendas,26.95
Serapicos,28.25
Sortes,39.58
União das freguesias de Aveleda e Rio de Onor,18.67
União das freguesias de Castrelos e Carrazedo,29.81
"União das freguesias de Izeda, Calvelhe e Paradinha Nova",31.20
União das freguesias de Parada e Faílde,20.78
União das freguesias de Rebordainhos e Pombares,26.43
União das freguesias de Rio Frio e Milhão,24.54
União das freguesias de São Julião de Palácios e Deilão,23.15
"União das freguesias de Sé, Santa Maria e Meixedo",51.14
Zoio,31.75
Macedo de Cavaleiros,38.94
Amendoeira,46.79
Arcas,20.10
Carrapatas,43.57
Chacim,28.90
Cortiços,24.12
Corujas,39.26
Ferreira,19.53
Grijó,32.34
Lagoa,29.30
Lamalonga,20.06
Lamas,38.22
Lombo,26.44
Macedo de Cavaleiros,51.30
Morais,40.53
Olmos,35.71
Peredo,33.90
Salselas,21.17
Sezulfe,30.71
Talhas,26.09
União das freguesias de Ala e Vilarinho do Monte,27.58
União das freguesias de Bornes e Burga,28.22
União das freguesias de Castelãos e Vilar do Monte,32.45
"União das freguesias de Espadanedo, Edroso, Murçós e Soutelo Mourisco",24.93
União das freguesias de Podence e Santa Combinha,30.29
União das freguesias de Talhinhas e Bagueixe,26.23
Vale Benfeito,30.61
Vale da Porca,32.72
Vale de Prados,36.21
Vilarinho de Agrochão,21.83
Vinhas,11.32
Miranda do Douro,39.16
Duas Igrejas,30.96
Genísio,28.77
Malhadas,32.70
Miranda do Douro,50.45
Palaçoulo,47.27
Picote,26.82
Póvoa,29.94
São Martinho de Angueira,15.88
União das freguesias de Constantim e Cicouro,25.34
União das freguesias de Ifanes e Paradela,25.45
União das freguesias de Sendim e Atenor,42.17
União das freguesias de Silva e Águas Vivas,30.94
Vila Chã de Braciosa,26.91
Mirandela,40.20
Abambres,37.38
Abreiro,26.32
Aguieiras,25
Alvites,34.81
Bouça,20.35
Cabanelas,37.93
Caravelas,21.23
Carvalhais,40.36
Cedães,35.06
Cobro,42.76
Fradizela,19.89
Frechas,32.26
Lamas de Orelhão,24.32
Mascarenhas,30.46
Mirandela,49.12
Múrias,20.09
Passos,28.03
São Pedro Velho,20.59
São Salvador,31.15
Suçães,29.17
Torre de Dona Chama,32.44
União das freguesias de Avantos e Romeu,29.78
"União das freguesias de Avidagos, Navalho e Pereira",32.75
"União das freguesias de Barcel, Marmelos e Valverde da Gestosa",27.36
União das freguesias de Franco e Vila Boa,33.47
União das freguesias de Freixeda e Vila Verde,29.13
Vale de Asnes,12.89
Vale de Gouvinhas,22.22
Vale de Salgueiro,28.96
Vale de Telhas,32.26
Mogadouro,37.96
Azinhoso,33.77
Bemposta,34.12
Bruçó,24.68
Brunhoso,34.36
Castelo Branco,22.04
Castro Vicente,32.39
Meirinhos,30.87
Paradela,37.61
Penas Roias,30.22
Peredo da Bemposta,32.57
Saldanha,40.80
São Martinho do Peso,21.03
Tó,40.46
Travanca,24.79
"União das freguesias de Brunhozinho, Castanheira e Sanhoane",39.61
"União das freguesias de Mogadouro, Valverde, Vale de Porco e Vilar de Rei",47.98
União das freguesias de Remondes e Soutelo,32.09
União das freguesias de Vilarinho dos Galegos e Ventozelo,26.55
Urrós,27.23
Vale da Madre,41.33
Vila de Ala,23.64
Vila Flor,37.92
Benlhevai,44.29
Freixiel,31.61
Roios,38.81
Samões,39.93
Sampaio,33.87
Santa Comba de Vilariça,44.41
Seixo de Manhoses,36.02
Trindade,29.82
União das freguesias de Assares e Lodões,34.39
União das freguesias de Candoso e Carvalho de Egas,33.02
União das freguesias de Valtorno e Mourão,28.67
União das freguesias de Vila Flor e Nabo,43.08
União das freguesias de Vilas Boas e Vilarinho das Azenhas,27.71
Vale Frechoso,36.55
Vimioso,33.66
Argozelo,32.55
Carção,27.32
Matela,13.53
Pinelo,28.43
Santulhão,27.85
"União das freguesias de Algoso, Campo de Víboras e Uva",24.79
União das freguesias de Caçarelhos e Angueira,25.45
União das freguesias de Vale de Frades e Avelanoso,28.62
Vilar Seco,32.41
Vimioso,49.91
Vinhais,30.87
Agrochão,24.39
Candedo,22.50
Celas,31.11
Edral,17.07
Edrosa,22.06
Ervedosa,23.25
Paçó,30.77
Penhas Juntas,26.67
Rebordelo,22.34
Santalha,27.53
Tuizelo,23.96
União das freguesias de Curopos e Vale de Janeiro,24.46
União das freguesias de Moimenta e Montouto,30.48
União das freguesias de Nunes e Ousilhão,25.13
União das freguesias de Quirás e Pinheiro Novo,18.91
União das freguesias de Sobreiro de Baixo e Alvaredos,29.30
"União das freguesias de Soeira, Fresulfe e Mofreita",31.79
União das freguesias de Travanca e Santa Cruz,35.04
União das freguesias de Vilar de Lomba e São Jomil,21.43
Vale das Fontes,24.30
Vila Boa de Ousilhão,33.08
Vila Verde,22.15
Vilar de Ossos,38.16
Vilar de Peregrinos,27.69
Vilar Seco de Lomba,16.20
Vinhais,45.51
Centro,47.69
Oeste,49.83
Alcobaça,49.36
Alfeizerão,44.54
Aljubarrota,49.43
Bárrio,44.22
Benedita,55.28
Cela,45.84
Évora de Alcobaça,48.53
Maiorga,45.57
São Martinho do Porto,44.42
Turquel,53.64
União das freguesias de Alcobaça e Vestiaria,50.15
"União das freguesias de Coz, Alpedriz e Montes",46.72
União das freguesias de Pataias e Martingança,49.36
Vimeiro,46.92
Alenquer,53.37
Carnota,48.57
Meca,47.80
Olhalvo,45.94
Ota,50.44
União das freguesias de Abrigada e Cabanas de Torres,47.08
União das freguesias de Aldeia Galega da Merceana e Aldeia Gavinha,47.43
União das freguesias de Alenquer (Santo Estêvão e Triana),57.45
União das freguesias de Carregado e Cadafais,58
União das freguesias de Ribafria e Pereiro de Palhacana,48.70
Ventosa,44.74
Vila Verde dos Francos,44.69
Arruda dos Vinhos,55.45
Arranhó,51.82
Arruda dos Vinhos,57.72
Cardosas,47.62
S. Tiago dos Velhos,52.01
Bombarral,46.78
Carvalhal,42.01
Pó,58.26
Roliça,45.12
União das freguesias do Bombarral e Vale Covo,47.56
Cadaval,44.47
Alguber,42.32
Peral,44.61
União das freguesias de Lamas e Cercal,42.27
União das freguesias de Painho e Figueiros,45.61
União das freguesias do Cadaval e Pêro Moniz,48.83
Vermelha,43.51
Vilar,39.92
Caldas da Rainha,47.55
A dos Francos,42.04
Alvorninha,43.13
Carvalhal Benfeito,47.05
Foz do Arelho,41.16
Landal,46.61
Nadadouro,42.60
Salir de Matos,44.27
Santa Catarina,47.86
"União das freguesias de Caldas da Rainha - Nossa Senhora do Pópulo, Coto e São Gregório",48.91
União das freguesias de Caldas da Rainha - Santo Onofre e Serra do Bouro,51.31
União das freguesias de Tornada e Salir do Porto,44.16
Vidais,43.11
Lourinhã,47.81
Moita dos Ferreiros,40.67
Reguengo Grande,40.70
Ribamar,52.20
Santa Bárbara,50.38
União das freguesias de Lourinhã e Atalaia,48.99
União das freguesias de Miragaia e Marteleira,47.35
União das freguesias de São Bartolomeu dos Galegos e Moledo,43.83
Vimeiro,48.75
Nazaré,46.06
Famalicão,45.72
Nazaré,45.98
Valado dos Frades,46.52
Óbidos,46.32
A dos Negros,44.03
Amoreira,36.35
Gaeiras,51.91
Olho Marinho,44.75
"Santa Maria, São Pedro e Sobral da Lagoa",47.34
Usseira,49.18
Vau,42.58
Peniche,46.73
Atouguia da Baleia,47.95
Ferrel,49.28
Peniche,45.35
Serra d'El-Rei,46.86
Sobral de Monte Agraço,54.93
Santo Quintino,53.67
Sapataria,55.96
Sobral de Monte Agraço,55.38
Torres Vedras,52.34
Freiria,51.08
Ponte do Rol,54.34
Ramalhal,53.59
São Pedro da Cadeira,55.22
Silveira,52.22
Turcifal,51.87
União das freguesias de A dos Cunhados e Maceira,54.14
União das freguesias de Campelos e Outeiro da Cabeça,50.02
União das freguesias de Carvoeira e Carmões,47.30
União das freguesias de Dois Portos e Runa,44.75
União das freguesias de Maxial e Monte Redondo,44.88
"Santa Maria, São Pedro e Matacães",53.47
Ventosa,51.50
Região de Aveiro,52.13
Águeda,52.05
Aguada de Cima,53.80
Fermentelos,49.78
Macinhata do Vouga,48.35
União das freguesias de Águeda e Borralha,54.48
União das freguesias de Barrô e Aguada de Baixo,50.18
"União das freguesias de Belazaima do Chão, Castanheira do Vouga e Agadão",46.53
União das freguesias de Recardães e Espinhel,52.44
União das freguesias de Travassô e Óis da Ribeira,52.08
"União das freguesias de Trofa, Segadães e Lamas do Vouga",53.36
União das freguesias do Préstimo e Macieira de Alcoba,43.44
Valongo do Vouga,50.18
Albergaria-a-Velha,53.15
Albergaria-a-Velha e Valmaior,56.24
Alquerubim,48.99
Angeja,49.79
Branca,53.29
Ribeira de Fráguas,48.48
São João de Loure e Frossos,49.06
Anadia,48.69
Avelãs de Caminho,50.77
Avelãs de Cima,47.68
Moita,47.47
Sangalhos,49.72
São Lourenço do Bairro,47.37
"União das freguesias de Amoreira da Gândara, Paredes do Bairro e Ancas",46.33
União das freguesias de Arcos e Mogofores,51.16
"União das freguesias de Tamengos, Aguim e Óis do Bairro",50.28
Vila Nova de Monsarros,47.10
Vilarinho do Bairro,44.32
Aveiro,54.82
Aradas,56.47
Cacia,53.55
Eixo e Eirol,55.72
Esgueira,56.20
Oliveirinha,53.72
"Requeixo, Nossa Senhora de Fátima e Nariz",52.43
Santa Joana,52.91
São Bernardo,58.17
São Jacinto,39.71
União das freguesias de Glória e Vera Cruz,54.52
Estarreja,50
Avanca,50.36
Pardilhó,49.12
Salreu,47.63
União das freguesias de Beduído e Veiros,50.89
União das freguesias de Canelas e Fermelã,50.68
Ílhavo,52.64
Gafanha da Encarnação,52.35
Gafanha da Nazaré,54.66
Gafanha do Carmo,46.94
Ílhavo (São Salvador),51.44
Murtosa,47.93
Bunheiro,48.86
Monte,48.33
Murtosa,44.35
Torreira,51.31
Oliveira do Bairro,53.56
Oiã,55.39
Oliveira do Bairro,55.59
Palhaça,53.79
