Local de residência (à data dos Censos 2021),"Taxa de emprego (%) por Local de residência (à data dos Censos 2021), Sexo e Grupo etário; Decenal"
"União das freguesias de Bustos, Troviscal e Mamarrosa",49.17
Ovar,51.53
Cortegaça,50.42
Esmoriz,53.41
Maceda,48.79
"União das freguesias de Ovar, São João, Arada e São Vicente de Pereira Jusã",51.40
Válega,50.80
Sever do Vouga,47.05
Couto de Esteves,34.23
Pessegueiro do Vouga,47.78
Rocas do Vouga,43
Sever do Vouga,52.82
Talhadas,49
União das freguesias de Cedrim e Paradela,48.56
União das freguesias de Silva Escura e Dornelas,44.63
Vagos,51.99
Calvão,55.34
Gafanha da Boa Hora,52.96
Ouca,47.09
Santo André de Vagos,51.54
Sosa,49.42
União das freguesias de Fonte de Angeão e Covão do Lobo,48
União das freguesias de Ponte de Vagos e Santa Catarina,51.66
União das freguesias de Vagos e Santo António,54.58
Região de Coimbra,47.71
Arganil,41.10
Arganil,49.53
Benfeita,24.66
Celavisa,30.60
Folques,30.28
Piódão,28.57
Pomares,32.39
Pombeiro da Beira,32.09
São Martinho da Cortiça,42.65
Sarzedo,45.13
Secarias,42.42
União das freguesias de Cepos e Teixeira,16.75
União das freguesias de Cerdeira e Moura da Serra,32.48
União das freguesias de Côja e Barril de Alva,41.86
União das freguesias de Vila Cova de Alva e Anseriz,34.63
Cantanhede,46.06
Ançã,47.92
Cadima,46.18
Cordinhã,47.50
Febres,40.64
Murtede,43.46
Ourentã,44.70
Sanguinheira,47.03
São Caetano,40.83
Tocha,47.01
União das freguesias de Cantanhede e Pocariça,52.19
União das freguesias de Covões e Camarneira,38.19
União das freguesias de Portunhos e Outil,42.69
União das freguesias de Sepins e Bolho,42.30
União das freguesias de Vilamar e Corticeiro de Cima,43.86
Coimbra,51.04
Almalaguês,46.73
Brasfemes,51.67
Ceira,45.90
Cernache,50.36
Santo António dos Olivais,53.58
São João do Campo,50
São Silvestre,52.29
Torres do Mondego,46.09
União das freguesias de Antuzede e Vil de Matos,49.01
União das freguesias de Assafarge e Antanhol,53.20
"União das freguesias de Coimbra (Sé Nova, Santa Cruz, Almedina e São Bartolomeu)",46.30
União das freguesias de Eiras e São Paulo de Frades,52.27
União das freguesias de Santa Clara e Castelo Viegas,52.96
União das freguesias de São Martinho de Árvore e Lamarosa,45.31
União das freguesias de São Martinho do Bispo e Ribeira de Frades,51.35
União das freguesias de Souselas e Botão,46.51
"União das freguesias de Taveiro, Ameal e Arzila",49.01
União das freguesias de Trouxemil e Torre de Vilela,49.07
Condeixa-a-Nova,52.98
Anobra,54.19
Ega,47.85
Furadouro,41.88
União das freguesias de Condeixa-a-Velha e Condeixa-a-Nova,54.63
União das freguesias de Sebal e Belide,56.42
União das freguesias de Vila Seca e Bem da Fé,45.97
Zambujal,45.16
Figueira da Foz,44.84
Alhadas,41.82
Alqueidão,41.47
Bom Sucesso,39.51
Buarcos e São Julião,43.57
Ferreira-a-Nova,41.54
Lavos,41.68
Maiorca,44.36
Marinha das Ondas,49.87
Moinhos da Gândara,42.56
Paião,40.50
Quiaios,45.71
São Pedro,43.51
Tavarede,53.08
Vila Verde,41.57
Góis,37.31
Alvares,27.95
Góis,43.66
União das freguesias de Cadafaz e Colmeal,23.03
Vila Nova do Ceira,36.77
Lousã,49.59
Gândaras,45.38
Serpins,45.78
União das freguesias de Foz de Arouce e Casal de Ermio,45.84
União das freguesias de Lousã e Vilarinho,50.85
Mealhada,50.84
Barcouço,51.11
Casal Comba,49.67
Luso,46.59
Pampilhosa,51.83
"União das freguesias da Mealhada, Ventosa do Bairro e Antes",53.17
Vacariça,47.66
Mira,45.52
Carapelhos,50.35
Mira,44.60
Praia de Mira,48.28
Seixo,41.18
Miranda do Corvo,47.52
Lamas,44.59
Miranda do Corvo,49.20
União das freguesias de Semide e Rio Vide,45.55
Vila Nova,43.94
Montemor-o-Velho,49.67
Arazede,45.22
Carapinheira,46.42
Ereira,43.76
Liceia,42.15
Meãs do Campo,50.91
Pereira,61.09
Santo Varão,55.22
Seixo de Gatões,47.27
Tentúgal,49.42
"União das freguesias de Abrunheira, Verride e Vila Nova da Barca",37.19
União das freguesias de Montemor-o-Velho e Gatões,54.05
Mortágua,43.43
Cercosa,36.72
Espinho,33.81
Marmeleira,34.61
Pala,42.11
Sobral,44.49
Trezói,35.42
"União das freguesias de Mortágua, Vale de Remígio, Cortegaça e Almaça",48.09
Oliveira do Hospital,45.47
Aldeia das Dez,33.18
Alvoco das Várzeas,29.90
Avô,37.10
Bobadela,47.07
Lagares,51.18
Lourosa,37.50
Meruge,42.47
Nogueira do Cravo,45.47
São Gião,31.13
Seixo da Beira,39.89
Travanca de Lagos,43.70
União das freguesias de Ervedal e Vila Franca da Beira,35.30
União das freguesias de Lagos da Beira e Lajeosa,45.01
União das freguesias de Oliveira do Hospital e São Paio de Gramaços,53.89
União das freguesias de Penalva de Alva e São Sebastião da Feira,40.94
União das freguesias de Santa Ovaia e Vila Pouca da Beira,42.67
Pampilhosa da Serra,32.03
Cabril,33.05
Dornelas do Zêzere,33.12
Fajão-Vidual,27.06
Janeiro de Baixo,24.85
Pampilhosa da Serra,41.74
Pessegueiro,25.97
Portela do Fojo-Machio,24.37
Unhais-o-Velho,24.94
Penacova,45.08
Carvalho,37.46
Figueira de Lorvão,48.07
Lorvão,47.21
Penacova,47.27
Sazes do Lorvão,43.75
União das freguesias de Friúmes e Paradela,39.32
União das freguesias de Oliveira do Mondego e Travanca do Mondego,43.80
União das freguesias de São Pedro de Alva e São Paio de Mondego,40.18
Penela,44.17
Cumeeira,44.43
Espinhal,38.78
Podentes,46.59
"União das freguesias de São Miguel, Santa Eufémia e Rabaçal",44.93
Soure,43.03
Alfarelos,44.79
Figueiró do Campo,43.93
Granja do Ulmeiro,50.20
Samuel,36.95
Soure,44.87
Tapéus,37.97
União das freguesias de Degracias e Pombalinho,36.19
União das freguesias de Gesteira e Brunhós,38.27
Vila Nova de Anços,39.05
Vinha da Rainha,39.28
Tábua,43.99
Candosa,35.86
Carapinha,47.42
Midões,42.34
Mouronho,42.15
Póvoa de Midões,38.99
São João da Boa Vista,41.74
Tábua,51.42
União das freguesias de Ázere e Covelo,38.68
União das freguesias de Covas e Vila Nova de Oliveirinha,39.86
União das freguesias de Espariz e Sinde,40.93
União das freguesias de Pinheiro de Coja e Meda de Mouros,36.50
Vila Nova de Poiares,48.69
Arrifana,43.97
Lavegadas,34.78
Poiares (Santo André),52.04
São Miguel de Poiares,44.67
Região de Leiria,50.37
Alvaiázere,38.26
Almoster,34
Alvaiázere,42.18
Maçãs de Dona Maria,35.27
Pelmá,29.03
Pussos São Pedro,41.90
Ansião,43.19
Alvorge,36.90
Ansião,49.25
Avelar,44.24
Chão de Couce,40.50
Pousaflores,37.50
Santiago da Guarda,40.81
Batalha,53.49
Batalha,55.70
Golpilheira,53.07
Reguengo do Fetal,45.75
São Mamede,52.58
Castanheira de Pêra,35.66
União das freguesias de Castanheira de Pêra e Coentral,35.66
Figueiró dos Vinhos,39.95
Aguda,37.64
Arega,37.61
Campelo,32.02
União das freguesias de Figueiró dos Vinhos e Bairradas,41.52
Leiria,53.82
Amor,49.89
Arrabal,48.83
Bajouca,50.66
Bidoeira de Cima,51.26
Caranguejeira,51.11
Coimbrão,43.76
Maceira,49.88
Milagres,52.68
Regueira de Pontes,49.41
União das freguesias de Colmeias e Memória,45.09
"União das freguesias de Leiria, Pousos, Barreira e Cortes",57.27
União das freguesias de Marrazes e Barosa,56.93
União das freguesias de Monte Real e Carvide,48.55
União das freguesias de Monte Redondo e Carreira,49.40
União das freguesias de Parceiros e Azoia,58.67
União das freguesias de Santa Catarina da Serra e Chainça,53.05
União das freguesias de Santa Eufémia e Boa Vista,51.01
União das freguesias de Souto da Carpalhosa e Ortigosa,52.27
Marinha Grande,50.36
Marinha Grande,51.51
Moita,46.57
Vieira de Leiria,44.51
Pedrógão Grande,36.14
Graça,30.55
Pedrógão Grande,39.14
Vila Facaia,29.84
Pombal,46.44
Abiul,35.91
Almagreira,40.46
Carnide,43.63
Carriço,49.90
Louriçal,46.07
Meirinhas,52.62
Pelariga,42.53
Pombal,50.96
Redinha,43.03
"União das freguesias de Guia, Ilha e Mata Mourisca",49.12
União das freguesias de Santiago e São Simão de Litém e Albergaria dos Doze,39.78
Vermoil,45.05
Vila Cã,36.08
Porto de Mós,51.69
Alqueidão da Serra,48.81
Calvaria de Cima,54.91
Juncal,51.32
Mira de Aire,47.47
Pedreiras,52.94
Porto de Mós - São João Baptista e São Pedro,54.97
São Bento,49.32
Serro Ventoso,50.38
União das freguesias de Alvados e Alcaria,41.01
União das freguesias de Arrimal e Mendiga,52.39
Viseu Dão Lafões,44.64
Aguiar da Beira,35.53
Carapito,40.43
Cortiçada,30.07
Dornelas,27.14
Eirado,31.33
Forninhos,27.27
Pena Verde,37.59
Pinheiro,30.99
União das freguesias de Aguiar da Beira e Coruche,38.96
União das freguesias de Sequeiros e Gradiz,39.43
União das freguesias de Souto de Aguiar da Beira e Valverde,36.63
Carregal do Sal,42.16
Beijós,43.54
Cabanas de Viriato,38.63
Oliveira do Conde,43.91
Parada,31.39
Carregal do Sal,44.44
Castro Daire,35.86
Almofala,28.57
Cabril,21.79
Castro Daire,45.05
Cujó,31.30
Gosende,29.03
Mões,36.27
Moledo,20.39
Monteiras,40.81
Pepim,31.36
Pinheiro,21.52
São Joaninho,36.79
"União das freguesias de Mamouros, Alva e Ribolhos",36.71
União das freguesias de Mezio e Moura Morta,42.23
União das freguesias de Parada de Ester e Ester,26.70
União das freguesias de Picão e Ermida,24.48
União das freguesias de Reriz e Gafanhão,38.98
Mangualde,42.90
Abrunhosa-a-Velha,33.58
Alcafache,39.87
Cunha Baixa,36.27
Espinho,36.82
Fornos de Maceira Dão,44.27
Freixiosa,27.78
Quintela de Azurara,45.78
São João da Fresta,26.35
"União das freguesias de Mangualde, Mesquitela e Cunha Alta",46.50
União das freguesias de Moimenta de Maceira Dão e Lobelhe do Mato,43.20
União das freguesias de Santiago de Cassurrães e Póvoa de Cervães,38.67
"União das freguesias de Tavares (Chãs, Várzea e Travanca)",36.10
Nelas,43.19
Canas de Senhorim,46.76
Lapa do Lobo,37.64
Nelas,48.43
Senhorim,37.63
União das freguesias de Carvalhal Redondo e Aguieira,37.40
União das freguesias de Santar e Moreira,33.07
Vilar Seco,38.71
Oliveira de Frades,49.62
Arcozelo das Maias,45.69
Pinheiro,47.96
Ribeiradio,43.48
São João da Serra,32.20
São Vicente de Lafões,51.55
União das freguesias de Arca e Varzielas,39.92
União das freguesias de Destriz e Reigoso,47.23
"União das freguesias de Oliveira de Frades, Souto de Lafões e Sejães",56.29
Penalva do Castelo,36.90
Castelo de Penalva,24.60
Esmolfe,41.04
Germil,37.34
Ínsua,45.27
Lusinde,25.43
Pindo,38.19
Real,34.86
Sezures,32.64
Trancozelos,38.81
União das freguesias de Antas e Matela,28.84
União das freguesias de Vila Cova do Covelo/Mareco,28.27
Santa Comba Dão,42.43
Pinheiro de Ázere,40.29
São Joaninho,38.88
São João de Areias,34.43
União das freguesias de Ovoa e Vimieiro,38.95
União das freguesias de Santa Comba Dão e Couto do Mosteiro,48.36
União das freguesias de Treixedo e Nagozela,41.61
São Pedro do Sul,39.56
Bordonhos,50.45
Figueiredo de Alva,33.08
Manhouce,33.41
Pindelo dos Milagres,23.77
Pinho,35.35
São Félix,43.28
Serrazes,40.83
Sul,28.13
União das freguesias de Carvalhais e Candal,41.31
União das freguesias de Santa Cruz da Trapa e São Cristóvão de Lafões,43.16
União das freguesias de São Martinho das Moitas e Covas do Rio,21.31
"União das freguesias de São Pedro do Sul, Várzea e Baiões",45.42
Valadares,29.94
Vila Maior,33.54
Sátão,41.64
Avelal,33.78
Ferreira de Aves,35.65
Mioma,43.93
Rio de Moinhos,30.49
São Miguel de Vila Boa,44.19
Sátão,51.45
Silvã de Cima,36.01
União das freguesias de Águas Boas e Forles,30.99
"União das freguesias de Romãs, Decermilo e Vila Longa",29.89
Tondela,43.89
Campo de Besteiros,50.09
Canas de Santa Maria,43.08
Castelões,38.67
Dardavaz,42.26
Ferreirós do Dão,31.99
Guardão,37.15
Lajeosa do Dão,34.80
Lobão da Beira,43.61
Molelos,45.69
Parada de Gonta,38.09
Santiago de Besteiros,45
Tonda,43.85
União das freguesias de Barreiro de Besteiros e Tourigo,41.07
União das freguesias de Caparrosa e Silvares,42.14
União das freguesias de Mouraz e Vila Nova da Rainha,42.65
União das freguesias de São João do Monte e Mosteirinho,38.40
União das freguesias de São Miguel do Outeiro e Sabugosa,40.64
União das freguesias de Tondela e Nandufe,52.60
União das freguesias de Vilar de Besteiros e Mosteiro de Fráguas,43.16
Vila Nova de Paiva,39.38
Pendilhe,34.16
Queiriga,31.21
Touro,35.65
"União das freguesias de Vila Nova de Paiva, Alhais e Fráguas",45.40
Vila Cova à Coelheira,38.21
Viseu,49.26
Abraveses,51.03
Bodiosa,43.02
Calde,28.81
Campo,48.32
Cavernães,43.15
Cota,25.37
Fragosela,51.32
Lordosa,34.23
Mundão,57.30
Orgens,49.29
Povolide,41.07
Ranhados,57.09
Ribafeita,32.60
Rio de Loba,52.79
Santos Evos,40.34
São João de Lourosa,50.43
São Pedro de France,37.62
Silgueiros,37.34
União das freguesias de Barreiros e Cepões,37.14
"União das freguesias de Boa Aldeia, Farminhão e Torredeita",38.91
Coutos de Viseu,42.22
Freguesia de Fail e Vila Chã de Sá,48.59
Repeses e São Salvador,54.21
São Cipriano e Vil de Souto,47.68
Viseu,53.59
Vouzela,42.97
Alcofra,37.64
Campia,46.52
Fornelo do Monte,38.14
Queirã,38.59
São Miguel do Mato,35.68
União das freguesias de Cambra e Carvalhal de Vermilhas,44.14
União das freguesias de Fataunços e Figueiredo das Donas,43.08
União das freguesias de Vouzela e Paços de Vilharigues,47.78
Ventosa,45.57
Beira Baixa,42.03
Castelo Branco,46.73
Alcains,46.62
Almaceda,22
Benquerenças,35.32
Castelo Branco,53.21
Lardosa,35.32
Louriçal do Campo,32.34
Malpica do Tejo,28.77
Monforte da Beira,12.86
Salgueiro do Campo,33.48
Santo André das Tojeiras,13.62
São Vicente da Beira,29.53
Sarzedas,23.05
Tinalhas,35.43
União das freguesias de Cebolais de Cima e Retaxo,32.53
União das freguesias de Escalos de Baixo e Mata,33.54
União das freguesias de Escalos de Cima e Lousa,36.59
União das freguesias de Freixial e Juncal do Campo,33.33
União das freguesias de Ninho do Açor e Sobral do Campo,29.48
União das freguesias de Póvoa de Rio de Moinhos e Cafede,39.53
Idanha-a-Nova,31.35
Aldeia de Santa Margarida,26.42
Ladoeiro,34.54
Medelim,19.25
Oledo,33.33
Penha Garcia,27.19
Proença-a-Velha,21.20
Rosmaninhal,22.91
São Miguel de Acha,26.05
Toulões,17.73
União das freguesias de Idanha-a-Nova e Alcafozes,46.91
União das freguesias de Monfortinho e Salvaterra do Extremo,25.81
União das freguesias de Monsanto e Idanha-a-Velha,20.11
União das freguesias de Zebreira e Segura,20.99
Oleiros,34.37
Álvaro,30.41
Cambas,13.20
Estreito-Vilar Barroco,28.36
Isna,22.97
Madeirã,32.41
Mosteiro,30.56
Oleiros-Amieira,44.52
Orvalho,27.42
Sarnadas de São Simão,32.10
Sobral,28.78
Penamacor,31.73
Aranhas,28.62
Benquerença,34.08
Meimão,21.49
Meimoa,28
Penamacor,40.88
Salvador,31.49
"União das freguesias de Aldeia do Bispo, Águas e Aldeia de João Pires",27.84
União das freguesias de Pedrógão de São Pedro e Bemposta,27.32
Vale da Senhora da Póvoa,17.67
Proença-a-Nova,37.82
Montes da Senhora,28.84
São Pedro do Esteval,30.41
União das freguesias de Proença-a-Nova e Peral,43.85
União das freguesias de Sobreira Formosa e Alvito da Beira,27.28
Vila Velha de Ródão,32.75
Fratel,22.18
Perais,28.29
Sarnadas de Ródão,25.84
Vila Velha de Ródão,39.62
Médio Tejo,44.80
Abrantes,41.35
Bemposta,37.34
Carvalhal,30.34
Fontes,19.60
Martinchel,30.60
Mouriscas,33.11
Pego,39.70
Rio de Moinhos,39.13
Tramagal,36.38
União das freguesias de Abrantes (São Vicente e São João) e Alferrarede,48.21
União das freguesias de Aldeia do Mato e Souto,24.72
União das freguesias de Alvega e Concavada,34.58
União das freguesias de São Facundo e Vale das Mós,35.20
União das freguesias de São Miguel do Rio Torto e Rossio ao Sul do Tejo,37.80
Alcanena,47.77
Bugalhos,47.75
Minde,47.80
Moitas Venda,45.83
Monsanto,44.23
Serra de Santo António,46.67
União das freguesias de Alcanena e Vila Moreira,50.46
"União das freguesias de Malhou, Louriceira e Espinheiro",42.89
Constância,46.24
Constância,48.55
Montalvo,49.29
Santa Margarida da Coutada,42.70
Entroncamento,50.59
Nossa Senhora de Fátima,53.12
São João Baptista,46.27
Ferreira do Zêzere,41.95
Águas Belas,49.36
Beco,36.88
Chãos,30.77
Ferreira do Zêzere,52.73
Igreja Nova do Sobral,31.78
Nossa Senhora do Pranto,39.46
União das freguesias de Areias e Pias,32.60
Mação,37.35
Amêndoa,28.46
Cardigos,31.52
Carvoeiro,33.40
Envendos,28.65
Ortiga,32.94
"União das freguesias de Mação, Penhascoso e Aboboreira",44.13
Ourém,48.44
Alburitel,45.12
Atouguia,52.29
Caxarias,50.91
Espite,35.91
Fátima,50.03
Nossa Senhora da Piedade,54.42
Nossa Senhora das Misericórdias,49.21
Seiça,41.21
"União das freguesias de Freixianda, Ribeira do Fárrio e Formigais",41.72
União das freguesias de Gondemaria e Olival,47.30
União das freguesias de Matas e Cercal,49.44
União das freguesias de Rio de Couros e Casal dos Bernardos,40.84
Urqueira,42.53
Sardoal,40.88
Alcaravela,36.69
Santiago de Montalegre,37.50
Sardoal,43.16
Valhascos,38.48
Sertã,42.06
Cabeçudo,45.22
Carvalhal,42.79
Castelo,38.16
Pedrógão Pequeno,29.75
Sertã,49.07
Troviscal,35.83
"União das freguesias de Cernache do Bonjardim, Nesperal e Palhais",40.03
União das freguesias de Cumeada e Marmeleiro,31.23
União das freguesias de Ermida e Figueiredo,27.64
Várzea dos Cavaleiros,30.48
Tomar,41.92
Asseiceira,37.93
Carregueiros,41.97
Olalhas,34.74
Paialvo,36.32
Sabacheira,35.17
São Pedro de Tomar,38.73
União das freguesias de Além da Ribeira e Pedreira,35.95
União das freguesias de Casais e Alviobeira,41.35
União das freguesias de Madalena e Beselga,43.97
União das freguesias de Serra e Junceira,36.22
União das freguesias de Tomar (São João Baptista) e Santa Maria dos Olivais,45.38
Torres Novas,46.67
Assentiz,42.52
Chancelaria,39.97
Meia Via,46.88
Pedrógão,42.77
Riachos,46.01
"União das freguesias de Brogueira, Parceiros de Igreja e Alcorochel",43.41
União das freguesias de Olaia e Paço,41.87
"União das freguesias de Torres Novas (Santa Maria, Salvador e Santiago)",50.79
"União das freguesias de Torres Novas (São Pedro), Lapas e Ribeira Branca",48.89
Zibreira,45.28
Vila de Rei,37.34
Fundada,31.37
São João do Peso,19.53
Vila de Rei,39.67
Vila Nova da Barquinha,44.76
Atalaia,45.67
Praia do Ribatejo,35.50
Tancos,41.71
Vila Nova da Barquinha,48.35
Beiras e Serra da Estrela,41.87
Almeida,33.91
Almeida,45.22
Castelo Bom,26.35
Freineda,28.49
Freixo,33.76
Malhada Sorda,26.23
Nave de Haver,13.29
São Pedro de Rio Seco,22.82
"União das freguesias de Amoreira, Parada e Cabreira",34.01
"União das freguesias de Azinhal, Peva e Valverde",25.19
"União das freguesias de Castelo Mendo, Ade, Monteperobolso e Mesquitela",22.44
União das freguesias de Junça e Naves,26.88
"União das freguesias de Leomil, Mido, Senouras e Aldeia Nova",18.31
União das freguesias de Malpartida e Vale de Coelha,28.49
União das freguesias de Miuzela e Porto de Ovelha,29.10
Vale da Mula,26.03
Vilar Formoso,40.60
Belmonte,41.44
Caria,39.67
Inguias,39.13
Maçainhas,31.47
União das freguesias de Belmonte e Colmeal da Torre,43.63
Celorico da Beira,40.85
Baraçal,38.29
Carrapichana,30.86
Casas do Soeiro,46.48
Forno Telheiro,46.04
Lajeosa do Mondego,39.13
Linhares,40.50
Maçal do Chão,44
Mesquitela,39.34
Minhocal,44.44
Prados,22.06
Ratoeira,42.08
União das freguesias de Açores e Velosa,41.73
União das freguesias de Celorico (São Pedro e Santa Maria) e Vila Boa do Mondego,43.93
"União das freguesias de Cortiçô da Serra, Vide entre Vinhas e Salgueirais",33.33
União das freguesias de Rapa e Cadafaz,30.22
Vale de Azares,35.83
Covilhã,43.55
Aldeia de São Francisco de Assis,28.16
Boidobra,51.97
Cortes do Meio,35.42
Dominguizo,43.73
Erada,28.84
Ferro,44
Orjais,42.24
Paul,40.45
Peraboa,32.93
São Jorge da Beira,23.90
Sobral de São Miguel,19.06
Tortosendo,48.40
Unhais da Serra,36.23
União das freguesias de Barco e Coutada,30.97
União das freguesias de Cantar-Galo e Vila do Carvalho,36.82
União das freguesias de Casegas e Ourondo,27.19
União das freguesias de Covilhã e Canhoso,47.58
União das freguesias de Peso e Vales do Rio,43.63
União das freguesias de Teixoso e Sarzedo,42
União das freguesias de Vale Formoso e Aldeia do Souto,32.09
Verdelhos,32.76
Figueira de Castelo Rodrigo,38.49
Castelo Rodrigo,38.19
Escalhão,37.06
Figueira de Castelo Rodrigo,48.37
Mata de Lobos,29.26
"União das freguesias de Algodres, Vale de Afonsinho e Vilar de Amargo",29.64
União das freguesias de Almofala e Escarigo,21.43
União das freguesias de Cinco Vilas e Reigada,33.67
"União das freguesias de Freixeda do Torrão, Quintã de Pêro Martins e Penha de Águia",32.59
União das freguesias do Colmeal e Vilar Torpim,33.52
Vermiosa,30.90
Fornos de Algodres,39.07
Algodres,37.17
Casal Vasco,28.86
Figueiró da Granja,39.17
Fornos de Algodres,47.04
Infias,52.77
Maceira,25
Matança,38.27
Muxagata,41.18
Queiriz,33.33
União das freguesias de Cortiçô e Vila Chã,33.54
"União das freguesias de Juncais, Vila Ruiva e Vila Soeiro do Chão",30.66
União das freguesias de Sobral Pichorro e Fuinhas,32.21
Fundão,42.22
Alcaide,37.90
Alcaria,47.23
Alcongosta,44.96
Alpedrinha,39.04
Barroca,22.41
Bogas de Cima,32.54
Capinha,35.60
Castelejo,31.42
Castelo Novo,44.06
Enxames,37.87
Fatela,44.80
Lavacolhos,30.81
Orca,27.98
Pêro Viseu,40.70
Silvares,38.31
Soalheira,38.89
Souto da Casa,39.38
Telhado,40.48
Três Povos,22.36
"União das freguesias de Fundão, Valverde, Donas, Aldeia de Joanes e Aldeia Nova do Cabo",49.65
União das freguesias de Janeiro de Cima e Bogas de Baixo,25.12
União das freguesias de Póvoa de Atalaia e Atalaia do Campo,31.08
União das freguesias de Vale de Prazeres e Mata da Rainha,28.26
Gouveia,36.31
Arcozelo,35.70
Cativelos,27.35
Folgosinho,35.61
Gouveia,38.75
Nespereira,36.09
Paços da Serra,41.35
Ribamondego,27.56
São Paio,28.77
União das freguesias de Aldeias e Mangualde da Serra,36.72
União das freguesias de Figueiró da Serra e Freixo da Serra,27.14
União das freguesias de Melo e Nabais,31.64
União das freguesias de Moimenta da Serra e Vinhó,33.90
União das freguesias de Rio Torto e Lagarinhos,44.38
Vila Cortês da Serra,36.36
Vila Franca da Serra,40.81
Vila Nova de Tazem,40.68
Guarda,49.03
Adão,36.75
Aldeia do Bispo,52.87
Aldeia Viçosa,26.07
Alvendre,54.76
Arrifana,45.64
Avelãs da Ribeira,33.83
Benespera,33.21
Casal de Cinza,50.56
Castanheira,30.71
Cavadoude,50.22
Codesseiro,39.04
Faia,28.74
Famalicão,30.07
Fernão Joanes,28.57
Gonçalo,36.15
Gonçalo Bocas,48.37
Guarda,54.61
Jarmelo São Miguel,33.46
Jarmelo São Pedro,32.68
João Antão,42.74
Maçainhas,46
Marmeleiro,26.43
Meios,38.03
Panoias de Cima,47.06
Pega,31.53
Pêra do Moço,43.82
Porto da Carne,32.90
Ramela,39.75
Santana da Azinha,37.50
Sobral da Serra,31.44
União de freguesias de Avelãs de Ambom e Rocamondo,44.85
União de freguesias de Corujeira e Trinta,32.98
"União de freguesias de Mizarela, Pêro Soares e Vila Soeiro",29.84
União de freguesias de Pousade e Albardo,32.37
União de freguesias de Rochoso e Monte Margarida,17
Vale de Estrela,44.51
Valhelhas,37.86
Vela,27.79
Videmonte,37.06
Vila Cortês do Mondego,45.70
Vila Fernando,43.91
Vila Franca do Deão,53.72
Vila Garcia,51.49
Manteigas,36.62
Manteigas (Santa Maria),42.09
Manteigas (São Pedro),34
Sameiro,32.41
Vale de Amoreira,25.37
Mêda,37.36
Aveloso,45.51
Barreira,18.87
Coriscada,22.62
Longroiva,26.73
Marialva,28.07
Poço do Canto,32.59
Rabaçal,33.33
Ranhados,30.41
"Mêda, Outeiro de Gatos e Fonte Longa",45.62
Prova e Casteição,25.81
"União das freguesias de Vale Flor, Carvalhal e Pai Penela",24.60
Pinhel,39.04
Agregação das freguesias Sul de Pinhel,40.12
Alto do Palurdo,29.57
Alverca da Beira/Bouça Cova,31.73
Ervedosa,29.85
Freixedas,36.11
Lamegal,37.07
Lameiras,34.74
Manigoto,24.14
Pala,34
Pinhel,49.40
Pínzio,29.83
Souro Pires,43.44
Terras de Massueime,24.37
União das freguesias de Atalaia e Safurdão,21.05
Valbom/Bogalhal,24.73
Vale do Côa,15.66
Vale do Massueime,26.98
Vascoveiro,35.17
Sabugal,33.15
Águas Belas,28.95
Aldeia da Ponte,22.58
Aldeia do Bispo,19.57
Aldeia Velha,25.06
Alfaiates,24.12
Baraçal,37.57
Bendada,29.58
Bismula,28.96
Casteleiro,25.94
Cerdeira,31.95
Fóios,32.99
Malcata,24.26
Nave,27.31
Quadrazais,17.28
Quintas de São Bartolomeu,39.62
Rapoula do Côa,29.83
Rebolosa,29.38
Rendo,42.71
Sortelha,34.23
