Local de residência (à data dos Censos 2021),"Taxa de emprego (%) por Local de residência (à data dos Censos 2021), Sexo e Grupo etário; Decenal"
Souto,37.43
"União das freguesias de Aldeia da Ribeira, Vilar Maior e Badamalos",33.86
União das freguesias de Lajeosa e Forcalhos,16.10
"União das freguesias de Pousafoles do Bispo, Pena Lobo e Lomba",25.73
"União das freguesias de Ruvina, Ruivós e Vale das Éguas",27.89
União das freguesias de Santo Estêvão e Moita,22.15
União das freguesias de Seixo do Côa e Vale Longo,26.29
União das freguesias do Sabugal e Aldeia de Santo António,47.95
Vale de Espinho,17.45
Vila Boa,50.45
Vila do Touro,22.35
Seia,40.51
Alvoco da Serra,28.31
Girabolhos,23.91
Loriga,29.88
Paranhos,35.76
Pinhanços,43.36
Sabugueiro,39.89
Sandomil,34.24
Santa Comba,43.66
Santiago,44.25
Sazes da Beira,19.33
Teixeira,24.64
Travancinha,44.35
União das freguesias de Carragozela e Várzea de Meruge,37.63
União das freguesias de Sameice e Santa Eulália,42.34
União das freguesias de Santa Marinha e São Martinho,35.66
"União das freguesias de Seia, São Romão e Lapa dos Dinheiros",46.48
União das freguesias de Torrozelo e Folhadosa,36.40
União das freguesias de Tourais e Lajes,40.98
União das freguesias de Vide e Cabeça,21.27
Valezim,29.18
Vila Cova à Coelheira,41.93
Trancoso,39.41
Aldeia Nova,23.19
Castanheira,36.49
Cogula,30.32
Cótimos,16.11
Fiães,40.48
Granja,31.07
Guilheiro,43.70
Moimentinha,33.75
Moreira de Rei,27.66
Palhais,28.47
Póvoa do Concelho,38.84
Reboleiro,24.68
Rio de Mel,33.59
Tamanhos,34.76
União das freguesias de Freches e Torres,36.10
"União das freguesias de Torre do Terrenho, Sebadelhe da Serra e Terrenho",31.48
União das freguesias de Trancoso (São Pedro e Santa Maria) e Souto Maior,49.75
União das freguesias de Vale do Seixo e Vila Garcia,30.51
União das freguesias de Vila Franca das Naves e Feital,45.84
União das freguesias de Vilares e Carnicães,31.67
Valdujo,18.79
Área Metropolitana de Lisboa,51.11
Área Metropolitana de Lisboa,51.11
Alcochete,54.31
Alcochete,53.09
Samouco,54.97
São Francisco,59.93
Almada,48.03
Costa da Caparica,47.51
"União das freguesias de Almada, Cova da Piedade, Pragal e Cacilhas",45.60
União das freguesias de Caparica e Trafaria,45.13
União das freguesias de Charneca de Caparica e Sobreda,52.28
União das freguesias de Laranjeiro e Feijó,48.06
Amadora,50.52
Águas Livres,49.87
Alfragide,51.67
Encosta do Sol,49.27
Falagueira-Venda Nova,46.34
Mina de Água,54.14
Venteira,49.60
Barreiro,46.62
Santo António da Charneca,47.62
"União das freguesias de Alto do Seixalinho, Santo André e Verderena",45.45
União das freguesias de Barreiro e Lavradio,47.56
União das freguesias de Palhais e Coina,51.52
Cascais,49.19
Alcabideche,49.55
São Domingos de Rana,53.06
União das freguesias de Carcavelos e Parede,49.09
União das freguesias de Cascais e Estoril,45.55
Lisboa,50.59
Ajuda,45.42
Alcântara,50.82
Alvalade,52.18
Areeiro,52.45
Arroios,55.28
Avenidas Novas,53.24
Beato,45.85
Belém,50
Benfica,46.67
Campo de Ourique,50.77
Campolide,49.70
Carnide,48.85
Estrela,53.63
Lumiar,54.75
Marvila,43.28
Misericórdia,50.76
Olivais,46.26
Parque das Nações,55.38
Penha de França,50.89
Santa Clara,47.87
Santa Maria Maior,49.76
Santo António,54.57
São Domingos de Benfica,52.12
São Vicente,51.87
Loures,50.92
Bucelas,50.51
Fanhões,52.27
Loures,55.28
Lousa,51.26
"União das freguesias de Camarate, Unhos e Apelação",47.22
União das freguesias de Moscavide e Portela,46.45
União das freguesias de Sacavém e Prior Velho,51.81
"União das freguesias de Santa Iria de Azoia, São João da Talha e Bobadela",50.05
União das freguesias de Santo Antão e São Julião do Tojal,49.84
União das freguesias de Santo António dos Cavaleiros e Frielas,54.86
Mafra,55.79
Carvoeira,55.37
Encarnação,53.64
Ericeira,52.72
Mafra,57.19
Milharado,59.20
Santo Isidoro,52.38
União das freguesias de Azueira e Sobral da Abelheira,51.47
"União das freguesias de Enxara do Bispo, Gradil e Vila Franca do Rosário",52.94
União das freguesias de Igreja Nova e Cheleiros,54.63
União das freguesias de Malveira e São Miguel de Alcainça,59.41
União das freguesias de Venda do Pinheiro e Santo Estêvão das Galés,57.05
Moita,46.86
Alhos Vedros,51.86
Moita,49.11
União das freguesias de Baixa da Banheira e Vale da Amoreira,42.76
União das freguesias de Gaio-Rosário e Sarilhos Pequenos,49.03
Montijo,53.44
Canha,42.57
Sarilhos Grandes,47.08
União das freguesias de Atalaia e Alto Estanqueiro-Jardia,51.70
União das freguesias de Montijo e Afonsoeiro,54.58
União das freguesias de Pegões,54.09
Odivelas,52.69
Odivelas,53.75
União das freguesias de Pontinha e Famões,50.61
União das freguesias de Póvoa de Santo Adrião e Olival Basto,48.03
União das freguesias de Ramada e Caneças,55.65
Oeiras,51.08
Barcarena,55.09
Porto Salvo,50.73
"União das freguesias de Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",51.01
União das freguesias de Carnaxide e Queijas,52.14
"União das freguesias de Oeiras e São Julião da Barra, Paço de Arcos e Caxias",49.63
Palmela,51.15
Palmela,49.13
Pinhal Novo,52.78
Quinta do Anjo,53.27
União das freguesias de Poceirão e Marateca,47.25
Seixal,50.59
Amora,47.63
Corroios,51.14
Fernão Ferro,51.37
"União das freguesias do Seixal, Arrentela e Aldeia de Paio Pires",52.87
Sesimbra,51.52
Quinta do Conde,54.65
Sesimbra (Castelo),49.90
Sesimbra (Santiago),39.34
Setúbal,48.46
Gâmbia-Pontes-Alto da Guerra,55.58
Sado,47.10
Setúbal (São Sebastião),48.91
União das freguesias de Azeitão (São Lourenço e São Simão),49.96
"União das freguesias de Setúbal (São Julião, Nossa Senhora da Anunciada e Santa Maria da Graça)",46.03
Sintra,53.88
Algueirão-Mem Martins,55.21
Casal de Cambra,54.75
Colares,48.55
Rio de Mouro,56.11
União das freguesias de Agualva e Mira-Sintra,51.07
"União das freguesias de Almargem do Bispo, Pêro Pinheiro e Montelavar",51.70
União das freguesias de Massamá e Monte Abraão,52.66
União das freguesias de Queluz e Belas,53.45
União das freguesias de São João das Lampas e Terrugem,50.86
"União das freguesias de Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim)",51.76
União das freguesias do Cacém e São Marcos,58.60
Vila Franca de Xira,55.14
"União das freguesias de Alhandra, São João dos Montes e Calhandriz",50.18
União das freguesias de Alverca do Ribatejo e Sobralinho,54.83
União das freguesias de Castanheira do Ribatejo e Cachoeiras,52.08
União das freguesias de Póvoa de Santa Iria e Forte da Casa,58.29
Vialonga,57.45
Vila Franca de Xira,51.04
Alentejo,47.34
Alentejo Litoral,49.86
Alcácer do Sal,46.65
Comporta,47.36
São Martinho,29.94
Torrão,46.33
União das freguesias de Alcácer do Sal (Santa Maria do Castelo e Santiago) e Santa Susana,47.42
Grândola,46.73
Azinheira dos Barros e São Mamede do Sádão,37.30
Carvalhal,46.72
Melides,41.98
União das freguesias de Grândola e Santa Margarida da Serra,47.96
Odemira,53.85
Boavista dos Pinheiros,63.58
Colos,36.76
Longueira/Almograve,67.07
Luzianes-Gare,29.24
Relíquias,37.64
Sabóia,30.90
Santa Clara-a-Velha,33.28
São Luís,42.28
São Martinho das Amoreiras,36.27
São Salvador e Santa Maria,55.02
São Teotónio,64.53
Vale de Santiago,40.57
Vila Nova de Milfontes,50.02
Santiago do Cacém,47.57
Abela,40.16
Alvalade,45.39
Cercal,40.74
Ermidas-Sado,48.24
Santo André,50.20
São Francisco da Serra,43.61
"União das freguesias de Santiago do Cacém, Santa Cruz e São Bartolomeu da Serra",49.91
União das freguesias de São Domingos e Vale de Água,37
Sines,51.44
Porto Covo,46.96
Sines,51.83
Baixo Alentejo,45.76
Aljustrel,45.21
Ervidel,39.28
Messejana,39.48
São João de Negrilhos,45.96
União das freguesias de Aljustrel e Rio de Moinhos,46.83
Almodôvar,43.44
Aldeia dos Fernandes,41.81
Rosário,40.42
Santa Cruz,34.35
São Barnabé,20.67
União das freguesias de Almodôvar e Graça dos Padrões,49.97
União das freguesias de Santa Clara-a-Nova e Gomes Aires,32.51
Alvito,43.89
Alvito,42.40
Vila Nova da Baronia,45.47
Barrancos,44.69
Barrancos,44.69
Beja,50.22
Baleizão,51.40
Beringel,44.78
Cabeça Gorda,45.38
Nossa Senhora das Neves,47.89
Santa Clara de Louredo,43.14
São Matias,51.95
União das freguesias de Albernoa e Trindade,41.22
União das freguesias de Beja (Salvador e Santa Maria da Feira),52.21
União das freguesias de Beja (Santiago Maior e São João Baptista),51.93
União das freguesias de Salvada e Quintos,45.17
União das freguesias de Santa Vitória e Mombeja,43.15
União das freguesias de Trigaches e São Brissos,41.05
Castro Verde,47.72
Entradas,36.72
Santa Bárbara de Padrões,36.22
São Marcos da Ataboeira,44.03
União das freguesias de Castro Verde e Casével,50.89
Cuba,47.66
Cuba,49.92
Faro do Alentejo,50.12
Vila Alva,32.81
Vila Ruiva,43.53
Ferreira do Alentejo,47.97
Figueira dos Cavaleiros,45.24
Odivelas,43.32
União das freguesias de Alfundão e Peroguarda,52.41
União das freguesias de Ferreira do Alentejo e Canhestros,47.91
Mértola,39.29
Alcaria Ruiva,40.37
Corte do Pinto,28.30
Espírito Santo,28.08
Mértola,47.66
Santana de Cambas,33.24
São João dos Caldeireiros,41.54
"União das freguesias de São Miguel do Pinheiro, São Pedro de Solis e São Sebastião dos Carros",32.20
Moura,40.94
Amareleja,38.69
Póvoa de São Miguel,34.26
Sobral da Adiça,38.44
União das freguesias de Moura (Santo Agostinho e São João Baptista) e Santo Amador,43.48
União das freguesias de Safara e Santo Aleixo da Restauração,35.91
Ourique,43.42
Ourique,48.86
Santana da Serra,29.08
União das freguesias de Garvão e Santa Luzia,39.45
União das freguesias de Panoias e Conceição,40.67
Serpa,42.83
Brinches,33.29
Pias,43.43
União das freguesias de Serpa (Salvador e Santa Maria),48.21
União das freguesias de Vila Nova de São Bento e Vale de Vargo,39.06
Vila Verde de Ficalho,35.77
Vidigueira,45.48
Pedrógão,41.77
Selmes,41.95
Vidigueira,48.42
Vila de Frades,43.88
Lezíria do Tejo,47.83
Almeirim,47.38
Almeirim,49.54
Benfica do Ribatejo,45.43
Fazendas de Almeirim,44.93
Raposa,37.28
Alpiarça,44.26
Alpiarça,44.26
Azambuja,47.86
Alcoentre,34.89
Aveiras de Baixo,46.07
Aveiras de Cima,49.42
Azambuja,54.52
"União das freguesias de Manique do Intendente, Vila Nova de São Pedro e Maçussa",38.57
Vale do Paraíso,44.34
Vila Nova da Rainha,55.50
Benavente,52.61
Barrosa,51.50
Benavente,51.92
Samora Correia,53.47
Santo Estêvão,48.77
Cartaxo,47.91
Pontével,44.35
União das freguesias de Ereira e Lapa,41.51
União das freguesias do Cartaxo e Vale da Pinta,51.48
Valada,43.29
Vale da Pedra,43.21
Vila Chã de Ourique,45.72
Chamusca,44.71
Carregueira,41.75
Ulme,44.56
União das freguesias da Chamusca e Pinheiro Grande,46.73
União das freguesias de Parreira e Chouto,47.02
Vale de Cavalos,38.82
Coruche,42.19
Biscainho,41.81
Branca,43.49
Couço,33.68
Santana do Mato,43.95
São José da Lamarosa,38.16
"União das freguesias de Coruche, Fajarda e Erra",44.42
Golegã,46.52
Azinhaga,41.51
Golegã,49.08
Pombalinho,41.71
Rio Maior,50.98
Alcobertas,52.16
Arrouquelas,43.18
Asseiceira,52.15
Fráguas,46.89
Rio Maior,53.41
São Sebastião,45.26
União das freguesias de Azambujeira e Malaqueijo,47.89
União das freguesias de Marmeleira e Assentiz,47.51
União das freguesias de Outeiro da Cortiçada e Arruda dos Pisões,41.06
União das freguesias de São João da Ribeira e Ribeira de São João,44.89
Salvaterra de Magos,45.55
Marinhais,46
Muge,42.75
União das freguesias de Glória do Ribatejo e Granho,41.14
União das freguesias de Salvaterra de Magos e Foros de Salvaterra,47.23
Santarém,48.05
Abitureiras,43.36
Abrã,49.65
Alcanede,46.77
Alcanhões,41.41
Almoster,41
Amiais de Baixo,47.88
Arneiro das Milhariças,43.33
Gançaria,44.52
Moçarria,43.49
Pernes,43.11
Póvoa da Isenta,44.29
"União das freguesias de Achete, Azoia de Baixo e Póvoa de Santarém",43.53
União das freguesias de Azoia de Cima e Tremês,41.70
União das freguesias de Casével e Vaqueiros,44.30
União das freguesias de Romeira e Várzea,45.62
União de freguesias da cidade de Santarém,51.70
União das freguesias de São Vicente do Paul e Vale de Figueira,41.34
Vale de Santarém,46.71
Alto Alentejo,43.96
Alter do Chão,38.22
Alter do Chão,42.46
Chancelaria,28.07
Cunheira,33.72
Seda,29.10
Arronches,45.89
Assunção,48.04
Esperança,38.94
Mosteiros,46.39
Avis,41.96
Aldeia Velha,35.44
Avis,45.25
Ervedal,44.70
Figueira e Barros,38.68
União das freguesias de Alcórrego e Maranhão,48.64
União das freguesias de Benavila e Valongo,34.02
Campo Maior,48.97
Nossa Senhora da Expectação,48.20
Nossa Senhora da Graça dos Degolados,45.72
São João Baptista,50.25
Castelo de Vide,43.03
Nossa Senhora da Graça de Póvoa e Meadas,36.75
Santa Maria da Devesa,46.79
Santiago Maior,46.64
São João Baptista,39.67
Crato,38.13
Aldeia da Mata,28.18
Gáfete,34.56
Monte da Pedra,33.17
"União das freguesias de Crato e Mártires, Flor da Rosa e Vale do Peso",41.62
Elvas,45.21
"Assunção, Ajuda, Salvador e Santo Ildefonso",48.52
"Caia, São Pedro e Alcáçova",43.09
Santa Eulália,38.24
São Brás e São Lourenço,48.24
São Vicente e Ventosa,42.73
União das freguesias de Barbacena e Vila Fernando,34.99
União das freguesias de Terrugem e Vila Boim,42.57
Fronteira,42.58
Cabeço de Vide,37.86
Fronteira,45.08
São Saturnino,42.92
Gavião,34.42
Belver,19.48
Comenda,35.79
Margem,32.42
União das freguesias de Gavião e Atalaia,40.45
Marvão,41.42
Beirã,40.11
Santa Maria de Marvão,33.51
Santo António das Areias,40.23
São Salvador da Aramenha,45.45
Monforte,40.69
Assumar,31.59
Monforte,41.93
Santo Aleixo,44.47
Vaiamonte,44.31
Nisa,37.47
Alpalhão,40.88
Montalvão,23.05
Santana,11.96
São Matias,29.69
Tolosa,36.70
União das freguesias de Arez e Amieira do Tejo,23.67
"União das freguesias de Espírito Santo, Nossa Senhora da Graça e São Simão",43.11
Ponte de Sor,43.74
Foros de Arrão,35.95
Galveias,36.66
Longomel,39.36
Montargil,39.89
"União das freguesias de Ponte de Sor, Tramaga e Vale de Açor",46.25
Portalegre,47.78
Alagoa,45.23
Alegrete,38.86
Fortios,48.43
União das freguesias da Sé e São Lourenço,49.04
União das freguesias de Reguengo e São Julião,41.25
União das freguesias de Ribeira de Nisa e Carreiras,49.61
Urra,46.61
Sousel,42.20
Cano,40.90
Casa Branca,39.93
Santo Amaro,45.83
Sousel,43.19
Alentejo Central,48.50
Alandroal,43.81
Capelins (Santo António),35.41
Santiago Maior,41.90
Terena (São Pedro),37.64
"União das freguesias de Alandroal (Nossa Senhora da Conceição), São Brás dos Matos (Mina do Bugalho) e Juromenha (Nossa Senhora do Loreto)",49.37
Arraiolos,50
Arraiolos,53.89
Igrejinha,53.80
União das freguesias de Gafanhoeira (São Pedro) e Sabugueiro,47.77
União das freguesias de São Gregório e Santa Justa,45.52
Vimieiro,41.46
Borba,43.71
Borba (Matriz),45.48
Borba (São Bartolomeu),36.13
Orada,47.85
Rio de Moinhos,41.78
Estremoz,47.53
Arcos,44.20
Évora Monte (Santa Maria),46.96
Glória,42.11
São Domingos de Ana Loura,46.15
União das freguesias de Estremoz (Santa Maria e Santo André),48.96
União das freguesias de São Bento do Cortiço e Santo Estêvão,45.35
União das freguesias de São Lourenço de Mamporcão e São Bento de Ana Loura,47.04
União das freguesias do Ameixial (Santa Vitória e São Bento),48.15
Veiros,44.03
Évora,51.94
Canaviais,55.37
Nossa Senhora da Graça do Divor,52.27
Nossa Senhora de Machede,50.49
São Bento do Mato,44.04
São Miguel de Machede,46.26
Torre de Coelheiros,45.44
União das freguesias de Bacelo e Senhora da Saúde,52.62
"União das freguesias de Évora (São Mamede, Sé, São Pedro e Santo Antão)",49.42
União das freguesias de Malagueira e Horta das Figueiras,52.73
União das freguesias de Nossa Senhora da Tourega e Nossa Senhora de Guadalupe,53.26
União das freguesias de São Manços e São Vicente do Pigeiro,41.26
União das freguesias de São Sebastião da Giesteira e Nossa Senhora da Boa Fé,50.59
Montemor-o-Novo,48.17
Cabrela,33.40
Ciborro,46
Foros de Vale de Figueira,43.40
Santiago do Escoural,43.04
São Cristóvão,42.14
União das freguesias de Cortiçadas de Lavre e Lavre,39.30
"União das freguesias de Nossa Senhora da Vila, Nossa Senhora do Bispo e Silveiras",51.44
Mora,40.48
Brotas,36.51
Cabeção,33.92
Mora,44.29
Pavia,38.88
Mourão,41.13
Granja,34.05
Luz,51.89
Mourão,41.47
Portel,45.40
Monte do Trigo,49.80
Portel,46.11
Santana,46.60
União das freguesias de Amieira e Alqueva,36.27
União das freguesias de São Bartolomeu do Outeiro e Oriola,43.80
Vera Cruz,43.16
Redondo,48.21
Montoito,42.98
Redondo,49.23
Reguengos de Monsaraz,45.95
Corval,43.18
Monsaraz,38.56
Reguengos de Monsaraz,48.37
União das freguesias de Campo e Campinho,39.53
Vendas Novas,46.80
Landeira,42.55
Vendas Novas,47.05
Viana do Alentejo,49.35
Aguiar,57.09
Alcáçovas,47.37
Viana do Alentejo,48.28
Vila Viçosa,47.42
Bencatel,45.07
Ciladas,44.29
Nossa Senhora da Conceição e São Bartolomeu,48.81
Pardais,46.83
Algarve,46.51
Algarve,46.51
Albufeira,45.91
Albufeira e Olhos de Água,44.38
Ferreiras,50.37
Guia,49.73
Paderne,44.24
Alcoutim,34.50
Giões,34.93
Martim Longo,38.30
União das freguesias de Alcoutim e Pereiro,33.21
Vaqueiros,28.30
Aljezur,43.84
Aljezur,43.53
Bordeira,33.13
Odeceixe,48.54
Rogil,43.99
Castro Marim,40.39
Altura,41.28
Azinhal,35.48
Castro Marim,44.35
Odeleite,20.41
Faro,51.61
Montenegro,57.79
Santa Bárbara de Nexe,40.91
União das freguesias de Conceição e Estoi,48.56
União das freguesias de Faro (Sé e São Pedro),52.07
Lagoa,44.06
Ferragudo,36.25
Porches,39.95
União das freguesias de Estômbar e Parchal,47.56
União das freguesias de Lagoa e Carvoeiro,43.41
Lagos,44.12
Luz,38.58
Odiáxere,45.56
União das freguesias de Bensafrim e Barão de São João,38.51
São Gonçalo de Lagos,45.56
Loulé,47.95
Almancil,49.17
Alte,33.88
Ameixial,33.24
Boliqueime,44.47
Loulé (São Clemente),52.79
Loulé (São Sebastião),48.11
Quarteira,47.83
Salir,41.10
"União de freguesias de Querença, Tôr e Benafim",35.96
Monchique,40.31
Alferce,30.11
Marmelete,33.07
Monchique,42.43
Olhão,48.01
Olhão,47.44
Pechão,51.01
Quelfes,51.77
União das freguesias de Moncarapacho e Fuseta,41.05
Portimão,46.31
Alvor,43.27
Mexilhoeira Grande,42.99
Portimão,47
São Brás de Alportel,48.37
São Brás de Alportel,48.37
Silves,45.78
Armação de Pêra,48.73
São Bartolomeu de Messines,42.76
São Marcos da Serra,29.98
Silves,46.56
União das freguesias de Alcantarilha e Pêra,45.57
União das freguesias de Algoz e Tunes,48.61
Tavira,42.63
Cachopo,23.84
Santa Catarina da Fonte do Bispo,36.56
Santa Luzia,39.24
União das freguesias de Conceição e Cabanas de Tavira,39.92
União das freguesias de Luz de Tavira e Santo Estêvão,43.27
União das freguesias de Tavira (Santa Maria e Santiago),44.84
Vila do Bispo,42.68
Barão de São Miguel,39.18
Budens,36.31
Sagres,46.67
Vila do Bispo e Raposeira,46.93
Vila Real de Santo António,42.41
Monte Gordo,37.81
Vila Nova de Cacela,40.70
Vila Real de Santo António,44.25
Região Autónoma dos Açores,52.21
Região Autónoma dos Açores,52.21
Região Autónoma dos Açores,52.21
Angra do Heroísmo,52.70
Altares,56.62
Angra (Nossa Senhora da Conceição),46.59
Angra (Santa Luzia),44.46
Angra (São Pedro),51.19
Angra (Sé),51.17
Cinco Ribeiras,50.33
Doze Ribeiras,52.11
Feteira,61.16
Porto Judeu,54.22
Posto Santo,63.04
Raminho,47.04
Ribeirinha,50.91
Santa Bárbara,52.45
São Bartolomeu de Regatos,60.60
São Bento,54.86
São Mateus da Calheta,58.46
Serreta,50
Terra Chã,49.26
Vila de São Sebastião,53.02
Calheta,51.73
Calheta,55.19
Norte Pequeno,51.10
Ribeira Seca,50.88
Santo Antão,47.99
Topo (Nossa Senhora do Rosário),49.23
Corvo,65.37
Corvo,65.37
Horta,55.52
Capelo,51.52
Castelo Branco,52.57
Cedros,50.07
Feteira,61.45
Flamengos,60.88
Horta (Angústias),54.44
Horta (Conceição),56.17
Horta (Matriz),51.69
Pedro Miguel,54.35
Praia do Almoxarife,61.54
Praia do Norte,55.51
Ribeirinha,52.34
Salão,55.35
Lagoa,52.51
Água de Pau,48.11
Cabouco,57.65
Lagoa (Nossa Senhora do Rosário),53
Lagoa (Santa Cruz),52.59
Ribeira Chã,51.88
Lajes das Flores,55.08
Fajã Grande,54.64
Fajãzinha,48.48
Fazenda,54.22
Lajedo,55.71
Lajes das Flores,55.25
Lomba,55.81
Mosteiro,78.95
Lajes do Pico,49.29
Calheta de Nesquim,46.21
Lajes do Pico,51.95
Piedade,48.72
Ribeiras,46.72
Ribeirinha,49.17
São João,46.96
Madalena,53.99
Bandeiras,56.66
Candelária,48.18
Criação Velha,57.82
Madalena,55.78
São Caetano,50.67
São Mateus,48.39
Nordeste,46.26
Achada,44.54
Achadinha,38.69
Algarvia,52.53
Lomba da Fazenda,48.25
Nordeste,47.07
Salga,45.81
Santana,44.75
Santo António de Nordestinho,48.21
São Pedro de Nordestinho,48.56
Ponta Delgada,53.16
Ajuda da Bretanha,50.28
Arrifes,53.06
Candelária,55.62
Capelas,55.02
Covoada,53.57
Fajã de Baixo,54.12
Fajã de Cima,51.72
Fenais da Luz,54.10
Feteiras,53.22
Ginetes,47.39
Mosteiros,44.81
Pilar da Bretanha,45.35
Ponta Delgada (São José),51.21
Ponta Delgada (São Pedro),54.79
Ponta Delgada (São Sebastião),51.70
Relva,55.47
Remédios,53.87
Rosto do Cão (Livramento),54.34
Rosto do Cão (São Roque),49.36
Santa Bárbara,55.67
Santa Clara,51.77
Santo António,55.01
São Vicente Ferreira,60
Sete Cidades,57.50
Povoação,48.09
Água Retorta,45.45
Faial da Terra,40.39
Furnas,52.21
Nossa Senhora dos Remédios,48.71
Povoação,48.67
Ribeira Quente,42.71
Ribeira Grande,50.72
Calhetas,56.32
Fenais da Ajuda,39.92
Lomba da Maia,48.83
Lomba de São Pedro,32.73
Maia,49.23
Pico da Pedra,59.86
Porto Formoso,38.65
Rabo de Peixe,47.11
Ribeira Grande (Conceição),59.13
Ribeira Grande (Matriz),50.37
Ribeira Seca,51.46
Ribeirinha,49.63
Santa Bárbara,56.53
São Brás,55.78
Santa Cruz da Graciosa,52.67
Guadalupe,52.36
Luz,48.24
Santa Cruz da Graciosa,57.39
São Mateus,45.81
Santa Cruz das Flores,57.52
Caveira,56.45
Cedros,51
Ponta Delgada,49.37
Santa Cruz das Flores,59.51
São Roque do Pico,51.38
Prainha,44.47
Santa Luzia,48.63
Santo Amaro,40.61
Santo António,57.58
São Roque do Pico,53.86
Velas,53.75
Manadas (Santa Bárbara),50.32
Norte Grande (Neves),51.46
Rosais,53.58
Santo Amaro,52.70
Urzelina (São Mateus),53.42
Velas (São Jorge),55.75
Vila da Praia da Vitória,50.81
Agualva,46.58
Biscoitos,51.05
Cabo da Praia,53.91
Fonte do Bastardo,51.53
Fontinhas,54.38
Lajes,51.85
Porto Martins,55.11
Praia da Vitória (Santa Cruz),48.16
Quatro Ribeiras,53.79
São Brás,55.67
Vila Nova,49.40
Vila do Porto,55.22
Almagreira,57.93
Santa Bárbara,50.63
Santo Espírito,48.95
São Pedro,55.75
Vila do Porto,56.37
Vila Franca do Campo,47.37
Água de Alto,46.93
Ponta Garça,46.96
Ribeira das Tainhas,44.31
Ribeira Seca,50.83
Vila Franca do Campo (São Miguel),45.14
Vila Franca do Campo (São Pedro),51.99
Região Autónoma da Madeira,46
Região Autónoma da Madeira,46
Região Autónoma da Madeira,46
Calheta,38.89
Arco da Calheta,40.65
Calheta,43.70
Estreito da Calheta,38.09
Fajã da Ovelha,33.93
Jardim do Mar,33.82
Paul do Mar,28.30
Ponta do Pargo,32.09
Prazeres,36.87
Câmara de Lobos,45.79
Câmara de Lobos,47.43
Curral das Freiras,38.28
Estreito de Câmara de Lobos,46.12
Jardim da Serra,39.36
Quinta Grande,46.48
Funchal,46.37
Funchal (Santa Luzia),43.69
Funchal (Santa Maria Maior),43.32
Funchal (São Pedro),45.88
Funchal (Sé),42.64
Imaculado Coração de Maria,42.89
Monte,43.71
Santo António,48.61
São Gonçalo,40.46
São Martinho,49.55
São Roque,45.76
Machico,43.53
Água de Pena,47.18
Caniçal,43.82
Machico,42.76
Porto da Cruz,40.41
Santo António da Serra,46.44
Ponta do Sol,42.76
Canhas,42.26
Madalena do Mar,45.28
Ponta do Sol,42.87
Porto Moniz,39.20
Achadas da Cruz,37.07
Porto Moniz,39.30
Ribeira da Janela,29.84
Seixal,42.67
Porto Santo,47.73
Porto Santo,47.73
Ribeira Brava,41.15
Campanário,42.32
Ribeira Brava,41.41
Serra de Água,33.33
Tabua,42.02
Santa Cruz,52.70
Camacha,44.44
Caniço,57.01
Gaula,49.48
Santa Cruz,48.63
Santo António da Serra,45.27
Santana,38.96
Arco de São Jorge,35.91
Faial,35.11
Ilha,39.78
Santana,43.23
São Jorge,33.24
São Roque do Faial,40.29
São Vicente,38.62
Boa Ventura,31.99
Ponta Delgada,40.68
São Vicente,40.38
