Local de residência (à data dos Censos 2021),Idade média (Ano) da população residente por Local de residência (à data dos Censos 2021); Decenal
"União das freguesias de Bustos, Troviscal e Mamarrosa",47.68
Ovar,45
Cortegaça,45.77
Esmoriz,43.76
Maceda,46.47
"União das freguesias de Ovar, São João, Arada e São Vicente de Pereira Jusã",45.30
Válega,44.71
Sever do Vouga,49.30
Couto de Esteves,56.15
Pessegueiro do Vouga,48.59
Rocas do Vouga,52.81
Sever do Vouga,45.76
Talhadas,48.53
União das freguesias de Cedrim e Paradela,48.42
União das freguesias de Silva Escura e Dornelas,50.69
Vagos,45.48
Calvão,43.96
Gafanha da Boa Hora,42.70
Ouca,49.35
Santo André de Vagos,45.61
Sosa,46.96
União das freguesias de Fonte de Angeão e Covão do Lobo,48.20
União das freguesias de Ponte de Vagos e Santa Catarina,45.09
União das freguesias de Vagos e Santo António,44.80
Região de Coimbra,48.07
Arganil,51.35
Arganil,47.36
Benfeita,55.87
Celavisa,58.45
Folques,57.24
Piódão,55.63
Pomares,55.09
Pombeiro da Beira,55.50
São Martinho da Cortiça,49.63
Sarzedo,49.94
Secarias,50.28
União das freguesias de Cepos e Teixeira,62.94
União das freguesias de Cerdeira e Moura da Serra,59.71
União das freguesias de Côja e Barril de Alva,52.42
União das freguesias de Vila Cova de Alva e Anseriz,52.83
Cantanhede,49
Ançã,47
Cadima,48.47
Cordinhã,49.73
Febres,51.05
Murtede,52.23
Ourentã,50.06
Sanguinheira,48.38
São Caetano,52.03
Tocha,49.45
União das freguesias de Cantanhede e Pocariça,44.84
União das freguesias de Covões e Camarneira,54.47
União das freguesias de Portunhos e Outil,51.06
União das freguesias de Sepins e Bolho,52.39
União das freguesias de Vilamar e Corticeiro de Cima,51.52
Coimbra,46.63
Almalaguês,50.19
Brasfemes,46.05
Ceira,50.51
Cernache,47.78
Santo António dos Olivais,45.84
São João do Campo,48.54
São Silvestre,47.41
Torres do Mondego,51.73
União das freguesias de Antuzede e Vil de Matos,47.78
União das freguesias de Assafarge e Antanhol,46.47
"União das freguesias de Coimbra (Sé Nova, Santa Cruz, Almedina e São Bartolomeu)",46.65
União das freguesias de Eiras e São Paulo de Frades,45.03
União das freguesias de Santa Clara e Castelo Viegas,45.47
União das freguesias de São Martinho de Árvore e Lamarosa,47.77
União das freguesias de São Martinho do Bispo e Ribeira de Frades,47
União das freguesias de Souselas e Botão,48.63
"União das freguesias de Taveiro, Ameal e Arzila",48.34
União das freguesias de Trouxemil e Torre de Vilela,47.97
Condeixa-a-Nova,45.43
Anobra,46.13
Ega,49.59
Furadouro,51.11
União das freguesias de Condeixa-a-Velha e Condeixa-a-Nova,43.59
União das freguesias de Sebal e Belide,44
União das freguesias de Vila Seca e Bem da Fé,50.96
Zambujal,52.28
Figueira da Foz,48.49
Alhadas,49.42
Alqueidão,53.02
Bom Sucesso,52.16
Buarcos e São Julião,49.27
Ferreira-a-Nova,51.15
Lavos,50.10
Maiorca,50.47
Marinha das Ondas,45.41
Moinhos da Gândara,51.39
Paião,52.01
Quiaios,49.13
São Pedro,47.25
Tavarede,43.27
Vila Verde,49.71
Góis,53.84
Alvares,60.25
Góis,50.51
União das freguesias de Cadafaz e Colmeal,62.31
Vila Nova do Ceira,52.89
Lousã,45.42
Gândaras,48.20
Serpins,47.21
União das freguesias de Foz de Arouce e Casal de Ermio,47.02
União das freguesias de Lousã e Vilarinho,44.79
Mealhada,47.49
Barcouço,48.01
Casal Comba,48.48
Luso,49.65
Pampilhosa,46.48
"União das freguesias da Mealhada, Ventosa do Bairro e Antes",45.99
Vacariça,50.08
Mira,49.11
Carapelhos,48.18
Mira,50.11
Praia de Mira,46.18
Seixo,51.59
Miranda do Corvo,48.33
Lamas,49.69
Miranda do Corvo,47.08
União das freguesias de Semide e Rio Vide,49.90
Vila Nova,51.69
Montemor-o-Velho,47.26
Arazede,49.46
Carapinheira,49.43
Ereira,52.11
Liceia,49.22
Meãs do Campo,46.55
Pereira,41.09
Santo Varão,43.64
Seixo de Gatões,47.55
Tentúgal,48.09
"União das freguesias de Abrunheira, Verride e Vila Nova da Barca",54.58
União das freguesias de Montemor-o-Velho e Gatões,46.21
Mortágua,51.63
Cercosa,52.27
Espinho,54.99
Marmeleira,56.81
Pala,52.45
Sobral,51.48
Trezói,57.76
"União das freguesias de Mortágua, Vale de Remígio, Cortegaça e Almaça",49.40
Oliveira do Hospital,48.71
Aldeia das Dez,56.66
Alvoco das Várzeas,60.05
Avô,55.17
Bobadela,47.40
Lagares,47.71
Lourosa,49.60
Meruge,49.78
Nogueira do Cravo,48.33
São Gião,58.12
Seixo da Beira,49.64
Travanca de Lagos,49.66
União das freguesias de Ervedal e Vila Franca da Beira,52.68
União das freguesias de Lagos da Beira e Lajeosa,49.32
União das freguesias de Oliveira do Hospital e São Paio de Gramaços,44.38
União das freguesias de Penalva de Alva e São Sebastião da Feira,53.20
União das freguesias de Santa Ovaia e Vila Pouca da Beira,50.47
Pampilhosa da Serra,58.01
Cabril,59.43
Dornelas do Zêzere,58.99
Fajão-Vidual,59.10
Janeiro de Baixo,59.46
Pampilhosa da Serra,52.44
Pessegueiro,65.06
Portela do Fojo-Machio,64.88
Unhais-o-Velho,59.80
Penacova,50.93
Carvalho,53.98
Figueira de Lorvão,49.22
Lorvão,50.85
Penacova,50.32
Sazes do Lorvão,49.97
União das freguesias de Friúmes e Paradela,52.75
União das freguesias de Oliveira do Mondego e Travanca do Mondego,50.24
União das freguesias de São Pedro de Alva e São Paio de Mondego,53.31
Penela,50.57
Cumeeira,51.78
Espinhal,50.74
Podentes,50.17
"União das freguesias de São Miguel, Santa Eufémia e Rabaçal",50.29
Soure,51.01
Alfarelos,49.58
Figueiró do Campo,52.03
Granja do Ulmeiro,46.36
Samuel,54.64
Soure,49.88
Tapéus,53.66
União das freguesias de Degracias e Pombalinho,55.68
União das freguesias de Gesteira e Brunhós,54.65
Vila Nova de Anços,52.19
Vinha da Rainha,53.13
Tábua,49.06
Candosa,53.95
Carapinha,51.36
Midões,50.47
Mouronho,50.91
Póvoa de Midões,51.31
São João da Boa Vista,49.15
Tábua,44.95
União das freguesias de Ázere e Covelo,51.10
União das freguesias de Covas e Vila Nova de Oliveirinha,50.95
União das freguesias de Espariz e Sinde,50.29
União das freguesias de Pinheiro de Coja e Meda de Mouros,53.22
Vila Nova de Poiares,47.54
Arrifana,51.26
Lavegadas,53.74
Poiares (Santo André),45.93
São Miguel de Poiares,48.34
Região de Leiria,46.36
Alvaiázere,53.24
Almoster,56.69
Alvaiázere,50.05
Maçãs de Dona Maria,55.18
Pelmá,58.71
Pussos São Pedro,51.67
Ansião,50.61
Alvorge,55.38
Ansião,46.62
Avelar,48.83
Chão de Couce,52.27
Pousaflores,55.33
Santiago da Guarda,52.86
Batalha,44.92
Batalha,43.26
Golpilheira,45.22
Reguengo do Fetal,50.67
São Mamede,45.87
Castanheira de Pêra,53.91
União das freguesias de Castanheira de Pêra e Coentral,53.91
Figueiró dos Vinhos,52.50
Aguda,52.52
Arega,54.44
Campelo,55.46
União das freguesias de Figueiró dos Vinhos e Bairradas,51.93
Leiria,44.76
Amor,47.12
Arrabal,48.53
Bajouca,46.22
Bidoeira de Cima,45.65
Caranguejeira,46.83
Coimbrão,50.94
Maceira,47.71
Milagres,46.40
Regueira de Pontes,48.32
União das freguesias de Colmeias e Memória,50.27
"União das freguesias de Leiria, Pousos, Barreira e Cortes",42.58
União das freguesias de Marrazes e Barosa,42.44
União das freguesias de Monte Real e Carvide,47.45
União das freguesias de Monte Redondo e Carreira,46.66
União das freguesias de Parceiros e Azoia,42.51
União das freguesias de Santa Catarina da Serra e Chainça,46.98
União das freguesias de Santa Eufémia e Boa Vista,46.84
União das freguesias de Souto da Carpalhosa e Ortigosa,45.74
Marinha Grande,45.32
Marinha Grande,44.79
Moita,47.30
Vieira de Leiria,47.99
Pedrógão Grande,52.93
Graça,56.81
Pedrógão Grande,51.73
Vila Facaia,53.60
Pombal,48.31
Abiul,55.24
Almagreira,51.34
Carnide,49.14
Carriço,48.27
Louriçal,48.73
Meirinhas,45.25
Pelariga,49.78
Pombal,44.72
Redinha,50.83
"União das freguesias de Guia, Ilha e Mata Mourisca",48.09
União das freguesias de Santiago e São Simão de Litém e Albergaria dos Doze,53.32
Vermoil,49.17
Vila Cã,53.24
Porto de Mós,46.43
Alqueidão da Serra,49.79
Calvaria de Cima,43.66
Juncal,46.56
Mira de Aire,47.83
Pedreiras,45.95
Porto de Mós - São João Baptista e São Pedro,45.20
São Bento,49.23
Serro Ventoso,46.84
União das freguesias de Alvados e Alcaria,52.39
União das freguesias de Arrimal e Mendiga,45.19
Viseu Dão Lafões,48.03
Aguiar da Beira,53.93
Carapito,48.36
Cortiçada,58.93
Dornelas,58.53
Eirado,53.48
Forninhos,57.62
Pena Verde,54.20
Pinheiro,57.62
União das freguesias de Aguiar da Beira e Coruche,51.40
União das freguesias de Sequeiros e Gradiz,53.84
União das freguesias de Souto de Aguiar da Beira e Valverde,55.48
Carregal do Sal,49.42
Beijós,50.44
Cabanas de Viriato,52.41
Oliveira do Conde,49.61
Parada,52.07
Carregal do Sal,47.03
Castro Daire,50.65
Almofala,54.25
Cabril,55.60
Castro Daire,46.27
Cujó,56.86
Gosende,53.56
Mões,49.63
Moledo,56.67
Monteiras,50.72
Pepim,55.92
Pinheiro,57.77
São Joaninho,51.96
"União das freguesias de Mamouros, Alva e Ribolhos",50.72
União das freguesias de Mezio e Moura Morta,45.86
União das freguesias de Parada de Ester e Ester,57.31
União das freguesias de Picão e Ermida,56.90
União das freguesias de Reriz e Gafanhão,48.90
Mangualde,48.65
Abrunhosa-a-Velha,51.83
Alcafache,52.15
Cunha Baixa,52.54
Espinho,50.24
Fornos de Maceira Dão,49.42
Freixiosa,56.22
Quintela de Azurara,48.53
São João da Fresta,53.69
"União das freguesias de Mangualde, Mesquitela e Cunha Alta",46.72
União das freguesias de Moimenta de Maceira Dão e Lobelhe do Mato,48.83
União das freguesias de Santiago de Cassurrães e Póvoa de Cervães,51.43
"União das freguesias de Tavares (Chãs, Várzea e Travanca)",51.12
Nelas,48.94
Canas de Senhorim,48.67
Lapa do Lobo,53.81
Nelas,45.34
Senhorim,52.96
União das freguesias de Carvalhal Redondo e Aguieira,50.76
União das freguesias de Santar e Moreira,53.72
Vilar Seco,50.32
Oliveira de Frades,46.20
Arcozelo das Maias,48.76
Pinheiro,47.59
Ribeiradio,50.27
São João da Serra,54.33
São Vicente de Lafões,44.39
União das freguesias de Arca e Varzielas,53.20
União das freguesias de Destriz e Reigoso,50.91
"União das freguesias de Oliveira de Frades, Souto de Lafões e Sejães",42.01
Penalva do Castelo,51.41
Castelo de Penalva,57.48
Esmolfe,51.22
Germil,50.83
Ínsua,48.65
Lusinde,53.94
Pindo,49.41
Real,52.63
Sezures,49.71
Trancozelos,50.98
União das freguesias de Antas e Matela,58.93
União das freguesias de Vila Cova do Covelo/Mareco,58.61
Santa Comba Dão,50.06
Pinheiro de Ázere,52.05
São Joaninho,53.61
São João de Areias,52
União das freguesias de Ovoa e Vimieiro,50.69
União das freguesias de Santa Comba Dão e Couto do Mosteiro,47.68
União das freguesias de Treixedo e Nagozela,50.86
São Pedro do Sul,50.52
Bordonhos,45.36
Figueiredo de Alva,50.83
Manhouce,57.77
Pindelo dos Milagres,55.12
Pinho,52.56
São Félix,51.74
Serrazes,51.04
Sul,58.05
União das freguesias de Carvalhais e Candal,49.75
União das freguesias de Santa Cruz da Trapa e São Cristóvão de Lafões,47.52
União das freguesias de São Martinho das Moitas e Covas do Rio,61.23
"União das freguesias de São Pedro do Sul, Várzea e Baiões",47.52
Valadares,55.91
Vila Maior,53.97
Sátão,49.28
Avelal,56.72
Ferreira de Aves,53.41
Mioma,45.83
Rio de Moinhos,56.60
São Miguel de Vila Boa,47.82
Sátão,44.43
Silvã de Cima,50.46
União das freguesias de Águas Boas e Forles,56.48
"União das freguesias de Romãs, Decermilo e Vila Longa",54.26
Tondela,50.14
Campo de Besteiros,47.34
Canas de Santa Maria,51.36
Castelões,52.91
Dardavaz,51.85
Ferreirós do Dão,54.18
Guardão,57.34
Lajeosa do Dão,52.62
Lobão da Beira,50.19
Molelos,49.63
Parada de Gonta,53
Santiago de Besteiros,49.24
Tonda,49.01
União das freguesias de Barreiro de Besteiros e Tourigo,52.92
União das freguesias de Caparrosa e Silvares,52.50
União das freguesias de Mouraz e Vila Nova da Rainha,49.58
União das freguesias de São João do Monte e Mosteirinho,56.39
União das freguesias de São Miguel do Outeiro e Sabugosa,51.44
União das freguesias de Tondela e Nandufe,44.79
União das freguesias de Vilar de Besteiros e Mosteiro de Fráguas,50.64
Vila Nova de Paiva,50.61
Pendilhe,51.92
Queiriga,58.42
Touro,51.96
"União das freguesias de Vila Nova de Paiva, Alhais e Fráguas",47.82
Vila Cova à Coelheira,50.03
Viseu,45.34
Abraveses,43.84
Bodiosa,48.59
Calde,55.62
Campo,44.69
Cavernães,49.66
Cota,60.07
Fragosela,44.93
Lordosa,53.90
Mundão,40.67
Orgens,45.33
Povolide,50.06
Ranhados,41.67
Ribafeita,55.89
Rio de Loba,44.22
Santos Evos,49.79
São João de Lourosa,43.04
São Pedro de France,52.66
Silgueiros,50.56
União das freguesias de Barreiros e Cepões,53.69
"União das freguesias de Boa Aldeia, Farminhão e Torredeita",52.54
Coutos de Viseu,50.60
Freguesia de Fail e Vila Chã de Sá,43.57
Repeses e São Salvador,41.67
São Cipriano e Vil de Souto,47.14
Viseu,43.64
Vouzela,49.83
Alcofra,51.77
Campia,49.88
Fornelo do Monte,51.41
Queirã,51.40
São Miguel do Mato,51.78
União das freguesias de Cambra e Carvalhal de Vermilhas,48.70
União das freguesias de Fataunços e Figueiredo das Donas,49.31
União das freguesias de Vouzela e Paços de Vilharigues,47.31
Ventosa,51.58
Beira Baixa,51.18
Castelo Branco,48.45
Alcains,48.37
Almaceda,65.25
Benquerenças,53.88
Castelo Branco,45.04
Lardosa,53.53
Louriçal do Campo,57.51
Malpica do Tejo,62.44
Monforte da Beira,52.75
Salgueiro do Campo,56.75
Santo André das Tojeiras,68.73
São Vicente da Beira,55.74
Sarzedas,63.48
Tinalhas,55.29
União das freguesias de Cebolais de Cima e Retaxo,56.68
União das freguesias de Escalos de Baixo e Mata,55.42
União das freguesias de Escalos de Cima e Lousa,55.60
União das freguesias de Freixial e Juncal do Campo,59.40
União das freguesias de Ninho do Açor e Sobral do Campo,57.98
União das freguesias de Póvoa de Rio de Moinhos e Cafede,51.47
Idanha-a-Nova,55.73
Aldeia de Santa Margarida,59.83
Ladoeiro,53.43
Medelim,60.96
Oledo,58.96
Penha Garcia,63.02
Proença-a-Velha,64.38
Rosmaninhal,61.69
São Miguel de Acha,59.38
Toulões,65.37
União das freguesias de Idanha-a-Nova e Alcafozes,49.23
União das freguesias de Monfortinho e Salvaterra do Extremo,56.93
União das freguesias de Monsanto e Idanha-a-Velha,62.36
União das freguesias de Zebreira e Segura,52.74
Oleiros,58.04
Álvaro,60.12
Cambas,66.10
Estreito-Vilar Barroco,61.41
Isna,65.67
Madeirã,58.57
Mosteiro,60.11
Oleiros-Amieira,52.42
Orvalho,63.06
Sarnadas de São Simão,62.81
Sobral,62.26
Penamacor,57.73
Aranhas,54.64
Benquerença,61.05
Meimão,65.09
Meimoa,59.75
Penamacor,53.19
Salvador,54.26
"União das freguesias de Aldeia do Bispo, Águas e Aldeia de João Pires",59.66
União das freguesias de Pedrógão de São Pedro e Bemposta,59.35
Vale da Senhora da Póvoa,67.40
Proença-a-Nova,54.20
Montes da Senhora,59.83
São Pedro do Esteval,59.42
União das freguesias de Proença-a-Nova e Peral,51.01
União das freguesias de Sobreira Formosa e Alvito da Beira,59.52
Vila Velha de Ródão,56.70
Fratel,63.41
Perais,59.96
Sarnadas de Ródão,57.61
Vila Velha de Ródão,53.67
Médio Tejo,48.74
Abrantes,50.31
Bemposta,54.85
Carvalhal,57.92
Fontes,59.81
Martinchel,55.39
Mouriscas,55.39
Pego,52.64
Rio de Moinhos,54.09
Tramagal,53.99
União das freguesias de Abrantes (São Vicente e São João) e Alferrarede,46.16
União das freguesias de Aldeia do Mato e Souto,58.56
União das freguesias de Alvega e Concavada,52.24
União das freguesias de São Facundo e Vale das Mós,55.03
União das freguesias de São Miguel do Rio Torto e Rossio ao Sul do Tejo,52.18
Alcanena,48.29
Bugalhos,48.49
Minde,48.81
Moitas Venda,48.70
Monsanto,51.23
Serra de Santo António,48.66
União das freguesias de Alcanena e Vila Moreira,46.33
"União das freguesias de Malhou, Louriceira e Espinheiro",51.42
Constância,47.09
Constância,46.11
Montalvo,44.51
Santa Margarida da Coutada,49.67
Entroncamento,44.23
Nossa Senhora de Fátima,42.54
São João Baptista,47.21
Ferreira do Zêzere,50.26
Águas Belas,47.23
Beco,51.72
Chãos,54.33
Ferreira do Zêzere,46.01
Igreja Nova do Sobral,55.29
Nossa Senhora do Pranto,50.63
União das freguesias de Areias e Pias,54.77
Mação,56.20
Amêndoa,61.30
Cardigos,59.07
Carvoeiro,59.15
Envendos,62.31
Ortiga,59.97
"União das freguesias de Mação, Penhascoso e Aboboreira",52.06
Ourém,47.25
Alburitel,50.64
Atouguia,46.88
Caxarias,46.88
Espite,53.41
Fátima,45.47
Nossa Senhora da Piedade,43.77
Nossa Senhora das Misericórdias,47.02
Seiça,51.21
"União das freguesias de Freixianda, Ribeira do Fárrio e Formigais",50.15
União das freguesias de Gondemaria e Olival,48.59
União das freguesias de Matas e Cercal,48.24
União das freguesias de Rio de Couros e Casal dos Bernardos,52.15
Urqueira,53.10
Sardoal,51.50
Alcaravela,52.90
Santiago de Montalegre,54.32
Sardoal,50.38
Valhascos,53.38
Sertã,49.93
Cabeçudo,48.97
Carvalhal,48.50
Castelo,52.19
Pedrógão Pequeno,54.10
Sertã,45.78
Troviscal,56.58
"União das freguesias de Cernache do Bonjardim, Nesperal e Palhais",51.13
União das freguesias de Cumeada e Marmeleiro,57.15
União das freguesias de Ermida e Figueiredo,62.50
Várzea dos Cavaleiros,56.24
Tomar,49.77
Asseiceira,51.28
Carregueiros,48.41
Olalhas,53.32
Paialvo,51.85
Sabacheira,54.52
São Pedro de Tomar,50.05
União das freguesias de Além da Ribeira e Pedreira,54
União das freguesias de Casais e Alviobeira,50.53
União das freguesias de Madalena e Beselga,50.17
União das freguesias de Serra e Junceira,52.57
União das freguesias de Tomar (São João Baptista) e Santa Maria dos Olivais,48.03
Torres Novas,48.17
Assentiz,51.01
Chancelaria,52.68
Meia Via,46.78
Pedrógão,50.55
Riachos,48.11
"União das freguesias de Brogueira, Parceiros de Igreja e Alcorochel",50.29
União das freguesias de Olaia e Paço,50.31
"União das freguesias de Torres Novas (Santa Maria, Salvador e Santiago)",46.17
"União das freguesias de Torres Novas (São Pedro), Lapas e Ribeira Branca",46.75
Zibreira,50.61
Vila de Rei,54.50
Fundada,59.89
São João do Peso,68.25
Vila de Rei,52.66
Vila Nova da Barquinha,47.50
Atalaia,46.43
Praia do Ribatejo,52.33
Tancos,50.93
Vila Nova da Barquinha,45.92
Beiras e Serra da Estrela,51.04
Almeida,57.50
Almeida,53.28
Castelo Bom,65.78
Freineda,63.08
Freixo,54.76
Malhada Sorda,63.17
Nave de Haver,68.58
São Pedro de Rio Seco,61.36
"União das freguesias de Amoreira, Parada e Cabreira",56.75
"União das freguesias de Azinhal, Peva e Valverde",68.66
"União das freguesias de Castelo Mendo, Ade, Monteperobolso e Mesquitela",65.47
União das freguesias de Junça e Naves,58.68
"União das freguesias de Leomil, Mido, Senouras e Aldeia Nova",64.90
União das freguesias de Malpartida e Vale de Coelha,62.21
União das freguesias de Miuzela e Porto de Ovelha,58.89
Vale da Mula,56.49
Vilar Formoso,52.35
Belmonte,50.96
Caria,52.10
Inguias,53.23
Maçainhas,55.56
União das freguesias de Belmonte e Colmeal da Torre,49.60
Celorico da Beira,52.13
Baraçal,52.18
Carrapichana,55.17
Casas do Soeiro,48.94
Forno Telheiro,52.34
Lajeosa do Mondego,53.02
Linhares,54.96
Maçal do Chão,49.22
Mesquitela,52.01
Minhocal,54.87
Prados,61.42
Ratoeira,54.34
União das freguesias de Açores e Velosa,50.01
União das freguesias de Celorico (São Pedro e Santa Maria) e Vila Boa do Mondego,49.02
"União das freguesias de Cortiçô da Serra, Vide entre Vinhas e Salgueirais",57.79
União das freguesias de Rapa e Cadafaz,60.13
Vale de Azares,55.61
Covilhã,49.24
Aldeia de São Francisco de Assis,54.96
Boidobra,43.95
Cortes do Meio,53.02
Dominguizo,48.58
Erada,56.81
Ferro,48.43
Orjais,51.82
Paul,53.25
Peraboa,53.33
São Jorge da Beira,62.02
Sobral de São Miguel,64.29
Tortosendo,46.16
Unhais da Serra,54.08
União das freguesias de Barco e Coutada,56.31
União das freguesias de Cantar-Galo e Vila do Carvalho,53.05
União das freguesias de Casegas e Ourondo,60.27
União das freguesias de Covilhã e Canhoso,47.37
União das freguesias de Peso e Vales do Rio,51.03
União das freguesias de Teixoso e Sarzedo,49.64
União das freguesias de Vale Formoso e Aldeia do Souto,51.97
Verdelhos,55.37
Figueira de Castelo Rodrigo,53.16
Castelo Rodrigo,57.41
Escalhão,57.62
Figueira de Castelo Rodrigo,46.08
Mata de Lobos,59.95
"União das freguesias de Algodres, Vale de Afonsinho e Vilar de Amargo",62.91
União das freguesias de Almofala e Escarigo,62.84
União das freguesias de Cinco Vilas e Reigada,56.11
"União das freguesias de Freixeda do Torrão, Quintã de Pêro Martins e Penha de Águia",58.65
União das freguesias do Colmeal e Vilar Torpim,51.90
Vermiosa,49.23
Fornos de Algodres,52.92
Algodres,53.29
Casal Vasco,59.97
Figueiró da Granja,53.02
Fornos de Algodres,49.36
Infias,44.85
Maceira,58.51
Matança,58.20
Muxagata,50.22
Queiriz,54.88
União das freguesias de Cortiçô e Vila Chã,54.72
"União das freguesias de Juncais, Vila Ruiva e Vila Soeiro do Chão",56.08
União das freguesias de Sobral Pichorro e Fuinhas,58.03
Fundão,50.68
Alcaide,54.18
Alcaria,50.07
Alcongosta,49.12
Alpedrinha,51.58
Barroca,59.83
Bogas de Cima,57.49
Capinha,54.26
Castelejo,54.69
Castelo Novo,49.92
Enxames,55.89
Fatela,49.37
Lavacolhos,58.83
Orca,60.80
Pêro Viseu,48.28
Silvares,52.16
Soalheira,55.45
Souto da Casa,51.76
Telhado,50.41
Três Povos,61.45
"União das freguesias de Fundão, Valverde, Donas, Aldeia de Joanes e Aldeia Nova do Cabo",46.86
União das freguesias de Janeiro de Cima e Bogas de Baixo,61.58
União das freguesias de Póvoa de Atalaia e Atalaia do Campo,55.42
União das freguesias de Vale de Prazeres e Mata da Rainha,56.42
Gouveia,53.52
Arcozelo,53.70
Cativelos,60.23
Folgosinho,55.57
Gouveia,52.77
Nespereira,52.58
Paços da Serra,50.07
Ribamondego,53.73
São Paio,55.88
União das freguesias de Aldeias e Mangualde da Serra,53.05
União das freguesias de Figueiró da Serra e Freixo da Serra,57.05
União das freguesias de Melo e Nabais,57.26
União das freguesias de Moimenta da Serra e Vinhó,52.21
União das freguesias de Rio Torto e Lagarinhos,52.77
Vila Cortês da Serra,54.43
Vila Franca da Serra,53.85
Vila Nova de Tazem,50.41
Guarda,47.35
Adão,55.67
Aldeia do Bispo,48.14
Aldeia Viçosa,61.21
Alvendre,49.24
Arrifana,47.50
Avelãs da Ribeira,57.53
Benespera,59.44
Casal de Cinza,50.25
Castanheira,58.70
Cavadoude,48.34
Codesseiro,51.84
Faia,60.74
Famalicão,54.25
Fernão Joanes,64.38
Gonçalo,55.68
Gonçalo Bocas,50.19
Guarda,43.84
Jarmelo São Miguel,58.52
Jarmelo São Pedro,56.99
João Antão,52.01
Maçainhas,49.39
Marmeleiro,62.20
Meios,52.88
Panoias de Cima,49.24
Pega,62.13
Pêra do Moço,50.72
Porto da Carne,58.31
Ramela,54.04
Santana da Azinha,57.80
Sobral da Serra,53.89
União de freguesias de Avelãs de Ambom e Rocamondo,48.97
União de freguesias de Corujeira e Trinta,55.21
"União de freguesias de Mizarela, Pêro Soares e Vila Soeiro",59.01
União de freguesias de Pousade e Albardo,60.14
União de freguesias de Rochoso e Monte Margarida,68.48
Vale de Estrela,51.36
Valhelhas,52.47
Vela,61.88
Videmonte,56.07
Vila Cortês do Mondego,51.61
Vila Fernando,50.09
Vila Franca do Deão,49.68
Vila Garcia,46.04
Manteigas,53.57
Manteigas (Santa Maria),50.45
Manteigas (São Pedro),54.98
Sameiro,54.30
Vale de Amoreira,63.54
Mêda,53.86
Aveloso,47.96
Barreira,64.16
Coriscada,66.91
Longroiva,60.89
Marialva,64.21
Poço do Canto,57.14
Rabaçal,54.42
Ranhados,57.94
"Mêda, Outeiro de Gatos e Fonte Longa",49.38
Prova e Casteição,56.86
"União das freguesias de Vale Flor, Carvalhal e Pai Penela",59.64
Pinhel,54.26
Agregação das freguesias Sul de Pinhel,53.44
Alto do Palurdo,58.61
Alverca da Beira/Bouça Cova,58.75
Ervedosa,61.30
Freixedas,55.43
Lamegal,64.45
Lameiras,59.85
Manigoto,65.77
Pala,58.29
Pinhel,47.52
Pínzio,61.12
Souro Pires,52.56
Terras de Massueime,60.83
União das freguesias de Atalaia e Safurdão,64.57
Valbom/Bogalhal,63.53
Vale do Côa,65.97
Vale do Massueime,63.57
Vascoveiro,56.40
Sabugal,57.28
Águas Belas,56.25
Aldeia da Ponte,63.38
Aldeia do Bispo,68.93
Aldeia Velha,62.09
Alfaiates,61.88
Baraçal,51.71
Bendada,60.36
Bismula,62.46
Casteleiro,63.83
Cerdeira,51.70
Fóios,61.37
Malcata,65.02
Nave,60.19
Quadrazais,61.40
Quintas de São Bartolomeu,51.56
Rapoula do Côa,54.49
Rebolosa,61.89
Rendo,52.06
