Local de residência (à data dos Censos 2021),Idade média (Ano) da população residente por Local de residência (à data dos Censos 2021); Decenal
Sortelha,57.41
Souto,54.12
"União das freguesias de Aldeia da Ribeira, Vilar Maior e Badamalos",59.03
União das freguesias de Lajeosa e Forcalhos,62.75
"União das freguesias de Pousafoles do Bispo, Pena Lobo e Lomba",64.70
"União das freguesias de Ruvina, Ruivós e Vale das Éguas",62.65
União das freguesias de Santo Estêvão e Moita,61.12
União das freguesias de Seixo do Côa e Vale Longo,62.41
União das freguesias do Sabugal e Aldeia de Santo António,49.14
Vale de Espinho,65.21
Vila Boa,51.84
Vila do Touro,66.45
Seia,51.71
Alvoco da Serra,61.08
Girabolhos,61.15
Loriga,59.37
Paranhos,53.12
Pinhanços,52.46
Sabugueiro,52.49
Sandomil,55.35
Santa Comba,52.15
Santiago,49.38
Sazes da Beira,64.38
Teixeira,64.53
Travancinha,49.82
União das freguesias de Carragozela e Várzea de Meruge,49.62
União das freguesias de Sameice e Santa Eulália,53
União das freguesias de Santa Marinha e São Martinho,54.07
"União das freguesias de Seia, São Romão e Lapa dos Dinheiros",48.23
União das freguesias de Torrozelo e Folhadosa,56.65
União das freguesias de Tourais e Lajes,50.62
União das freguesias de Vide e Cabeça,61.87
Valezim,57.42
Vila Cova à Coelheira,50.01
Trancoso,52.85
Aldeia Nova,63.20
Castanheira,52.01
Cogula,59.57
Cótimos,60.21
Fiães,54.44
Granja,56.09
Guilheiro,53.80
Moimentinha,54.41
Moreira de Rei,58.82
Palhais,55.79
Póvoa do Concelho,52.79
Reboleiro,63.81
Rio de Mel,54.87
Tamanhos,54.96
União das freguesias de Freches e Torres,53.96
"União das freguesias de Torre do Terrenho, Sebadelhe da Serra e Terrenho",55.53
União das freguesias de Trancoso (São Pedro e Santa Maria) e Souto Maior,47.70
União das freguesias de Vale do Seixo e Vila Garcia,60.72
União das freguesias de Vila Franca das Naves e Feital,50.64
União das freguesias de Vilares e Carnicães,57.02
Valdujo,61.80
Área Metropolitana de Lisboa,43.78
Área Metropolitana de Lisboa,43.78
Alcochete,41.96
Alcochete,42.42
Samouco,42.05
São Francisco,39.51
Almada,45.07
Costa da Caparica,46.28
"União das freguesias de Almada, Cova da Piedade, Pragal e Cacilhas",48.11
União das freguesias de Caparica e Trafaria,43
União das freguesias de Charneca de Caparica e Sobreda,43.46
União das freguesias de Laranjeiro e Feijó,44.26
Amadora,43.74
Águas Livres,44.25
Alfragide,42.53
Encosta do Sol,42.76
Falagueira-Venda Nova,46.07
Mina de Água,42.15
Venteira,45.59
Barreiro,45.68
Santo António da Charneca,43.67
"União das freguesias de Alto do Seixalinho, Santo André e Verderena",46.76
União das freguesias de Barreiro e Lavradio,45.16
União das freguesias de Palhais e Coina,42.96
Cascais,44.56
Alcabideche,43.26
São Domingos de Rana,42.53
União das freguesias de Carcavelos e Parede,46.02
União das freguesias de Cascais e Estoril,46.27
Lisboa,44.79
Ajuda,46.89
Alcântara,45.01
Alvalade,45.25
Areeiro,45.02
Arroios,43.29
Avenidas Novas,44.69
Beato,46.37
Belém,45.81
Benfica,47.82
Campo de Ourique,44.89
Campolide,45.70
Carnide,44.92
Estrela,42.96
Lumiar,43.30
Marvila,45.22
Misericórdia,45.96
Olivais,47.41
Parque das Nações,40.44
Penha de França,45.03
Santa Clara,39.45
Santa Maria Maior,44.22
Santo António,44.41
São Domingos de Benfica,46.22
São Vicente,45.48
Loures,43.63
Bucelas,46.53
Fanhões,44.87
Loures,42.68
Lousa,46.14
"União das freguesias de Camarate, Unhos e Apelação",42.14
União das freguesias de Moscavide e Portela,48.20
União das freguesias de Sacavém e Prior Velho,42.35
"União das freguesias de Santa Iria de Azoia, São João da Talha e Bobadela",44.90
União das freguesias de Santo Antão e São Julião do Tojal,44.73
União das freguesias de Santo António dos Cavaleiros e Frielas,40.96
Mafra,41.88
Carvoeira,42.54
Encarnação,44.03
Ericeira,42.72
Mafra,40.74
Milharado,39.87
Santo Isidoro,43.77
União das freguesias de Azueira e Sobral da Abelheira,45.83
"União das freguesias de Enxara do Bispo, Gradil e Vila Franca do Rosário",43.43
União das freguesias de Igreja Nova e Cheleiros,42.94
União das freguesias de Malveira e São Miguel de Alcainça,40.22
União das freguesias de Venda do Pinheiro e Santo Estêvão das Galés,41.42
Moita,43.65
Alhos Vedros,42.03
Moita,44.13
União das freguesias de Baixa da Banheira e Vale da Amoreira,44.14
União das freguesias de Gaio-Rosário e Sarilhos Pequenos,44.93
Montijo,41.91
Canha,51.63
Sarilhos Grandes,46
União das freguesias de Atalaia e Alto Estanqueiro-Jardia,43
União das freguesias de Montijo e Afonsoeiro,40.90
União das freguesias de Pegões,43.79
Odivelas,42.99
Odivelas,42.60
União das freguesias de Pontinha e Famões,43.58
União das freguesias de Póvoa de Santo Adrião e Olival Basto,44.86
União das freguesias de Ramada e Caneças,42.01
Oeiras,44.91
Barcarena,42.63
Porto Salvo,43.03
"União das freguesias de Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",45.63
União das freguesias de Carnaxide e Queijas,43.52
"União das freguesias de Oeiras e São Julião da Barra, Paço de Arcos e Caxias",46.24
Palmela,43.92
Palmela,45.60
Pinhal Novo,42.48
Quinta do Anjo,42.90
União das freguesias de Poceirão e Marateca,46.43
Seixal,43.51
Amora,44.39
Corroios,43.78
Fernão Ferro,43.09
"União das freguesias do Seixal, Arrentela e Aldeia de Paio Pires",42.46
Sesimbra,43.35
Quinta do Conde,40.79
Sesimbra (Castelo),44.84
Sesimbra (Santiago),53.57
Setúbal,44.61
Gâmbia-Pontes-Alto da Guerra,41.64
Sado,46.84
Setúbal (São Sebastião),42.98
União das freguesias de Azeitão (São Lourenço e São Simão),44.28
"União das freguesias de Setúbal (São Julião, Nossa Senhora da Anunciada e Santa Maria da Graça)",47.29
Sintra,42.07
Algueirão-Mem Martins,41.31
Casal de Cambra,40.04
Colares,46.38
Rio de Mouro,40.62
União das freguesias de Agualva e Mira-Sintra,43.13
"União das freguesias de Almargem do Bispo, Pêro Pinheiro e Montelavar",44.82
União das freguesias de Massamá e Monte Abraão,42.97
União das freguesias de Queluz e Belas,41.97
União das freguesias de São João das Lampas e Terrugem,44.60
"União das freguesias de Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim)",43.76
União das freguesias do Cacém e São Marcos,39.36
Vila Franca de Xira,42.30
"União das freguesias de Alhandra, São João dos Montes e Calhandriz",44.86
União das freguesias de Alverca do Ribatejo e Sobralinho,43.03
União das freguesias de Castanheira do Ribatejo e Cachoeiras,43.52
União das freguesias de Póvoa de Santa Iria e Forte da Casa,41.08
Vialonga,39.49
Vila Franca de Xira,44.52
Alentejo,47.40
Alentejo Litoral,47.06
Alcácer do Sal,49.66
Comporta,48.21
São Martinho,58.76
Torrão,51.03
União das freguesias de Alcácer do Sal (Santa Maria do Castelo e Santiago) e Santa Susana,49.11
Grândola,47.53
Azinheira dos Barros e São Mamede do Sádão,50.58
Carvalhal,44.79
Melides,52.96
União das freguesias de Grândola e Santa Margarida da Serra,47.01
Odemira,45.63
Boavista dos Pinheiros,41.62
Colos,53.86
Longueira/Almograve,41.70
Luzianes-Gare,52.41
Relíquias,51.58
Sabóia,56.61
Santa Clara-a-Velha,55.92
São Luís,50.54
São Martinho das Amoreiras,53.33
São Salvador e Santa Maria,46.69
São Teotónio,42.12
Vale de Santiago,53.30
Vila Nova de Milfontes,43.60
Santiago do Cacém,48.42
Abela,53.96
Alvalade,50.89
Cercal,50.87
Ermidas-Sado,48.63
Santo André,46.05
São Francisco da Serra,52.86
"União das freguesias de Santiago do Cacém, Santa Cruz e São Bartolomeu da Serra",48.17
União das freguesias de São Domingos e Vale de Água,53.77
Sines,44.87
Porto Covo,48.62
Sines,44.55
Baixo Alentejo,47.58
Aljustrel,48.28
Ervidel,52.51
Messejana,51.80
São João de Negrilhos,49.40
União das freguesias de Aljustrel e Rio de Moinhos,46.85
Almodôvar,50.27
Aldeia dos Fernandes,48.62
Rosário,49.99
Santa Cruz,58.09
São Barnabé,65.64
União das freguesias de Almodôvar e Graça dos Padrões,47.11
União das freguesias de Santa Clara-a-Nova e Gomes Aires,55.45
Alvito,48.10
Alvito,47.48
Vila Nova da Baronia,48.77
Barrancos,48.23
Barrancos,48.23
Beja,45.23
Baleizão,46.62
Beringel,49.91
Cabeça Gorda,48.78
Nossa Senhora das Neves,47.98
Santa Clara de Louredo,51.11
São Matias,44.23
União das freguesias de Albernoa e Trindade,50.36
União das freguesias de Beja (Salvador e Santa Maria da Feira),42.88
União das freguesias de Beja (Santiago Maior e São João Baptista),44.92
União das freguesias de Salvada e Quintos,46.66
União das freguesias de Santa Vitória e Mombeja,49.24
União das freguesias de Trigaches e São Brissos,47.39
Castro Verde,47.74
Entradas,52.63
Santa Bárbara de Padrões,54.55
São Marcos da Ataboeira,53.15
União das freguesias de Castro Verde e Casével,45.98
Cuba,46.99
Cuba,44.95
Faro do Alentejo,46.37
Vila Alva,58.66
Vila Ruiva,51.64
Ferreira do Alentejo,48.11
Figueira dos Cavaleiros,49.62
Odivelas,51.39
União das freguesias de Alfundão e Peroguarda,45.94
União das freguesias de Ferreira do Alentejo e Canhestros,48
Mértola,53.45
Alcaria Ruiva,52.50
Corte do Pinto,54.39
Espírito Santo,55.72
Mértola,50.51
Santana de Cambas,56.21
São João dos Caldeireiros,52.78
"União das freguesias de São Miguel do Pinheiro, São Pedro de Solis e São Sebastião dos Carros",59.31
Moura,46.01
Amareleja,48.07
Póvoa de São Miguel,47.09
Sobral da Adiça,46.01
União das freguesias de Moura (Santo Agostinho e São João Baptista) e Santo Amador,44.61
União das freguesias de Safara e Santo Aleixo da Restauração,50.06
Ourique,51.50
Ourique,48.02
Santana da Serra,59.92
União das freguesias de Garvão e Santa Luzia,55.38
União das freguesias de Panoias e Conceição,53.08
Serpa,48.62
Brinches,51.70
Pias,48.13
União das freguesias de Serpa (Salvador e Santa Maria),47.12
União das freguesias de Vila Nova de São Bento e Vale de Vargo,49.50
Vila Verde de Ficalho,51.60
Vidigueira,47.63
Pedrógão,48.50
Selmes,52.43
Vidigueira,46.37
Vila de Frades,46.13
Lezíria do Tejo,46.54
Almeirim,46.38
Almeirim,44.84
Benfica do Ribatejo,49.08
Fazendas de Almeirim,47.73
Raposa,52.22
Alpiarça,48.30
Alpiarça,48.30
Azambuja,45.37
Alcoentre,46.85
Aveiras de Baixo,48.04
Aveiras de Cima,45.15
Azambuja,42.73
"União das freguesias de Manique do Intendente, Vila Nova de São Pedro e Maçussa",52.89
Vale do Paraíso,49.51
Vila Nova da Rainha,40.50
Benavente,42.99
Barrosa,48.04
Benavente,43.53
Samora Correia,42.23
Santo Estêvão,45.66
Cartaxo,46.45
Pontével,47.92
União das freguesias de Ereira e Lapa,49.87
União das freguesias do Cartaxo e Vale da Pinta,44.66
Valada,52.06
Vale da Pedra,48.41
Vila Chã de Ourique,47.56
Chamusca,50.14
Carregueira,50.81
Ulme,50.66
União das freguesias da Chamusca e Pinheiro Grande,48.60
União das freguesias de Parreira e Chouto,50.58
Vale de Cavalos,54.42
Coruche,50.92
Biscainho,52.15
Branca,50.04
Couço,55.97
Santana do Mato,51.47
São José da Lamarosa,54.42
"União das freguesias de Coruche, Fajarda e Erra",49.28
Golegã,48.36
Azinhaga,50.18
Golegã,47.54
Pombalinho,49.33
Rio Maior,45.34
Alcobertas,46.31
Arrouquelas,52.03
Asseiceira,43.19
Fráguas,48.27
Rio Maior,43.73
São Sebastião,51.01
União das freguesias de Azambujeira e Malaqueijo,48.75
União das freguesias de Marmeleira e Assentiz,47.30
União das freguesias de Outeiro da Cortiçada e Arruda dos Pisões,49.06
União das freguesias de São João da Ribeira e Ribeira de São João,48.56
Salvaterra de Magos,47.23
Marinhais,46.98
Muge,49.09
União das freguesias de Glória do Ribatejo e Granho,50.08
União das freguesias de Salvaterra de Magos e Foros de Salvaterra,46.15
Santarém,46.83
Abitureiras,50.33
Abrã,47.53
Alcanede,48.74
Alcanhões,49.48
Almoster,50.93
Amiais de Baixo,48.75
Arneiro das Milhariças,50.78
Gançaria,50.27
Moçarria,50.05
Pernes,53.18
Póvoa da Isenta,47.41
"União das freguesias de Achete, Azoia de Baixo e Póvoa de Santarém",49.16
União das freguesias de Azoia de Cima e Tremês,50.16
União das freguesias de Casével e Vaqueiros,50.59
União das freguesias de Romeira e Várzea,48.52
União de freguesias da cidade de Santarém,44.33
União das freguesias de São Vicente do Paul e Vale de Figueira,51.46
Vale de Santarém,47.08
Alto Alentejo,49.09
Alter do Chão,51.94
Alter do Chão,49.56
Chancelaria,56.64
Cunheira,55.34
Seda,57.64
Arronches,50.51
Assunção,49.25
Esperança,53.23
Mosteiros,52.46
Avis,50.43
Aldeia Velha,57.82
Avis,49.21
Ervedal,50.41
Figueira e Barros,48.67
União das freguesias de Alcórrego e Maranhão,48.02
União das freguesias de Benavila e Valongo,52.53
Campo Maior,44.71
Nossa Senhora da Expectação,43.85
Nossa Senhora da Graça dos Degolados,45.68
São João Baptista,45.39
Castelo de Vide,52.68
Nossa Senhora da Graça de Póvoa e Meadas,57.77
Santa Maria da Devesa,50.29
Santiago Maior,46.60
São João Baptista,55.72
Crato,54.64
Aldeia da Mata,62.83
Gáfete,57.63
Monte da Pedra,57.38
"União das freguesias de Crato e Mártires, Flor da Rosa e Vale do Peso",52.03
Elvas,45.91
"Assunção, Ajuda, Salvador e Santo Ildefonso",44.93
"Caia, São Pedro e Alcáçova",44.09
Santa Eulália,50.03
São Brás e São Lourenço,45.21
São Vicente e Ventosa,48.52
União das freguesias de Barbacena e Vila Fernando,55.14
União das freguesias de Terrugem e Vila Boim,48.87
Fronteira,51.16
Cabeço de Vide,51.28
Fronteira,50.69
São Saturnino,54
Gavião,56.45
Belver,64.48
Comenda,56.90
Margem,57.47
União das freguesias de Gavião e Atalaia,52.81
Marvão,52.77
Beirã,50.28
Santa Maria de Marvão,59.43
Santo António das Areias,52.61
São Salvador da Aramenha,51.61
Monforte,47.48
Assumar,47.43
Monforte,45.95
Santo Aleixo,51.66
Vaiamonte,47.36
Nisa,55.28
Alpalhão,52.34
Montalvão,65.13
Santana,72.34
São Matias,62.28
Tolosa,56.38
União das freguesias de Arez e Amieira do Tejo,63.71
"União das freguesias de Espírito Santo, Nossa Senhora da Graça e São Simão",51.86
Ponte de Sor,49.21
Foros de Arrão,54.80
Galveias,53.57
Longomel,52.64
Montargil,54.34
"União das freguesias de Ponte de Sor, Tramaga e Vale de Açor",47.09
Portalegre,47.77
Alagoa,51.63
Alegrete,54.58
Fortios,47.21
União das freguesias da Sé e São Lourenço,46.29
União das freguesias de Reguengo e São Julião,52.81
União das freguesias de Ribeira de Nisa e Carreiras,48.73
Urra,50.40
Sousel,50.82
Cano,51.88
Casa Branca,53.75
Santo Amaro,50.61
Sousel,48.65
Alentejo Central,47.66
Alandroal,51.32
Capelins (Santo António),55.54
Santiago Maior,51.98
Terena (São Pedro),54.02
"União das freguesias de Alandroal (Nossa Senhora da Conceição), São Brás dos Matos (Mina do Bugalho) e Juromenha (Nossa Senhora do Loreto)",49.01
Arraiolos,48.91
Arraiolos,46.65
Igrejinha,44.77
União das freguesias de Gafanhoeira (São Pedro) e Sabugueiro,52.17
União das freguesias de São Gregório e Santa Justa,52.96
Vimieiro,54.09
Borba,49.37
Borba (Matriz),48.49
Borba (São Bartolomeu),55.87
Orada,49.88
Rio de Moinhos,48.69
Estremoz,49.18
Arcos,51.91
Évora Monte (Santa Maria),53.27
Glória,52.66
São Domingos de Ana Loura,51.16
União das freguesias de Estremoz (Santa Maria e Santo André),47.40
União das freguesias de São Bento do Cortiço e Santo Estêvão,52.01
União das freguesias de São Lourenço de Mamporcão e São Bento de Ana Loura,52.66
União das freguesias do Ameixial (Santa Vitória e São Bento),51.36
Veiros,51.94
Évora,45.45
Canaviais,43.37
Nossa Senhora da Graça do Divor,46.25
Nossa Senhora de Machede,48.06
São Bento do Mato,52.18
São Miguel de Machede,51.01
Torre de Coelheiros,51.49
União das freguesias de Bacelo e Senhora da Saúde,45.16
"União das freguesias de Évora (São Mamede, Sé, São Pedro e Santo Antão)",47.41
União das freguesias de Malagueira e Horta das Figueiras,44.31
União das freguesias de Nossa Senhora da Tourega e Nossa Senhora de Guadalupe,46.16
União das freguesias de São Manços e São Vicente do Pigeiro,49.90
União das freguesias de São Sebastião da Giesteira e Nossa Senhora da Boa Fé,52.04
Montemor-o-Novo,49.20
Cabrela,57.41
Ciborro,54.01
Foros de Vale de Figueira,52.50
Santiago do Escoural,53.94
São Cristóvão,55.71
União das freguesias de Cortiçadas de Lavre e Lavre,54.92
"União das freguesias de Nossa Senhora da Vila, Nossa Senhora do Bispo e Silveiras",46.80
Mora,53.95
Brotas,58.06
Cabeção,58.61
Mora,51.44
Pavia,54.17
Mourão,47.37
Granja,51.92
Luz,50
Mourão,45.34
Portel,48.39
Monte do Trigo,47.53
Portel,47.87
Santana,48.06
União das freguesias de Amieira e Alqueva,55.29
União das freguesias de São Bartolomeu do Outeiro e Oriola,47.55
Vera Cruz,46.85
Redondo,48.22
Montoito,49.63
Redondo,47.95
Reguengos de Monsaraz,47.45
Corval,50.37
Monsaraz,52.37
Reguengos de Monsaraz,45.52
União das freguesias de Campo e Campinho,52.78
Vendas Novas,48.03
Landeira,49.05
Vendas Novas,47.97
Viana do Alentejo,47.12
Aguiar,44.48
Alcáçovas,48.34
Viana do Alentejo,47.09
Vila Viçosa,48.34
Bencatel,47.34
Ciladas,53.62
Nossa Senhora da Conceição e São Bartolomeu,47.83
Pardais,47.24
Algarve,45.44
Algarve,45.44
Albufeira,42.99
Albufeira e Olhos de Água,42.59
Ferreiras,41.71
Guia,43.69
Paderne,47.98
Alcoutim,58.37
Giões,59.64
Martim Longo,56.03
União das freguesias de Alcoutim e Pereiro,58.80
Vaqueiros,62.86
Aljezur,47.55
Aljezur,47.20
Bordeira,51.35
Odeceixe,46.77
Rogil,48.08
Castro Marim,50.33
Altura,49.19
Azinhal,58.74
Castro Marim,47.63
Odeleite,62.89
Faro,44.45
Montenegro,41.35
Santa Bárbara de Nexe,48.96
União das freguesias de Conceição e Estoi,46.04
União das freguesias de Faro (Sé e São Pedro),44.31
Lagoa,45.29
Ferragudo,51.68
Porches,45.83
União das freguesias de Estômbar e Parchal,43.88
União das freguesias de Lagoa e Carvoeiro,45.24
Lagos,46.27
Luz,49.05
Odiáxere,45.02
União das freguesias de Bensafrim e Barão de São João,49.68
São Gonçalo de Lagos,45.57
Loulé,45.34
Almancil,43.98
Alte,54.85
Ameixial,60.21
Boliqueime,47.03
Loulé (São Clemente),44.01
Loulé (São Sebastião),46.31
Quarteira,43.84
Salir,52.86
"União de freguesias de Querença, Tôr e Benafim",53.55
Monchique,51.83
Alferce,54.86
Marmelete,54.82
Monchique,51.08
Olhão,44.55
Olhão,45.16
Pechão,42.91
Quelfes,41.98
União das freguesias de Moncarapacho e Fuseta,49.10
Portimão,44.36
Alvor,46.10
Mexilhoeira Grande,47.23
Portimão,43.88
São Brás de Alportel,46.53
São Brás de Alportel,46.53
Silves,46.08
Armação de Pêra,43.03
São Bartolomeu de Messines,48.68
São Marcos da Serra,54.89
Silves,46.90
União das freguesias de Alcantarilha e Pêra,45.84
União das freguesias de Algoz e Tunes,43.11
Tavira,48.58
Cachopo,67.52
Santa Catarina da Fonte do Bispo,54.84
Santa Luzia,48.88
União das freguesias de Conceição e Cabanas de Tavira,50.58
União das freguesias de Luz de Tavira e Santo Estêvão,49.79
União das freguesias de Tavira (Santa Maria e Santiago),46.40
Vila do Bispo,47.59
Barão de São Miguel,44.33
Budens,48.52
Sagres,48.54
Vila do Bispo e Raposeira,46.44
Vila Real de Santo António,46.25
Monte Gordo,46.20
Vila Nova de Cacela,48.58
Vila Real de Santo António,45.49
Região Autónoma dos Açores,41.73
Região Autónoma dos Açores,41.73
Região Autónoma dos Açores,41.73
Angra do Heroísmo,43.38
Altares,43.58
Angra (Nossa Senhora da Conceição),46.30
Angra (Santa Luzia),49.07
Angra (São Pedro),46.02
Angra (Sé),49.42
Cinco Ribeiras,44.76
Doze Ribeiras,46.06
Feteira,40.43
Porto Judeu,42.56
Posto Santo,40.32
Raminho,46.30
Ribeirinha,42.86
Santa Bárbara,42.17
São Bartolomeu de Regatos,40.09
São Bento,42.94
São Mateus da Calheta,39.63
Serreta,44.24
Terra Chã,40.45
Vila de São Sebastião,43.17
Calheta,45.80
Calheta,44.91
Norte Pequeno,48.11
Ribeira Seca,47.16
Santo Antão,45.26
Topo (Nossa Senhora do Rosário),45.33
Corvo,42.33
Corvo,42.33
Horta,43.85
Capelo,44.12
Castelo Branco,41.78
Cedros,46.81
Feteira,41.65
Flamengos,41.17
Horta (Angústias),46.31
Horta (Conceição),44.68
Horta (Matriz),46.86
Pedro Miguel,41.91
Praia do Almoxarife,39.76
Praia do Norte,43.01
Ribeirinha,41.73
Salão,46.73
Lagoa,39.07
Água de Pau,38.85
Cabouco,37.22
Lagoa (Nossa Senhora do Rosário),40.19
Lagoa (Santa Cruz),38.35
Ribeira Chã,41.18
Lajes das Flores,45.34
Fajã Grande,44.91
Fajãzinha,50.18
Fazenda,43.44
Lajedo,48.35
Lajes das Flores,46.60
Lomba,41.42
Mosteiro,50.45
Lajes do Pico,46.51
Calheta de Nesquim,49.26
Lajes do Pico,44.59
Piedade,47.96
Ribeiras,47.64
Ribeirinha,46.40
São João,47.72
Madalena,43.73
Bandeiras,40.60
Candelária,44.94
Criação Velha,42.66
Madalena,43.35
São Caetano,46.19
São Mateus,46.93
Nordeste,44.40
Achada,46.39
Achadinha,43.36
Algarvia,47.48
Lomba da Fazenda,42.86
Nordeste,46.84
Salga,40.88
Santana,42.62
Santo António de Nordestinho,43.97
São Pedro de Nordestinho,43.46
Ponta Delgada,41.14
Ajuda da Bretanha,37.69
Arrifes,38.85
Candelária,41.02
Capelas,39.85
Covoada,39.94
Fajã de Baixo,41.59
Fajã de Cima,40.67
Fenais da Luz,36.22
Feteiras,38.02
Ginetes,42.82
Mosteiros,44.25
Pilar da Bretanha,42.81
Ponta Delgada (São José),44.85
Ponta Delgada (São Pedro),42.43
Ponta Delgada (São Sebastião),44.78
Relva,40.76
Remédios,41.67
Rosto do Cão (Livramento),39.33
Rosto do Cão (São Roque),40.21
Santa Bárbara,37.77
Santa Clara,44.23
Santo António,41.86
São Vicente Ferreira,38.95
Sete Cidades,41.07
Povoação,42.69
Água Retorta,40.90
Faial da Terra,46.06
Furnas,41.45
Nossa Senhora dos Remédios,43.05
Povoação,43.79
Ribeira Quente,41.12
Ribeira Grande,37.16
Calhetas,36.83
Fenais da Ajuda,38.90
Lomba da Maia,40.44
Lomba de São Pedro,37.38
Maia,39.75
Pico da Pedra,39.17
Porto Formoso,41.67
Rabo de Peixe,33.21
Ribeira Grande (Conceição),38.28
Ribeira Grande (Matriz),38.86
Ribeira Seca,38
Ribeirinha,36.60
Santa Bárbara,38.72
São Brás,40.81
Santa Cruz da Graciosa,44.24
Guadalupe,45.31
Luz,42.73
Santa Cruz da Graciosa,43.12
São Mateus,46.76
Santa Cruz das Flores,43.92
Caveira,39.80
Cedros,44
Ponta Delgada,46
Santa Cruz das Flores,43.74
São Roque do Pico,45.23
Prainha,47.49
Santa Luzia,43.24
Santo Amaro,52.19
Santo António,42.77
São Roque do Pico,44.98
Velas,44.96
Manadas (Santa Bárbara),44.85
Norte Grande (Neves),47.77
Rosais,45.12
Santo Amaro,43.93
Urzelina (São Mateus),43.47
Velas (São Jorge),45.41
Vila da Praia da Vitória,43.17
Agualva,46.07
Biscoitos,43.75
Cabo da Praia,44.10
Fonte do Bastardo,42.45
Fontinhas,43.54
Lajes,41.23
Porto Martins,41.90
Praia da Vitória (Santa Cruz),43.14
Quatro Ribeiras,44.80
São Brás,43.35
Vila Nova,44.96
Vila do Porto,42.46
Almagreira,39.38
Santa Bárbara,45.05
Santo Espírito,44.39
São Pedro,39.27
Vila do Porto,43.26
Vila Franca do Campo,40.82
Água de Alto,40.35
Ponta Garça,40.43
Ribeira das Tainhas,42.83
Ribeira Seca,39.31
Vila Franca do Campo (São Miguel),42.39
Vila Franca do Campo (São Pedro),39.58
Região Autónoma da Madeira,44.44
Região Autónoma da Madeira,44.44
Região Autónoma da Madeira,44.44
Calheta,47.24
Arco da Calheta,46.24
Calheta,45.88
Estreito da Calheta,47.41
Fajã da Ovelha,51.60
Jardim do Mar,51.43
Paul do Mar,46.87
Ponta do Pargo,49.16
Prazeres,49.12
Câmara de Lobos,40.85
Câmara de Lobos,39.51
Curral das Freiras,45.64
Estreito de Câmara de Lobos,41.05
Jardim da Serra,44.52
Quinta Grande,42.20
Funchal,45.59
Funchal (Santa Luzia),47.81
Funchal (Santa Maria Maior),48.04
Funchal (São Pedro),46.47
Funchal (Sé),48.52
Imaculado Coração de Maria,47.38
Monte,48.29
Santo António,43.07
São Gonçalo,48.84
São Martinho,44.30
São Roque,45.60
Machico,45.29
Água de Pena,40.10
Caniçal,43.04
Machico,46.51
Porto da Cruz,48.55
Santo António da Serra,47.71
Ponta do Sol,44.95
Canhas,44.22
Madalena do Mar,48.63
Ponta do Sol,45.13
Porto Moniz,49.55
Achadas da Cruz,54.33
Porto Moniz,49.48
Ribeira da Janela,55.24
Seixal,46.94
Porto Santo,45.11
Porto Santo,45.11
Ribeira Brava,44.42
Campanário,43.32
Ribeira Brava,44.63
Serra de Água,47.12
Tabua,45.15
Santa Cruz,41.50
Camacha,44.34
Caniço,39.84
Gaula,43.04
Santa Cruz,43.22
Santo António da Serra,46
Santana,49.27
Arco de São Jorge,50.78
Faial,49.24
Ilha,56.34
Santana,47.86
São Jorge,51.96
São Roque do Faial,47.78
São Vicente,48.31
Boa Ventura,50.93
Ponta Delgada,48.82
São Vicente,47.16
